Instrument,Total Fixed Assets - Net,Date
5082068583,,
5082069154,,
5082069286,,
5082071849,,
5082086422,,
5082088939,,
5082095955,,
5082096156,,
5082103432,,
5082105073,,
5082105785,,
5082107289,,
5082107776,,
5082108859,,
5082109319,8236776.62360169,
5082109319,8565470.32928527,
5082110833,309311.404649276,
5082112022,,
5082112132,,
5082124664,,
5082137670,,
5082143202,,
5082145169,,
5082148758,,
5082149584,,
5082150360,,
5082151381,6462930.03682745,
5082151381,6269266.58088331,
5082151381,,
5082152091,,
5082166813,,
5082178971,,
5082341875,3437748.85492215,
5082341875,2555457.9361347,
5082341888,,
5082341891,,
5082355554,106301.155833986,
5082355554,167426.825812274,
5082355554,191086.338014981,
5082355554,156602.881678545,
5082355554,129604.455301682,
5082355554,103776.256748101,
5082355554,91365.9755734287,
5082355554,87353.1498445596,
5082355554,94511.5954124741,
5082355554,88071.1021288062,
5082355554,93780.1450518599,
5082355554,114118.852527041,
5082355571,,
5082355683,,
5082355718,,
5082355720,,
5082355735,,
5082355746,,
5082355760,,
5082355836,,
5082355866,891388.860918237,
5082355883,10570628.1569481,
5082355883,11009942.2301144,
5082355886,,
5082355952,,
5082358929,,
5082358958,,
5082359040,,
5082359758,,
5082359765,904359.944489013,
5082360107,,
5082360785,,
5082360801,,
5082360812,6601026.76367556,
5082360812,19129414.2374379,
5082360812,26407084.3149188,
5082360814,,
5082360815,103880.174256714,
5082360815,125344.362993579,
5082360815,162596.651820705,
5082360826,,
5082360844,,
5082360845,6900121.73965163,
5082360849,9870277.8060148,
5082360849,10011184.6716968,
5082360849,9223385.7417661,
5082360849,9657509.13072745,
5082360857,107172.591783861,
5082360857,130157.577434138,
5082360861,,
5082360865,,
5082360876,,
5082360954,,
5082361109,11065492.9615388,
5082361147,1140728.01829465,
5082361173,,
5082395773,,
5082419760,,
5082445343,,
5082446760,,
5082450392,,
5082451796,,
5082452288,,
5082467162,4496298.96723745,
5082499805,,
5082503354,,
5082503651,,
5082525049,,
5082527864,,
5082531062,,
5082533788,,
5082535002,,
5082535415,10549736.6905857,
5082535415,12992780.0160643,
5082535415,11336193.1066034,
5082535415,,
5082535415,,
5082535415,,
5082535415,,
5082535415,,
5082535415,,
5082535415,,
5082535415,22187551.5419342,
5082535415,26679180.6486118,
5082535505,3101567.96283945,
5082535505,4343222.40644158,
5082535505,4356019.40082557,
5082535505,4451997.14735751,
5082535505,4786946.85615687,
5082535505,4207399.33081829,
5082535505,4425683.71675895,
5082535505,5649174.15880568,
5082535582,,
5082535612,,
5082535661,152724.288888889,
5082535661,161071.195073963,
5082535661,151174.970842905,
5082535661,123010.428115016,
5082535661,162913.294148842,
5082535661,151912.266774673,
5082535661,237858.210679566,
5082535661,242840.402891723,
5082535661,184270.535066479,
5082535661,372845.179778803,
5082535661,360397.735439755,
5082535661,1773833.03670452,
5082535661,1521563.57136994,
5082535661,1645879.34206908,
5082638546,,
5082703971,,
5082703972,,
5082749966,,
5083182266,,
5083184958,,
5083185217,,
5083185390,,
5083185908,,
5083186042,,
5083221833,,
5083222324,,
5083224798,,
5083225568,,
5083243489,,
5083253201,,
5083253230,,
5083253452,,
5083253487,,
5083253506,8213899.13075304,
5083253506,8352771.31026852,
5083253506,9331109.35792746,
5083253506,9693984.94518788,
5083253506,17485002.1413815,
5083253506,8167545.86810159,
5083253506,8226932.65558291,
5083253705,,
5083253741,,
5083253776,,
5083253815,,
5083253862,,
5083253909,,
5083254219,,
5083254245,,
5083254246,,
5083254352,,
5083254422,,
5083254423,,
5083254442,,
5083254498,,
5083254577,,
5083254688,,
5083254809,,
5083254919,,
5083254955,,
5083255064,,
5083255070,,
5083255085,12482392.1273579,
5083255085,21670526.4596162,
5083255085,19546757.7747087,
5083255085,19282684.8585456,
5083255085,17820612.4163888,
5083255085,15157354.4212645,
5083255085,15685400.6059832,
5083255085,16636456.2528497,
5083255085,22645305.1689376,
5083255085,13682208.768526,
5083255085,13433440.0123043,
5083255085,13495161.0454877,
5083255113,,
5083255159,,
5083255168,,
5083255296,,
5083255371,,
5083255375,,
5083255579,,
5083255618,,
5083255644,,
5083255656,,
5083255735,,
5083255818,,
5083255926,,
5083255955,,
5083255973,,
5083255975,,
5083256087,,
5083256099,6129462.4889065,
5083256099,6039025.8196193,
5083256099,5813101.47434181,
5083256099,5797452.93828226,
5083256099,10398145.9717467,
5083256099,9748266.85850405,
5083256099,9110245.89349437,
5083256099,8291764.09804673,
5083256099,8050359.78279793,
5083256099,9027013.6528597,
5083256099,10167253.1599748,
5083256099,10208628.3457676,
5083256099,11574186.8221343,
5083256304,,
5083256430,,
5083256505,,
5083256506,,
5083256571,,
5083256599,,
5083256726,,
5083256840,,
5083256857,,
5083256907,7455899.45283192,
5083256907,6923711.78348015,
5083256940,1400790.3851651,
5083256989,,
5083257009,,
5083257071,1612102.74993948,
5083257071,1603256.02133155,
5083257071,1719530.21078307,
5083257071,1785181.35494824,
5083257071,2029438.98515893,
5083257071,1810247.11369009,
5083257071,1713328.14648705,
5083257071,1725883.54309141,
5083257074,,
5083257122,,
5083257200,585557.162910395,
5083257200,598701.690226562,
5083257307,,
5083257419,,
5083257435,,
5083257493,,
5083257543,,
5083257582,,
5083257594,,
5083257676,,
5083257687,10069180.746114,
5083257687,10785372.6745876,
5083257687,10195547.8667026,
5083257687,9769008.27072881,
5083257687,,
5083257689,,
5083257705,,
5083257860,,
5083257911,,
5083257914,,
5083258075,,
5083258081,,
5083258083,,
5083258351,,
5083258451,,
5083258573,,
5083258616,,
5083258871,,
5083258897,,
5083259063,,
5083259290,,
5083259292,,
5083259424,,
5083259487,,
5083259525,,
5083259550,,
5083259760,,
5083260211,,
5083260410,,
5083260480,,
5083260512,,
5083260767,,
5083260810,4238951.29510268,
5083260874,1468544.64893811,
5083260874,1622897.28623198,
5083261244,,
5083261263,,
5083261901,,
5083261927,,
5083261984,,
5083262004,,
5083262096,,
5083262311,,
5083262501,,
5083262542,,
5083262738,,
5083262742,,
5083262792,188094.853568649,
5083262792,78802.6291206324,
5083262882,,
5083262902,,
5083263077,,
5083263158,,
5083263429,,
5083263483,,
5083263494,,
5083263506,,
5083263640,,
5083263643,,
5083263707,,
5083263739,,
5083263874,,
5083264010,,
5083264024,,
5083264100,11001797.6108145,
5083264334,,
5083264409,,
5083264434,,
5083264513,,
5083264525,,
5083264533,,
5083264573,,
5083264605,,
5083264617,,
5083264765,,
5083264874,,
5083264908,,
5083264964,5234546.3077656,
5083264964,5040949.77399579,
5083264964,,
5083264964,4462329.60497409,
5083264964,6228122.39560378,
5083264964,6318966.29390102,
5083264964,5513636.10092975,
5083264964,5979632.29042758,
5083264993,,
5083265180,,
5083265265,,
5083265385,7427091.55546751,
5083265385,8257858.30361363,
5083265385,8811610.25881303,
5083265385,8868803.54337505,
5083265385,9050306.55731538,
5083265385,9308155.48737494,
5083265385,8724972.31768689,
5083265385,8285060.52002213,
5083265385,8094557.51792746,
5083265385,9213710.92772677,
5083265385,8165618.13617174,
5083265385,7625406.89646209,
5083265385,7779433.78147851,
5083265453,1089718.07256059,
5083265453,1942141.67381301,
5083265478,,
5083265672,,
5083265745,,
5083265747,,
5083265801,,
5083265828,,
5083265888,,
5083265989,,
5083266110,,
5083266116,,
5083266271,,
5083266310,,
5083266858,,
5083266892,,
5083266951,,
5083276865,,
5083277508,,
5083277739,,
5083277895,,
5083277908,,
5083278025,,
5083278125,,
5083278261,,
5083278570,12025297.7377761,
5083278570,12496338.6238342,
5083278570,17275130.4837908,
5083278570,19329256.9082907,
5083278570,17429633.1401042,
5083278570,20663927.4797828,
5083278576,,
5083278829,,
5083278862,,
5083278889,,
5083278917,,
5083279059,,
5083279147,6172832.81458003,
5083279147,9373488.42951059,
5083279147,10097742.2311468,
5083279147,,
5083279147,10948328.6548663,
5083279147,11495484.1133873,
5083279147,13548714.7707933,
5083279147,13379008.082046,
5083279147,13014198.4489119,
5083279147,25423164.1569061,
5083279147,23632017.8307734,
5083279147,27514576.9208107,
5083279147,46029740.8263945,
5083279159,,
5083279203,,
5083279273,,
5083279457,,
5083279464,10787024.9118628,
5083279464,11394102.8941349,
5083279464,27668073.526533,
5083279464,26817629.0172021,
5083279464,30159833.388036,
5083279464,28879529.8185574,
5083279464,28096149.0975417,
5083279464,2184094.23497192,
5083279478,,
5083279587,,
5083279986,,
5083279993,1898715.44880293,
5083279993,2218843.43135356,
5083280256,,
5083280278,,
5083280549,,
5083280581,,
5083280645,,
5083280869,,
5083281067,,
5083281251,,
5083281279,9626801.558444,
5083281279,9151625.91996189,
5083281574,,
5083281589,,
5083281594,,
5083281849,,
5083281879,,
5083282541,,
5083282749,,
5083282861,,
5083282982,,
5083283668,,
5083283739,,
5083284069,,
5083284478,,
5083284839,,
5083285171,,
5083285575,2548394.86846109,
5083285702,,
5083287987,5260554.77050786,
5083287987,5614547.53566258,
5083288216,,
5083289422,,
5083290123,7141679.80103627,
5083290123,9301074.10185958,
5083290123,13066294.4040241,
5083290123,14890558.8144567,
5083290123,19978121.2749085,
5083290245,,
5083290779,,
5083291679,,
5083291697,,
5083291698,,
5083291937,,
5083291946,,
5083292009,,
5083292026,,
5083292205,,
5083292322,,
5083292523,,
5083292537,,
5083292574,,
5083292797,,
5083292807,,
5083292854,,
5083292975,,
5083293077,,
5083293090,,
5083293095,7410054.63863387,
5083293095,7105698.27449924,
5083293095,7208687.8542896,
5083293095,8544029.25945393,
5083293166,,
5083293202,,
5083293263,1815192.87564879,
5083293263,2156455.9287025,
5083293432,,
5083293521,,
5083293603,,
5083293693,,
5083293914,,
5083293934,,
5083294051,,
5083294197,,
5083294276,,
5083294323,3076136.98903758,
5083294323,11452520.370071,
5083294323,10909689.6713371,
5083294323,11665971.4690125,
5083294613,6008387.29637711,
5083294613,7747717.6264888,
5083294613,3435585.45155092,
5083294613,7649414.34358909,
5083294613,9810501.23854923,
5083294613,9201286.65191256,
5083294613,15707454.6429534,
5083294613,10470892.6460267,
5083294613,15777286.1637482,
5083294785,,
5083294786,,
5083294806,,
5083294930,,
5083295070,,
5083295555,82529.8796371149,
5083295555,114213.402133319,
5083295555,91139.9872748901,
5083295752,,
5083295836,,
5083295977,,
5083296020,,
5083296050,,
5083296332,,
5083296625,,
5083296715,,
5083296969,,
5083297040,,
5083297207,,
5083297223,7561951.34177303,
5083297223,7016781.51908305,
5083297674,,
5083297969,,
5083298126,,
5083298239,,
5083298434,,
5083298958,,
5083299041,,
5083299372,,
5083299383,,
5083299606,,
