Instrument,Labor & Related Expenses - Total,Date
5082068583,,
5082069154,,
5082069286,,
5082071849,,
5082086422,,
5082088939,,
5082095955,,
5082096156,,
5082103432,,
5082105073,,
5082105785,,
5082107289,,
5082107776,,
5082108859,,
5082109319,999631.567297793,2019-12-31T00:00:00Z
5082109319,1208782.36069225,2020-12-31T00:00:00Z
5082110833,926019.06128473,2020-12-31T00:00:00Z
5082112022,,
5082112132,,
5082124664,,
5082137670,,
5082143202,,
5082145169,,
5082148758,,
5082149584,,
5082150360,,
5082151381,727616.007665562,2018-12-31T00:00:00Z
5082151381,697933.054713122,2019-12-31T00:00:00Z
5082151381,,2020-12-31T00:00:00Z
5082152091,,
5082166813,,
5082178971,,
5082341875,,
5082341888,,
5082341891,,
5082355554,709460.609651033,2009-04-30T00:00:00Z
5082355554,844363.290354818,2010-04-30T00:00:00Z
5082355554,775275.406337441,2011-04-30T00:00:00Z
5082355554,1003994.26951281,2012-04-30T00:00:00Z
5082355554,841452.592685304,2013-04-30T00:00:00Z
5082355554,824337.028299556,2014-12-31T00:00:00Z
5082355554,668622.333262029,2015-12-31T00:00:00Z
5082355554,730087.687718052,2016-12-31T00:00:00Z
5082355554,875732.312360122,2017-12-31T00:00:00Z
5082355554,906294.869506763,2018-12-31T00:00:00Z
5082355554,1103953.21314789,2019-12-31T00:00:00Z
5082355554,1458185.5778071,2020-12-31T00:00:00Z
5082355571,,
5082355683,,
5082355718,,
5082355720,,
5082355735,,
5082355746,,
5082355760,,
5082355836,,
5082355866,,
5082355883,592287.958757152,2020-05-31T00:00:00Z
5082355883,598080.964401055,2021-05-31T00:00:00Z
5082355886,,
5082355952,,
5082358929,,
5082358958,,
5082359040,,
5082359758,,
5082359765,2950036.46972947,2020-12-31T00:00:00Z
5082360107,,
5082360785,,
5082360801,,
5082360812,,
5082360814,,
5082360815,,
5082360826,,
5082360844,,
5082360845,534432.190801634,2020-12-31T00:00:00Z
5082360849,0.0,2017-12-31T00:00:00Z
5082360849,44769.1724201825,2018-12-31T00:00:00Z
5082360849,61216.5871528324,2019-12-31T00:00:00Z
5082360849,61328.7652487018,2020-12-31T00:00:00Z
5082360857,470245.678129645,2019-12-31T00:00:00Z
5082360857,712512.256003009,2020-12-31T00:00:00Z
5082360861,,
5082360865,,
5082360876,,
5082360954,,
5082361109,,
5082361147,1563271.83242507,2020-12-31T00:00:00Z
5082361173,,
5082395773,,
5082419760,,
5082445343,,
5082446760,,
5082450392,,
5082451796,,
5082452288,,
5082467162,486202.310343923,2020-12-31T00:00:00Z
5082499805,,
5082503354,,
5082503651,,
5082525049,,
5082527864,,
5082531062,,
5082533788,,
5082535002,,
5082535415,4659906.05868443,2009-12-31T00:00:00Z
5082535415,4794679.30539972,2010-12-31T00:00:00Z
5082535415,4754158.78237794,2011-12-31T00:00:00Z
5082535415,,2012-12-31T00:00:00Z
5082535415,,2013-12-31T00:00:00Z
5082535415,,2014-12-31T00:00:00Z
5082535415,,2015-12-31T00:00:00Z
5082535415,,2016-12-31T00:00:00Z
5082535415,,2017-12-31T00:00:00Z
5082535415,,2018-12-31T00:00:00Z
5082535415,,2019-12-31T00:00:00Z
5082535415,,2020-12-31T00:00:00Z
5082535505,128195.071043949,2013-12-31T00:00:00Z
5082535505,276579.103326946,2014-12-31T00:00:00Z
5082535505,641858.078879994,2015-12-31T00:00:00Z
5082535505,532319.157881826,2016-12-31T00:00:00Z
5082535505,786758.95270964,2017-12-31T00:00:00Z
5082535505,1122212.84003535,2018-12-31T00:00:00Z
5082535505,564667.748688375,2019-12-31T00:00:00Z
5082535505,473990.772588364,2020-12-31T00:00:00Z
5082535582,,
5082535612,,
5082535661,611446.003688475,2008-03-31T00:00:00Z
5082535661,541527.186863801,2009-03-31T00:00:00Z
5082535661,513712.604205018,2010-03-31T00:00:00Z
5082535661,646132.177217743,2011-03-31T00:00:00Z
5082535661,842546.081073259,2012-03-31T00:00:00Z
5082535661,976123.628722287,2013-03-31T00:00:00Z
5082535661,1129522.10079515,2014-03-31T00:00:00Z
5082535661,1238599.88517224,2015-03-31T00:00:00Z
5082535661,1262109.93629157,2016-03-31T00:00:00Z
5082535661,1280292.89661916,2017-03-31T00:00:00Z
5082535661,1429471.11409582,2018-03-31T00:00:00Z
5082535661,1505871.85046928,2019-03-31T00:00:00Z
5082535661,1562018.51463058,2020-03-31T00:00:00Z
5082535661,1633078.58093816,2021-03-31T00:00:00Z
5082638546,,
5082703971,,
5082703972,,
5082749966,,
5083182266,,
5083184958,,
5083185217,,
5083185390,,
5083185908,,
5083186042,,
5083221833,,
5083222324,,
5083224798,,
5083225568,,
5083243489,,
5083253201,,
5083253230,,
5083253452,,
5083253487,,
5083253506,1239856.41699494,2014-12-31T00:00:00Z
5083253506,1193033.0019055,2015-12-31T00:00:00Z
5083253506,1259405.79525683,2016-12-31T00:00:00Z
5083253506,1375161.39327735,2017-12-31T00:00:00Z
5083253506,1430282.9053487,2018-12-31T00:00:00Z
5083253506,1365419.00671604,2019-12-31T00:00:00Z
5083253506,1113687.44831001,2020-12-31T00:00:00Z
5083253705,,
5083253741,,
5083253776,,
5083253815,,
5083253862,,
5083253909,,
5083254219,,
5083254245,,
5083254246,,
5083254352,,
5083254422,,
5083254423,,
5083254442,,
5083254498,,
5083254577,,
5083254688,,
5083254809,,
5083254919,,
5083254955,,
5083255064,,
5083255070,,
5083255085,1959936.55231885,2009-12-31T00:00:00Z
5083255085,1353115.86300151,2010-12-31T00:00:00Z
5083255085,593276.938145337,2011-12-31T00:00:00Z
5083255085,224655.779722837,2012-12-31T00:00:00Z
5083255085,110647.848632259,2013-12-31T00:00:00Z
5083255085,336620.499622578,2014-12-31T00:00:00Z
5083255085,347282.937444704,2015-12-31T00:00:00Z
5083255085,428979.45348315,2016-12-31T00:00:00Z
5083255085,700507.452691546,2017-12-31T00:00:00Z
5083255085,738350.660074496,2018-12-31T00:00:00Z
5083255085,649275.254811922,2019-12-31T00:00:00Z
5083255085,662234.519336104,2020-12-31T00:00:00Z
5083255113,,
5083255159,,
5083255168,,
5083255296,,
5083255371,,
5083255375,,
5083255579,,
5083255618,,
5083255644,,
5083255656,,
5083255735,,
5083255818,,
5083255926,,
5083255955,,
5083255973,,
5083255975,,
5083256087,,
5083256099,810385.133398569,2008-12-31T00:00:00Z
5083256099,832220.937194382,2009-12-31T00:00:00Z
5083256099,880073.638629441,2010-12-31T00:00:00Z
5083256099,802293.840102419,2011-12-31T00:00:00Z
5083256099,763263.537472227,2012-12-31T00:00:00Z
5083256099,652374.187602229,2013-12-31T00:00:00Z
5083256099,772660.318067947,2014-12-31T00:00:00Z
5083256099,783715.755271973,2015-12-31T00:00:00Z
5083256099,881979.693722941,2016-12-31T00:00:00Z
5083256099,1033925.55637762,2017-12-31T00:00:00Z
5083256099,1152286.29115601,2018-12-31T00:00:00Z
5083256099,1105305.11705751,2019-12-31T00:00:00Z
5083256099,917517.64478581,2020-12-31T00:00:00Z
5083256304,,
5083256430,,
5083256505,,
5083256506,,
5083256571,,
5083256599,,
5083256726,,
5083256840,,
5083256857,,
5083256907,832210.741645168,2014-12-31T00:00:00Z
5083256907,969290.08846791,2015-12-31T00:00:00Z
5083256940,1057533.73261736,2020-12-31T00:00:00Z
5083256989,,
5083257009,,
5083257071,1138858.32070563,2014-04-30T00:00:00Z
5083257071,1156623.9956622,2015-04-30T00:00:00Z
5083257071,1188345.65890824,2016-04-30T00:00:00Z
5083257071,1990698.68108359,2017-04-30T00:00:00Z
5083257071,1546283.37280687,2018-04-30T00:00:00Z
5083257071,1581796.56970934,2019-04-30T00:00:00Z
5083257071,1664686.54253881,2020-04-30T00:00:00Z
5083257071,1537835.73210258,2021-04-30T00:00:00Z
5083257074,,
5083257122,,
5083257200,670446.649978702,2019-12-31T00:00:00Z
5083257200,567684.672696686,2020-12-31T00:00:00Z
5083257307,,
5083257419,,
5083257435,,
5083257493,,
5083257543,,
5083257582,,
5083257594,,
5083257676,,
5083257687,569206.597658446,2016-12-31T00:00:00Z
5083257687,516628.382935239,2017-12-31T00:00:00Z
5083257687,177971.294766371,2018-12-31T00:00:00Z
5083257687,188287.770315608,2019-12-31T00:00:00Z
5083257687,,2020-12-31T00:00:00Z
5083257689,,
5083257705,,
5083257860,,
5083257911,,
5083257914,,
5083258075,,
5083258081,,
5083258083,,
5083258351,,
5083258451,,
5083258573,,
5083258616,,
5083258871,,
5083258897,,
5083259063,,
5083259290,,
5083259292,,
5083259424,,
5083259487,,
5083259525,,
5083259550,,
5083259760,,
5083260211,,
5083260410,,
5083260480,,
5083260512,,
5083260767,,
5083260810,1723917.64058555,2020-12-31T00:00:00Z
5083260874,1206412.47152141,2019-12-31T00:00:00Z
5083260874,751640.89440935,2020-12-31T00:00:00Z
5083261244,,
5083261263,,
5083261901,,
5083261927,,
5083261984,,
5083262004,,
5083262096,,
5083262311,,
5083262501,,
5083262542,,
5083262738,,
5083262742,,
5083262792,148758.389029007,2017-12-31T00:00:00Z
5083262792,162891.961304264,2018-12-31T00:00:00Z
5083262882,,
5083262902,,
5083263077,,
5083263158,,
5083263429,,
5083263483,,
5083263494,,
5083263506,,
5083263640,,
5083263643,,
5083263707,,
5083263739,,
5083263874,,
5083264010,,
5083264024,,
5083264100,1295013.2162476,2020-12-31T00:00:00Z
5083264334,,
5083264409,,
5083264434,,
5083264513,,
5083264525,,
5083264533,,
5083264573,,
5083264605,,
5083264617,,
5083264765,,
5083264874,,
5083264908,,
5083264964,516440.175063588,2013-12-31T00:00:00Z
5083264964,615295.566187791,2014-12-31T00:00:00Z
5083264964,,2015-12-31T00:00:00Z
5083264964,750154.137406604,2016-12-31T00:00:00Z
5083264964,922261.57521034,2017-12-31T00:00:00Z
5083264964,1237730.62750392,2018-12-31T00:00:00Z
5083264964,1344380.65420077,2019-12-31T00:00:00Z
5083264964,1262979.14712292,2020-12-31T00:00:00Z
5083264993,,
5083265180,,
5083265265,,
5083265385,2127384.39244386,2008-12-31T00:00:00Z
5083265385,1657734.2623099,2009-12-31T00:00:00Z
5083265385,2067971.40239625,2010-12-31T00:00:00Z
5083265385,2741546.28777752,2011-12-31T00:00:00Z
5083265385,2532782.75574904,2012-12-31T00:00:00Z
5083265385,3057677.60047748,2013-12-31T00:00:00Z
5083265385,3321472.77449149,2014-12-31T00:00:00Z
5083265385,3249044.41701865,2015-12-31T00:00:00Z
5083265385,3014851.77279693,2016-12-31T00:00:00Z
5083265385,3453792.43324587,2017-12-31T00:00:00Z
