Instrument,Labor & Related Expenses - Total,Date
5040935509,1807560.05302334,2015-12-31T00:00:00Z
5040935509,1815655.15152953,2016-12-31T00:00:00Z
5040935509,1821032.89797154,2017-12-31T00:00:00Z
5040935509,2015252.94144319,2018-12-31T00:00:00Z
5040935509,2028875.91674638,2019-12-31T00:00:00Z
5040935509,1854568.45009656,2020-12-31T00:00:00Z
5040935598,2311954.35984748,2011-12-31T00:00:00Z
5040935598,2167480.16016557,2012-12-31T00:00:00Z
5040935598,1483152.48792582,2013-12-31T00:00:00Z
5040935598,1321250.79456498,2014-12-31T00:00:00Z
5040935598,1108998.12907951,2015-12-31T00:00:00Z
5040935598,1077832.96294277,2016-12-31T00:00:00Z
5040935598,1219511.95601339,2017-12-31T00:00:00Z
5040935598,1379083.81554549,2018-12-31T00:00:00Z
5040935601,,
5040935707,1601106.12646726,2011-12-31T00:00:00Z
5040935707,1562065.6938327,2012-12-31T00:00:00Z
5040935707,1444830.33475824,2013-12-31T00:00:00Z
5040935707,1436965.68766807,2014-12-31T00:00:00Z
5040935707,1169656.17514439,2015-12-31T00:00:00Z
5040935707,1216196.96891098,2016-12-31T00:00:00Z
5040935707,1274614.03545591,2017-12-31T00:00:00Z
5040935707,1310215.70990027,2018-12-31T00:00:00Z
5040935707,1279749.00147522,2019-12-31T00:00:00Z
5040935707,1278615.51528396,2020-12-31T00:00:00Z
5040935710,646710.704394598,2010-12-31T00:00:00Z
5040935710,684222.696232493,2011-12-31T00:00:00Z
5040935710,635874.489226818,2012-12-31T00:00:00Z
5040935710,665442.89966998,2013-12-31T00:00:00Z
5040935710,505516.506871266,2014-12-31T00:00:00Z
5040935710,394774.496520571,2015-12-31T00:00:00Z
5040935710,507334.688550127,2016-12-31T00:00:00Z
5040935710,427737.460639454,2017-12-31T00:00:00Z
5040935710,468918.012187885,2018-12-31T00:00:00Z
5040935710,,2019-12-31T00:00:00Z
5040935710,,2020-12-31T00:00:00Z
5040935733,715136.910504684,2011-12-31T00:00:00Z
5040935733,755133.222930251,2012-12-31T00:00:00Z
5040935733,843428.011048309,2013-12-31T00:00:00Z
5040935733,823215.167990613,2014-12-31T00:00:00Z
5040935733,653068.389395176,2015-12-31T00:00:00Z
5040935733,819696.497027902,2016-12-31T00:00:00Z
5040935733,1020417.84919254,2017-12-31T00:00:00Z
5040935733,1193385.88782356,2018-12-31T00:00:00Z
5040935733,982646.131343386,2019-12-31T00:00:00Z
5040935733,962161.374989707,2020-12-31T00:00:00Z
5040935778,2452765.92543411,2011-12-31T00:00:00Z
5040935778,2571204.53140403,2012-12-31T00:00:00Z
5040935778,2820340.15245334,2013-12-31T00:00:00Z
5040935778,2752168.11092917,2014-12-31T00:00:00Z
5040935778,2097923.15877651,2015-12-31T00:00:00Z
5040935778,2418092.7485746,2016-12-31T00:00:00Z
5040935778,2544262.82858842,2017-12-31T00:00:00Z
5040935778,2393781.56497172,2018-12-31T00:00:00Z
5040935778,2522075.78079371,2019-12-31T00:00:00Z
5040935778,2465931.82460504,2020-12-31T00:00:00Z
5040935786,804663.04547791,2011-12-31T00:00:00Z
5040935786,796090.767838501,2012-12-31T00:00:00Z
5040935786,1078300.2297954,2013-12-31T00:00:00Z
5040935786,1210151.76377274,2014-12-31T00:00:00Z
5040935786,1005456.83323517,2015-12-31T00:00:00Z
5040935786,989642.295917373,2016-12-31T00:00:00Z
5040935786,1043064.19832605,2017-12-31T00:00:00Z
5040935786,1214046.31951713,2018-12-31T00:00:00Z
5040935786,1245966.63071368,2019-12-31T00:00:00Z
5040935786,1214834.06065101,2020-12-31T00:00:00Z
5040935805,1245842.33363891,2010-12-31T00:00:00Z
5040935805,1545710.71360958,2011-12-31T00:00:00Z
5040935805,1469308.90095225,2012-12-31T00:00:00Z
5040935805,1520452.71700894,2013-12-31T00:00:00Z
5040935805,1465615.86752853,2014-12-31T00:00:00Z
5040935805,1364681.73718493,2015-12-31T00:00:00Z
5040935805,1407117.84536325,2016-12-31T00:00:00Z
5040935805,1440767.99808256,2017-12-31T00:00:00Z
5040935805,1716414.55444697,2018-12-31T00:00:00Z
5040935805,1854959.26727028,2019-12-31T00:00:00Z
5040935805,1844329.286811,2020-12-31T00:00:00Z
5040935981,1593422.24661926,2011-12-31T00:00:00Z
5040935981,1749128.09431702,2012-12-31T00:00:00Z
5040935981,1701503.60064067,2013-12-31T00:00:00Z
5040935981,1531829.61653938,2014-12-31T00:00:00Z
5040935981,987433.438400319,2015-12-31T00:00:00Z
5040935981,814691.080791325,2016-12-31T00:00:00Z
5040935981,893985.825153016,2017-12-31T00:00:00Z
5040935981,1054788.82521256,2018-12-31T00:00:00Z
5040935981,1060561.70027153,2019-12-31T00:00:00Z
5040935981,,2020-12-31T00:00:00Z
5040936224,2770128.03264458,2011-12-31T00:00:00Z
5040936224,2730560.35739159,2012-12-31T00:00:00Z
5040936224,3098814.46547111,2013-12-31T00:00:00Z
5040936224,3071458.44870744,2014-12-31T00:00:00Z
5040936224,2732098.05841377,2015-12-31T00:00:00Z
5040936224,2589349.48981175,2016-12-31T00:00:00Z
5040936224,2605056.77118214,2017-12-31T00:00:00Z
5040936224,2926402.57488143,2018-12-31T00:00:00Z
5040936224,2379552.84960107,2019-12-31T00:00:00Z
5040936224,2342101.94362033,2020-12-31T00:00:00Z
5040936236,1075207.09407963,2011-12-31T00:00:00Z
5040936236,1421295.64452619,2012-12-31T00:00:00Z
5040936236,1925645.61650084,2013-12-31T00:00:00Z
5040936236,1783155.36098199,2014-12-31T00:00:00Z
5040936236,1429441.65931567,2015-12-31T00:00:00Z
5040936236,1473141.66905523,2016-12-31T00:00:00Z
5040936236,1478310.07418625,2017-12-31T00:00:00Z
5040936236,1482262.99525323,2018-12-31T00:00:00Z
5040936236,1189890.17015663,2019-12-31T00:00:00Z
5040936236,1077885.25170668,2020-12-31T00:00:00Z
5040936237,1803687.98988199,2014-12-31T00:00:00Z
5040936237,1826702.1413307,2015-12-31T00:00:00Z
5040936237,1674788.43744302,2016-12-31T00:00:00Z
5040936237,1804683.92934574,2017-12-31T00:00:00Z
5040936237,1622212.82422512,2018-12-31T00:00:00Z
5040936237,1347654.97906661,2019-12-31T00:00:00Z
5040936237,1158518.66258045,2020-12-31T00:00:00Z
5040936268,,
5040936277,871137.540907131,2011-12-31T00:00:00Z
5040936277,960781.400095622,2012-12-31T00:00:00Z
5040936277,931143.161631887,2013-12-31T00:00:00Z
5040936277,838336.096250301,2014-12-31T00:00:00Z
5040936277,570533.670979036,2015-12-31T00:00:00Z
5040936277,602795.126776261,2016-12-31T00:00:00Z
5040936277,700825.788425969,2017-12-31T00:00:00Z
5040936277,709710.424425986,2018-12-31T00:00:00Z
5040936277,596253.156673461,2019-12-31T00:00:00Z
5040936277,578192.751781311,2020-12-31T00:00:00Z
5040936425,708346.505057613,2011-12-31T00:00:00Z
5040936425,558605.843580582,2012-12-31T00:00:00Z
5040936425,717050.065935658,2013-12-31T00:00:00Z
5040936425,699223.556261169,2014-12-31T00:00:00Z
5040936425,645859.031461236,2015-12-31T00:00:00Z
5040936425,669176.480199428,2016-12-31T00:00:00Z
5040936425,645723.708983457,2017-12-31T00:00:00Z
5040936425,732707.452561085,2018-12-31T00:00:00Z
5040936425,649940.964752414,2019-12-31T00:00:00Z
5040936425,639307.757641981,2020-12-31T00:00:00Z
5040936593,2364848.04438256,2011-12-31T00:00:00Z
5040936593,2239586.09006707,2012-12-31T00:00:00Z
5040936593,2116915.74097727,2013-12-31T00:00:00Z
5040936593,1857009.15795562,2014-12-31T00:00:00Z
5040936593,1490224.00465526,2015-12-31T00:00:00Z
5040936593,1412838.32106219,2016-12-31T00:00:00Z
5040936593,1551335.46738149,2017-12-31T00:00:00Z
5040936593,1416715.31613019,2018-12-31T00:00:00Z
5040936593,1221625.12450839,2019-12-31T00:00:00Z
5040936593,1398712.36798748,2020-12-31T00:00:00Z
5040936670,2454374.17935578,2011-12-31T00:00:00Z
5040936670,2605450.54584412,2012-12-31T00:00:00Z
5040936670,2567924.90358953,2013-12-31T00:00:00Z
5040936670,2064245.4589463,2014-12-31T00:00:00Z
5040936670,1713838.39988212,2015-12-31T00:00:00Z
5040936670,1843542.47056188,2016-12-31T00:00:00Z
5040936670,1693510.9426903,2017-12-31T00:00:00Z
5040936670,1833736.291564,2018-12-31T00:00:00Z
5040936670,1900571.15506617,2019-12-31T00:00:00Z
5040936670,1893711.91807363,2020-12-31T00:00:00Z
5040936695,946276.519016756,2010-12-31T00:00:00Z
5040936695,1359153.25869531,2011-12-31T00:00:00Z
5040936695,1290334.75513469,2012-12-31T00:00:00Z
5040936695,1711382.20012387,2013-12-31T00:00:00Z
5040936695,1768830.27105176,2014-12-31T00:00:00Z
5040936695,1559582.99995076,2015-12-31T00:00:00Z
5040936695,1619013.79937831,2016-12-31T00:00:00Z
5040936695,1742315.64162509,2017-12-31T00:00:00Z
5040936695,1801023.94138253,2018-12-31T00:00:00Z
5040936695,1748948.59538557,2019-12-31T00:00:00Z
5040936695,1288534.70471684,2020-12-31T00:00:00Z
5040936962,2991016.28523131,2010-12-31T00:00:00Z
5040936962,3930929.97433335,2011-12-31T00:00:00Z
5040936962,4440107.63099895,2012-12-31T00:00:00Z
5040936962,4960589.82669265,2013-12-31T00:00:00Z
5040936962,4459082.15994915,2014-12-31T00:00:00Z
5040936962,3259499.88106389,2015-12-31T00:00:00Z
5040936962,3929385.56878348,2020-12-31T00:00:00Z
5040936962,3929385.56878348,2020-12-31T00:00:00Z
5040936963,1796955.7151512,2011-12-31T00:00:00Z
5040936963,2000552.35108573,2012-12-31T00:00:00Z
5040936963,2786446.33698512,2013-12-31T00:00:00Z
5040936963,3214550.18034386,2014-12-31T00:00:00Z
5040936963,1735963.67078284,2015-12-31T00:00:00Z
5040936963,1912307.35552627,2016-12-31T00:00:00Z
5040936963,2238718.77049291,2017-12-31T00:00:00Z
5040936963,2213617.68145343,2018-12-31T00:00:00Z
5040936963,2463496.92240248,2019-12-31T00:00:00Z
5040936963,2256028.97725111,2020-12-31T00:00:00Z
5040937024,857020.64537243,2011-12-31T00:00:00Z
5040937024,1071951.8791323,2012-12-31T00:00:00Z
5040937024,1198716.95108199,2013-12-31T00:00:00Z
5040937024,1276206.3451177,2014-12-31T00:00:00Z
5040937024,1196629.1177593,2015-12-31T00:00:00Z
5040937024,1327507.89188627,2016-12-31T00:00:00Z
5040937024,1542979.32786163,2017-12-31T00:00:00Z
5040937024,1658491.55844894,2018-12-31T00:00:00Z
5040937024,1921727.79130067,2019-12-31T00:00:00Z
5040937024,1862994.42821696,2020-12-31T00:00:00Z
5040937027,1901134.83029968,2011-12-31T00:00:00Z
5040937027,2285190.07914558,2012-12-31T00:00:00Z
5040937027,2261688.31961036,2013-12-31T00:00:00Z
5040937027,2192693.76532071,2014-12-31T00:00:00Z
5040937027,1767535.6865625,2015-12-31T00:00:00Z
5040937027,1715189.29706682,2016-12-31T00:00:00Z
5040937027,1958122.02748566,2017-12-31T00:00:00Z
5040937027,1908015.46265278,2018-12-31T00:00:00Z
5040937027,1736550.35157072,2019-12-31T00:00:00Z
5040937027,1358715.63640327,2020-12-31T00:00:00Z
5040937038,841652.885676428,2011-12-31T00:00:00Z
5040937038,834811.135924031,2012-12-31T00:00:00Z
5040937038,795567.899759016,2013-12-31T00:00:00Z
5040937038,785810.766506121,2014-12-31T00:00:00Z
5040937038,577743.028912976,2015-12-31T00:00:00Z
5040937038,552860.14098756,2016-12-31T00:00:00Z
5040937038,598372.251704288,2017-12-31T00:00:00Z
5040937038,583903.152863382,2018-12-31T00:00:00Z
5040937038,,2019-12-31T00:00:00Z
5040937038,,2020-12-31T00:00:00Z
5040937050,1488707.04683022,2011-12-31T00:00:00Z
5040937050,1733467.85655798,2012-12-31T00:00:00Z
5040937050,1524029.45130458,2013-12-31T00:00:00Z
5040937050,1473255.91549132,2014-12-31T00:00:00Z
5040937050,1389790.190679,2015-12-31T00:00:00Z
5040937050,1326912.00900097,2016-12-31T00:00:00Z
5040937050,1377794.1930054,2017-12-31T00:00:00Z
5040937050,1033144.56343835,2018-12-31T00:00:00Z
5040937050,,2019-12-31T00:00:00Z
5040937050,,2020-12-31T00:00:00Z
5040937078,564139.736747448,2011-12-31T00:00:00Z
5040937078,521262.199693649,2012-12-31T00:00:00Z
5040937078,522373.527844338,2013-12-31T00:00:00Z
5040937078,463018.740078247,2014-12-31T00:00:00Z
5040937078,367925.853180381,2015-12-31T00:00:00Z
5040937078,361581.734804108,2016-12-31T00:00:00Z
5040937078,379780.486003774,2017-12-31T00:00:00Z
5040937078,407305.653387431,2018-12-31T00:00:00Z
5040937078,384800.539684532,2019-12-31T00:00:00Z
5040937078,276777.382562719,2020-12-31T00:00:00Z
5040937092,452276.741750964,2011-12-31T00:00:00Z
5040937092,476862.844288907,2012-12-31T00:00:00Z
5040937092,476557.264723984,2013-12-31T00:00:00Z
5040937092,483392.201312354,2014-12-31T00:00:00Z
5040937092,369914.64157595,2015-12-31T00:00:00Z
5040937092,397692.237653694,2016-12-31T00:00:00Z
5040937092,450747.120186877,2017-12-31T00:00:00Z
5040937092,436205.662006406,2018-12-31T00:00:00Z
5040937092,,2019-12-31T00:00:00Z
5040937092,,2020-12-31T00:00:00Z
5040937101,1213515.08745667,2010-12-31T00:00:00Z
5040937101,1249434.60226106,2011-12-31T00:00:00Z
5040937101,1683561.60435885,2012-12-31T00:00:00Z
5040937101,1518749.51020149,2013-12-31T00:00:00Z
5040937101,,2014-12-31T00:00:00Z
5040937101,,2015-12-31T00:00:00Z
5040937101,,2016-12-31T00:00:00Z
5040937101,725652.000042925,2017-12-31T00:00:00Z
5040937101,918774.316563254,2018-12-31T00:00:00Z
5040937101,1327408.3056809,2019-12-31T00:00:00Z
5040937137,1142753.75878997,2011-12-31T00:00:00Z
5040937137,1130634.74809748,2012-12-31T00:00:00Z
5040937137,1058032.06878677,2013-12-31T00:00:00Z
5040937137,1069447.5471247,2014-12-31T00:00:00Z
5040937137,669973.090757517,2015-12-31T00:00:00Z
5040937137,577410.515862196,2016-12-31T00:00:00Z
5040937137,606728.391224141,2017-12-31T00:00:00Z
5040937137,510115.896814935,2018-12-31T00:00:00Z
5040937137,509010.468545162,2019-12-31T00:00:00Z
5040937137,,2020-12-31T00:00:00Z
5040937241,3144851.19639479,2011-12-31T00:00:00Z
5040937241,3427699.07345596,2012-12-31T00:00:00Z
5040937241,3504007.36496302,2013-12-31T00:00:00Z
5040937241,3066842.58639658,2014-12-31T00:00:00Z
5040937241,1807684.35229807,2015-12-31T00:00:00Z
5040937241,1645113.46975475,2016-12-31T00:00:00Z
5040937241,2122217.23110017,2017-12-31T00:00:00Z
5040937241,2934396.19428668,2018-12-31T00:00:00Z
5040937241,2176403.6436074,2019-12-31T00:00:00Z
5040937241,1676129.69825554,2020-12-31T00:00:00Z
5040937274,1286245.74757939,2011-12-31T00:00:00Z
5040937274,410952.173281094,2012-12-31T00:00:00Z
5040937274,407407.06834159,2013-12-31T00:00:00Z
5040937274,362265.607568955,2014-12-31T00:00:00Z
5040937274,305154.719445214,2015-12-31T00:00:00Z
5040937274,240259.979355663,2016-12-31T00:00:00Z
5040937274,386077.866511489,2017-12-31T00:00:00Z
5040937274,241284.327278424,2018-12-31T00:00:00Z
5040937274,318373.251722438,2019-12-31T00:00:00Z
5040937274,254059.239022889,2020-12-31T00:00:00Z
5040937450,3997761.85952294,2011-12-31T00:00:00Z
5040937450,4358020.45065763,2012-12-31T00:00:00Z
5040937450,4590142.34607268,2013-12-31T00:00:00Z
5040937450,4426452.78844141,2014-12-31T00:00:00Z
5040937450,3819343.81441674,2015-12-31T00:00:00Z
5040937450,3345644.04784302,2016-12-31T00:00:00Z
5040937450,3418629.89139047,2017-12-31T00:00:00Z
5040937450,3447832.5176238,2018-12-31T00:00:00Z
5040937450,3146537.78577985,2019-12-31T00:00:00Z
5040937450,3410921.26950126,2020-12-31T00:00:00Z
5040937492,2693646.62392494,2011-12-31T00:00:00Z
5040937492,3171972.55356663,2012-12-31T00:00:00Z
5040937492,3462789.76022277,2013-12-31T00:00:00Z
5040937492,3371171.16358105,2014-12-31T00:00:00Z
5040937492,2234279.46314775,2015-12-31T00:00:00Z
5040937492,1440844.81667161,2016-12-31T00:00:00Z
5040937492,1702351.49609536,2017-12-31T00:00:00Z
5040937492,1791062.66181599,2018-12-31T00:00:00Z
5040937492,2222925.49425209,2019-12-31T00:00:00Z
5040937492,1721672.64328609,2020-12-31T00:00:00Z
5040937497,338358.510040855,2010-12-31T00:00:00Z
5040937497,698160.896887007,2011-12-31T00:00:00Z
5040937497,876284.952406754,2012-12-31T00:00:00Z
5040937497,918198.789895281,2013-12-31T00:00:00Z
5040937497,990659.552508425,2014-12-31T00:00:00Z
5040937497,826963.074732795,2015-12-31T00:00:00Z
5040937497,663098.4747693,2016-12-31T00:00:00Z
5040937497,822898.087498611,2017-12-31T00:00:00Z
5040937497,1040646.26780327,2018-12-31T00:00:00Z
5040937497,1030077.94483687,2019-12-31T00:00:00Z
5040937497,833531.886214894,2020-12-31T00:00:00Z
5040937520,3548522.93073514,2011-12-31T00:00:00Z
5040937520,3139791.62542444,2012-12-31T00:00:00Z
5040937520,2776908.37886341,2013-12-31T00:00:00Z
5040937520,0.0,2014-12-31T00:00:00Z
5040937520,0.0,2015-12-31T00:00:00Z
5040937520,0.0,2016-12-31T00:00:00Z
5040937520,0.0,2017-12-31T00:00:00Z
5040937524,1381490.11871857,2011-12-31T00:00:00Z
5040937524,1482559.87136374,2012-12-31T00:00:00Z
5040937524,1610041.39508071,2013-12-31T00:00:00Z
5040937524,1475325.09514791,2014-12-31T00:00:00Z
5040937524,1216392.70244027,2015-12-31T00:00:00Z
5040937524,1271733.25382157,2016-12-31T00:00:00Z
5040937536,1035000.74603776,2011-12-31T00:00:00Z
5040937536,1108262.97987029,2012-12-31T00:00:00Z
5040937536,1133654.45103747,2013-12-31T00:00:00Z
5040937536,1082499.2957278,2014-12-31T00:00:00Z
5040937536,845607.96594126,2015-12-31T00:00:00Z
5040937536,818385.554680227,2016-12-31T00:00:00Z
5040937536,911182.518077932,2017-12-31T00:00:00Z
5040937536,885938.987621695,2018-12-31T00:00:00Z
5040937536,,2019-12-31T00:00:00Z
5040937536,,2020-12-31T00:00:00Z
5040937540,711920.402661335,2011-12-31T00:00:00Z
5040937540,754961.132405426,2012-12-31T00:00:00Z
5040937540,810896.761026049,2013-12-31T00:00:00Z
5040937540,740447.981727056,2014-12-31T00:00:00Z
5040937540,720438.596295097,2015-12-31T00:00:00Z
5040937540,612686.782672353,2016-12-31T00:00:00Z
5040937540,713057.239027494,2017-12-31T00:00:00Z
5040937540,783374.701714353,2018-12-31T00:00:00Z
5040937540,751288.077037049,2019-12-31T00:00:00Z
5040937540,736899.782707448,2020-12-31T00:00:00Z
5040937553,2028901.66963273,2011-12-31T00:00:00Z
5040937553,2106904.29542732,2012-12-31T00:00:00Z
5040937553,1507508.34527233,2013-12-31T00:00:00Z
5040937553,785969.934172012,2014-12-31T00:00:00Z
5040937553,630570.220670294,2015-12-31T00:00:00Z
5040937553,601484.184428587,2016-12-31T00:00:00Z
5040937553,743817.520738258,2017-12-31T00:00:00Z
5040937553,879175.155817254,2018-12-31T00:00:00Z
5040937553,813393.041467364,2019-12-31T00:00:00Z
5040937553,857316.609263637,2020-12-31T00:00:00Z
5040937555,1008911.2935306,2011-12-31T00:00:00Z
5040937555,1009827.19967063,2012-12-31T00:00:00Z
5040937555,1268889.07154885,2013-12-31T00:00:00Z
5040937555,1130567.93082702,2014-12-31T00:00:00Z
5040937555,972890.423257716,2015-12-31T00:00:00Z
5040937555,965449.450773921,2016-12-31T00:00:00Z
5040937555,1078910.82583151,2017-12-31T00:00:00Z
5040937555,1075818.19318637,2018-12-31T00:00:00Z
5040937555,1114135.76299438,2019-12-31T00:00:00Z
5040937555,1178996.98915156,2020-12-31T00:00:00Z
5040937614,1543387.68016716,2011-12-31T00:00:00Z
5040937614,1844294.15454501,2012-12-31T00:00:00Z
5040937614,1738292.86768155,2013-12-31T00:00:00Z
5040937649,670463.190458165,2011-12-31T00:00:00Z
5040937649,832057.687526837,2012-12-31T00:00:00Z
5040937649,836615.183818516,2013-12-31T00:00:00Z
5040937649,1141550.49977353,2014-12-31T00:00:00Z
5040937649,591950.058263679,2016-12-31T00:00:00Z
5040937649,583355.421262812,2017-12-31T00:00:00Z
5040937649,609359.756200097,2018-12-31T00:00:00Z
5040937649,,2019-12-31T00:00:00Z
5040937649,,2020-12-31T00:00:00Z
5040937677,,
5040937708,1982822.03038292,2015-12-31T00:00:00Z
5040937708,1862253.19316051,2016-12-31T00:00:00Z
5040937708,1896117.05017892,2017-12-31T00:00:00Z
5040937708,2421943.70103021,2018-12-31T00:00:00Z
5040937708,2271608.50666267,2019-12-31T00:00:00Z
5040937708,1865447.56108746,2020-12-31T00:00:00Z
5040937711,1027495.56106995,2011-12-31T00:00:00Z
5040937711,1098109.63890564,2012-12-31T00:00:00Z
5040937711,1141659.52303247,2013-12-31T00:00:00Z
5040937711,1120858.70320764,2014-12-31T00:00:00Z
5040937711,1135971.07169443,2015-12-31T00:00:00Z
5040937711,1358374.62534516,2016-12-31T00:00:00Z
5040937711,1761934.40397605,2017-12-31T00:00:00Z
