Instrument,Total Assets,Date
5063191219,3598902.56959315,2014-12-31T00:00:00Z
5063191219,7724496.02932193,2015-12-31T00:00:00Z
5063191219,9557253.67604492,2016-12-31T00:00:00Z
5063191219,8907883.51407335,2017-12-31T00:00:00Z
5063191219,8143817.93556901,2018-12-31T00:00:00Z
5063191219,6548687.68796136,2019-12-31T00:00:00Z
5063191219,5418925.37800627,2020-12-31T00:00:00Z
5063191243,,
5063191251,,
5063191376,,
5063191430,,
5063191466,,
5063191603,,
5063191610,,
5063191925,,
5063191933,,
5063191982,,
5063191992,,
5063192122,,
5063192205,,
5063282442,2245299.66741329,2015-12-31T00:00:00Z
5063282442,2298367.48871136,2016-12-31T00:00:00Z
5063282442,3326306.81125868,2017-12-31T00:00:00Z
5063282442,2422586.73179992,2018-12-31T00:00:00Z
5063282442,2471634.92208147,2019-12-31T00:00:00Z
5063282442,2822135.95402138,2020-12-31T00:00:00Z
5063297241,,
5063313957,114970.475859674,2016-12-31T00:00:00Z
5063313957,60823321.5547703,2017-12-31T00:00:00Z
5063313957,84524407.6076262,2018-12-31T00:00:00Z
5063313957,116128907.317962,2019-12-31T00:00:00Z
5063313957,134477203.045034,2020-12-31T00:00:00Z
5063353452,177359.152283374,2016-09-30T00:00:00Z
5063353452,28021233.8233446,2017-09-30T00:00:00Z
5063353452,22575999.4106669,2018-09-30T00:00:00Z
5063353452,21338098.6418871,2019-09-30T00:00:00Z
5063353452,17211897.1061093,2020-09-30T00:00:00Z
5063735128,,
5063737684,15498126.3383298,2014-12-31T00:00:00Z
5063737684,14145003.2806172,2015-12-31T00:00:00Z
5063737684,15708000.4631238,2016-12-31T00:00:00Z
5063737684,18345924.2110394,2017-12-31T00:00:00Z
5063737684,18758609.5130054,2018-12-31T00:00:00Z
5063737684,19802469.6983505,2019-12-31T00:00:00Z
5063737684,21139556.3016589,2020-12-31T00:00:00Z
5063763695,3294759.57338081,2013-12-31T00:00:00Z
5063763695,,2014-12-31T00:00:00Z
5063763695,1848231.86044933,2015-12-31T00:00:00Z
5063763695,34271.158967234,2016-12-31T00:00:00Z
5063763810,1270610.27837259,2014-12-31T00:00:00Z
5063763810,1162922.23805968,2015-12-31T00:00:00Z
5063763810,1367488.71135811,2016-12-31T00:00:00Z
5063763810,1532472.27976118,2017-12-31T00:00:00Z
5063763810,1578941.27588642,2018-12-31T00:00:00Z
5063763847,1276766.59528908,2014-12-31T00:00:00Z
5063763847,1088146.79065137,2015-12-31T00:00:00Z
5063763847,1285168.46127127,2016-12-31T00:00:00Z
5063763847,1568782.74643597,2017-12-31T00:00:00Z
5063763847,1361778.97137301,2018-12-31T00:00:00Z
5063763847,1458580.15128042,2019-12-31T00:00:00Z
5063763847,1288427.23743574,2020-12-31T00:00:00Z
5063764057,0.0,2014-12-31T00:00:00Z
5063764057,0.0,2015-12-31T00:00:00Z
5063764057,0.0,2016-12-31T00:00:00Z
