Instrument,Operating Profit before Non-Recurring Income/Expense,Date
5062141525,,
5062141531,,
5062141606,,
5062141620,,
5062141622,,
5062141682,,
5062141725,,
5062141750,,
5062141836,,
5062141849,,
5062141853,,
5062141890,,
5062141903,,
5062141930,,
5062141990,,
5062142061,,
5062142072,,
5062142091,,
5062142148,,
5062142181,,
5062142221,,
5062142291,,
5062142378,,
5062142380,,
5062142502,,
5062142532,,
5062142566,,
5062142571,,
5062142630,,
5062142636,,
5062142644,,
5062142688,,
5062142731,,
5062142734,,
5062142743,,
5062142760,,
5062142802,,
5062142830,,
5062142833,,
5062142911,,
5062142915,,
5062142930,,
5062142945,,
5062142948,,
5062142957,,
5062143076,,
5062143129,,
5062143137,,
5062165127,-216405.03729292,2015-12-31T00:00:00Z
5062165127,-208082.303549101,2016-12-31T00:00:00Z
5062165127,-289073.985998408,2017-12-31T00:00:00Z
5062165127,-339544.35658294,2018-12-31T00:00:00Z
5062165175,-3575.29731184022,2016-12-31T00:00:00Z
5062165175,-6055.17356511119,2017-12-31T00:00:00Z
5062165175,-4304.25660282611,2018-12-31T00:00:00Z
5062348416,,
5062348482,,
5062348488,,
5062348740,,
5062348741,,
5062348831,,
5062348838,,
5062348839,,
5062348840,,
5062349165,,
5062351391,,
5062351433,,
5062351441,,
5062351467,,
5062351469,,
5062351486,,
5062351525,,
5062351534,,
5062351538,,
5062351689,,
5062351704,,
5062351706,,
5062351713,,
5062351724,,
5062351760,,
5062351824,,
5062351825,,
5062351829,,
5062388231,-222038.893918582,2014-12-31T00:00:00Z
5062388231,289741.60937955,2015-12-31T00:00:00Z
5062388231,-539393.187779628,2016-12-31T00:00:00Z
5062388231,-4844.13885208895,2017-12-31T00:00:00Z
5062388231,200947.293971939,2018-12-31T00:00:00Z
5062388231,-38787.1664299218,2019-12-31T00:00:00Z
5062388231,-54395.5549545229,2020-12-31T00:00:00Z
5062388318,763368.125615426,2014-12-31T00:00:00Z
5062388318,582590.700627177,2015-12-31T00:00:00Z
5062388318,526760.470611126,2016-12-31T00:00:00Z
5062388318,521108.237013469,2017-12-31T00:00:00Z
5062388318,415668.209072922,2018-12-31T00:00:00Z
5062388318,458621.275793093,2019-12-31T00:00:00Z
5062388318,322426.985544162,2020-12-31T00:00:00Z
5062388420,-124150.779395336,2014-12-31T00:00:00Z
5062388420,-8203.7521317247,2015-12-31T00:00:00Z
5062388420,-58992.4056453637,2016-12-31T00:00:00Z
5062388447,524139.123780566,2014-12-31T00:00:00Z
5062388447,487998.952562897,2015-12-31T00:00:00Z
5062388447,459902.410879714,2016-12-31T00:00:00Z
5062388447,246929.977985234,2017-12-31T00:00:00Z
5062388447,410872.037429773,2018-12-31T00:00:00Z
5062388447,-23317.7980003929,2019-12-31T00:00:00Z
5062388447,-5546.21344634351,2020-12-31T00:00:00Z
5062388646,608816.322034821,2014-12-31T00:00:00Z
5062388646,877304.280995651,2015-12-31T00:00:00Z
5062388646,700996.626274806,2016-12-31T00:00:00Z
5062388646,909487.069479701,2017-12-31T00:00:00Z
5062388646,639120.616139637,2018-12-31T00:00:00Z
5062388646,669163.929933226,2019-12-31T00:00:00Z
5062388646,721007.748024656,2020-12-31T00:00:00Z
5062388819,-7640.04796278991,2014-12-31T00:00:00Z
5062388819,-6712.16083504748,2015-12-31T00:00:00Z
5062388819,-33131.0884230527,2016-12-31T00:00:00Z
5062389008,66372.9166767374,2014-12-31T00:00:00Z
5062389008,54318.7830539954,2015-12-31T00:00:00Z
5062389008,56132.1677958915,2016-12-31T00:00:00Z
5062389008,159856.582118935,2017-12-31T00:00:00Z
5062389008,30990.647540348,2018-12-31T00:00:00Z
5062389008,66541.0333181943,2019-12-31T00:00:00Z
5062389024,-10823.401280619,2014-12-31T00:00:00Z
5062389024,-9446.74487895572,2015-12-31T00:00:00Z
5062389024,-5482.12254482167,2016-12-31T00:00:00Z
5062389024,-9688.2777041779,2017-12-31T00:00:00Z
5062389024,-5657.02296371432,2018-12-31T00:00:00Z
5062389024,-3753.59675128276,2019-12-31T00:00:00Z
5062389024,-4266.31803564885,2020-12-31T00:00:00Z
5062389128,1201556.70981461,2014-12-31T00:00:00Z
5062389128,-1856906.86508841,2015-12-31T00:00:00Z
5062389128,-392210.115108872,2016-12-31T00:00:00Z
5062389128,-1498776.56083632,2017-12-31T00:00:00Z
5062389128,-1996191.23363067,2018-12-31T00:00:00Z
5062389128,-56758.9326936393,2019-12-31T00:00:00Z
5062389128,-2073323.90737445,2020-12-31T00:00:00Z
5062455107,121321.755448445,2016-12-31T00:00:00Z
5062455107,277084.742339488,2017-12-31T00:00:00Z
5062455107,565333.36009119,2018-12-31T00:00:00Z
5062455107,446678.013402648,2019-12-31T00:00:00Z
5062455107,734659.965738732,2020-12-31T00:00:00Z
5062459910,93993.5069778771,2011-12-31T00:00:00Z
5062459910,-637423.303950239,2012-12-31T00:00:00Z
5062459910,183776.014523652,2013-12-31T00:00:00Z
5063190558,,
5063190685,,
5063190729,,
5063190802,,
5063190836,,
5063190852,,
5063190854,,
5063190866,,
5063190870,-636.670663565826,2014-12-31T00:00:00Z
5063190870,-870.094923061711,2015-12-31T00:00:00Z
5063190870,-834.236039429385,2016-12-31T00:00:00Z
5063190870,-19739.8658222625,2017-12-31T00:00:00Z
5063190870,-7624.68312500626,2018-12-31T00:00:00Z
5063190870,-909.96284879582,2019-12-31T00:00:00Z
5063190870,-1919.84311604198,2020-12-31T00:00:00Z
5063190878,,
5063190914,,
5063190951,,
5063190989,,
5063191024,,
5063191037,,
5063191091,,
5063191175,,
5063191184,,
5063191219,-159.167665891457,2014-12-31T00:00:00Z
5063191219,-5469.16808781647,2015-12-31T00:00:00Z
5063191219,23239.4325269614,2016-12-31T00:00:00Z
5063191219,21677.5213630981,2017-12-31T00:00:00Z
