Instrument,Total Assets,Date
5081872389,,
5081872391,,
5081872401,,
5081872409,,
5081872413,,
5081872428,,
5081872440,,
5081872447,,
5081872453,,
5081872460,,
5081872498,,
5081872499,,
5081872501,,
5081872512,,
5081872514,,
5081872525,,
5081872537,,
5081872544,,
5081872545,,
5081872548,,
5081872549,,
5081872552,,
5081872554,,
5081872598,,
5081872601,,
5081872605,,
5081872610,4900693.44840434,2019-12-31T00:00:00Z
5081872610,6654746.74725903,2020-12-31T00:00:00Z
5081872632,,
5081872634,,
5081872666,11406079.1936364,2019-12-31T00:00:00Z
5081872666,18389202.3440021,2020-12-31T00:00:00Z
5081872673,,
5081872678,,
5081872708,,
5081872709,,
5081872711,,
5081872712,,
5081872717,,
5081872724,,
5081872727,,
5081872733,,
5081872737,,
5081872741,,
5081872744,,
5081872763,,
5081872765,,
5081872770,10139424.2883621,2020-12-31T00:00:00Z
5081872772,,
5081872781,,
5081872782,,
5081872788,,
5081872789,9176089.87409776,2019-12-31T00:00:00Z
5081872789,10333721.3772626,2020-12-31T00:00:00Z
5081872794,,
5081872797,12140685.7516622,2017-12-31T00:00:00Z
5081872797,7579421.54944759,2018-12-31T00:00:00Z
5081872800,,
5081872810,,
5081872816,20930465.1639271,2018-12-31T00:00:00Z
5081872816,19394631.9781296,2019-12-31T00:00:00Z
5081872816,18413905.3795863,2020-12-31T00:00:00Z
5081872817,,
5081872822,,
5081872837,,
5081872857,,
5081872864,,
5081872867,,
5081872875,,
5081872879,,
5081872883,,
5081872884,,
5081872903,,
5081872917,,
5081872919,,
5081872922,,
5081872930,25409675.9402528,2015-12-31T00:00:00Z
5081872930,28781423.9834197,2016-12-31T00:00:00Z
5081872930,45044351.5383966,2017-12-31T00:00:00Z
5081872930,50379162.8707446,2018-12-31T00:00:00Z
5081872930,61319636.1702496,2019-12-31T00:00:00Z
5081872930,95912576.7683754,2020-12-31T00:00:00Z
5081872951,,
5081872963,,
5081872965,,
5081872968,,
5081872982,,
5081872986,,
5081872992,,
5081873000,,
5081873003,,
5081873008,19728335.018673,2019-12-31T00:00:00Z
5081873008,30273767.3416508,2020-12-31T00:00:00Z
5081873012,2654796.24449834,2018-12-31T00:00:00Z
5081873012,2783674.5639346,2019-12-31T00:00:00Z
5081873028,,
5081873055,,
5081873072,,
5081873074,,
5081873077,,
5081873087,,
5081873100,,
5081873102,,
5081873115,,
5081873127,,
5081873130,,
5081873147,,
5081873180,,
5081873183,,
5081873184,,
5081873200,,
5081873204,,
5081873253,,
5081873262,9298393.24062005,2017-12-31T00:00:00Z
5081873262,8093426.20767089,2018-12-31T00:00:00Z
5081873273,,
5081873282,,
