Instrument,Cost of Operating Revenue,Date
5040935509,3800923.86148798,2014-12-31T00:00:00Z
5040935509,2816497.26595076,2015-12-31T00:00:00Z
5040935509,3002177.15275223,2016-12-31T00:00:00Z
5040935509,3168672.32662268,2017-12-31T00:00:00Z
5040935509,3952537.34899518,2018-12-31T00:00:00Z
5040935509,3946508.87522747,2019-12-31T00:00:00Z
5040935509,4080946.51699991,2020-12-31T00:00:00Z
5040935598,3420756.09140209,2011-12-31T00:00:00Z
5040935598,2651914.98754676,2012-12-31T00:00:00Z
5040935598,914281.41423815,2013-12-31T00:00:00Z
5040935598,808253.407396816,2014-12-31T00:00:00Z
5040935598,730258.238998222,2015-12-31T00:00:00Z
5040935598,584441.933908815,2016-12-31T00:00:00Z
5040935598,745512.96933649,2017-12-31T00:00:00Z
5040935598,1054419.88893232,2018-12-31T00:00:00Z
5040935601,,
5040935707,4808679.22580736,2011-12-31T00:00:00Z
5040935707,3895785.30097881,2012-12-31T00:00:00Z
5040935707,3919760.1466611,2013-12-31T00:00:00Z
5040935707,3789941.29254147,2014-12-31T00:00:00Z
5040935707,3147630.5338131,2015-12-31T00:00:00Z
5040935707,2654658.25404136,2016-12-31T00:00:00Z
5040935707,2728703.41538171,2017-12-31T00:00:00Z
5040935707,2848925.95603056,2018-12-31T00:00:00Z
5040935707,2804732.99070092,2019-12-31T00:00:00Z
5040935707,3071962.30156896,2020-12-31T00:00:00Z
5040935710,3545221.33131978,2010-12-31T00:00:00Z
5040935710,4199687.07413321,2011-12-31T00:00:00Z
5040935710,4419456.76802,2012-12-31T00:00:00Z
5040935710,4703916.56081021,2013-12-31T00:00:00Z
5040935710,3904382.84431743,2014-12-31T00:00:00Z
5040935710,2838249.6390273,2015-12-31T00:00:00Z
5040935710,2834614.88540399,2016-12-31T00:00:00Z
5040935710,2811053.77586722,2017-12-31T00:00:00Z
5040935710,2880408.51861123,2018-12-31T00:00:00Z
5040935710,,2019-12-31T00:00:00Z
5040935710,,2020-12-31T00:00:00Z
5040935733,5532750.88032135,2011-12-31T00:00:00Z
5040935733,5364750.02088141,2012-12-31T00:00:00Z
5040935733,5804017.83774096,2013-12-31T00:00:00Z
5040935733,5811688.98469475,2014-12-31T00:00:00Z
5040935733,5045307.56101069,2015-12-31T00:00:00Z
5040935733,5490941.61152421,2016-12-31T00:00:00Z
5040935733,6962965.18599266,2017-12-31T00:00:00Z
5040935733,7860310.42932097,2018-12-31T00:00:00Z
5040935733,7297333.32056198,2019-12-31T00:00:00Z
5040935733,8276123.69940432,2020-12-31T00:00:00Z
5040935778,1888626.18868666,2011-12-31T00:00:00Z
5040935778,2421829.95585629,2012-12-31T00:00:00Z
5040935778,1898564.62826242,2013-12-31T00:00:00Z
5040935778,1290690.60271382,2014-12-31T00:00:00Z
5040935778,822736.899392209,2015-12-31T00:00:00Z
5040935778,1580877.29471868,2016-12-31T00:00:00Z
5040935778,1516942.08153166,2017-12-31T00:00:00Z
5040935778,1957452.92420524,2018-12-31T00:00:00Z
5040935778,1469817.49151745,2019-12-31T00:00:00Z
5040935778,1724552.40796016,2020-12-31T00:00:00Z
5040935786,3863204.61474282,2011-12-31T00:00:00Z
5040935786,3626463.62962834,2012-12-31T00:00:00Z
5040935786,4117332.13632508,2013-12-31T00:00:00Z
5040935786,4446826.24967551,2014-12-31T00:00:00Z
5040935786,3423823.52224783,2015-12-31T00:00:00Z
5040935786,2526781.78685455,2016-12-31T00:00:00Z
5040935786,3515028.25454705,2017-12-31T00:00:00Z
5040935786,4986542.76375409,2018-12-31T00:00:00Z
5040935786,3626770.67923184,2019-12-31T00:00:00Z
5040935786,3368471.40504655,2020-12-31T00:00:00Z
5040935805,4404794.51826825,2010-12-31T00:00:00Z
5040935805,5102810.99859364,2011-12-31T00:00:00Z
5040935805,4629063.02725634,2012-12-31T00:00:00Z
5040935805,4319332.46368843,2013-12-31T00:00:00Z
5040935805,4547579.3821848,2014-12-31T00:00:00Z
5040935805,3636126.68347489,2015-12-31T00:00:00Z
5040935805,3978590.8486158,2016-12-31T00:00:00Z
5040935805,4267928.53563297,2017-12-31T00:00:00Z
5040935805,4629289.46571952,2018-12-31T00:00:00Z
5040935805,4900036.19540939,2019-12-31T00:00:00Z
5040935805,5201388.29111219,2020-12-31T00:00:00Z
5040935981,2057492.8504625,2011-12-31T00:00:00Z
5040935981,2100020.67443433,2012-12-31T00:00:00Z
5040935981,2205482.49496457,2013-12-31T00:00:00Z
5040935981,1984343.29066879,2014-12-31T00:00:00Z
5040935981,1179848.71567168,2015-12-31T00:00:00Z
5040935981,966641.216544535,2016-12-31T00:00:00Z
5040935981,1055780.06281279,2017-12-31T00:00:00Z
5040935981,1353873.16972893,2018-12-31T00:00:00Z
5040935981,1434215.19505831,2019-12-31T00:00:00Z
5040935981,,2020-12-31T00:00:00Z
5040936224,1342713.32971819,2011-12-31T00:00:00Z
5040936224,1287065.03516302,2012-12-31T00:00:00Z
5040936224,1325605.85823687,2013-12-31T00:00:00Z
5040936224,1069765.88245648,2014-12-31T00:00:00Z
