Instrument,Sales per Employee,Date
5062141525,,
5062141531,,
5062141606,,
5062141620,,
5062141622,,
5062141682,,
5062141725,,
5062141750,,
5062141836,,
5062141849,,
5062141853,,
5062141890,,
5062141903,,
5062141930,,
5062141990,,
5062142061,,
5062142072,,
5062142091,,
5062142148,,
5062142181,,
5062142221,,
5062142291,,
5062142378,,
5062142380,,
5062142502,,
5062142532,,
5062142566,,
5062142571,,
5062142630,,
5062142636,,
5062142644,,
5062142688,,
5062142731,,
5062142734,,
5062142743,,
5062142760,,
5062142802,,
5062142830,,
5062142833,,
5062142911,,
5062142915,,
5062142930,,
5062142945,,
5062142948,,
5062142957,,
5062143076,,
5062143129,,
5062143137,,
5062165127,,2015-12-31T00:00:00Z
5062165127,94146.4463520733,2016-12-31T00:00:00Z
5062165127,107103.691970269,2017-12-31T00:00:00Z
5062165127,82767.0830101751,2018-12-31T00:00:00Z
5062165175,,
5062348416,,
5062348482,,
5062348488,,
5062348740,,
5062348741,,
5062348831,,
5062348838,,
5062348839,,
5062348840,,
5062349165,,
5062351391,,
5062351433,,
5062351441,,
5062351467,,
5062351469,,
5062351486,,
5062351525,,
5062351534,,
5062351538,,
5062351689,,
5062351704,,
5062351706,,
5062351713,,
5062351724,,
5062351760,,
5062351824,,
5062351825,,
5062351829,,
5062388231,,
5062388318,,
5062388420,,
5062388447,,2014-12-31T00:00:00Z
5062388447,953584.922735809,2015-12-31T00:00:00Z
5062388447,998861.487399174,2016-12-31T00:00:00Z
5062388447,1247898.13573778,2017-12-31T00:00:00Z
5062388447,1240213.61238766,2018-12-31T00:00:00Z
5062388447,846224.824569398,2019-12-31T00:00:00Z
5062388447,735747.288574904,2020-12-31T00:00:00Z
5062388646,,2014-12-31T00:00:00Z
5062388646,399366.501504559,2015-12-31T00:00:00Z
5062388646,339872.812490619,2016-12-31T00:00:00Z
5062388646,358978.108119085,2017-12-31T00:00:00Z
5062388646,305346.869320615,2018-12-31T00:00:00Z
5062388646,322374.861463475,2019-12-31T00:00:00Z
5062388646,350989.169843435,2020-12-31T00:00:00Z
5062388819,,
5062389008,,2014-12-31T00:00:00Z
5062389008,2469173.51071291,2015-12-31T00:00:00Z
5062389008,,2016-12-31T00:00:00Z
5062389008,,2017-12-31T00:00:00Z
5062389008,,2018-12-31T00:00:00Z
5062389008,,2019-12-31T00:00:00Z
5062389024,,
5062389128,,
5062455107,,2016-12-31T00:00:00Z
5062455107,270227.686205637,2017-12-31T00:00:00Z
5062455107,284649.310660169,2018-12-31T00:00:00Z
5062455107,327657.396827177,2019-12-31T00:00:00Z
5062455107,386919.875494002,2020-12-31T00:00:00Z
5062459910,,
5063190558,,
5063190685,,
5063190729,,
5063190802,,
5063190836,,
5063190852,,
5063190854,,
5063190866,,
5063190870,,
5063190878,,
5063190914,,
5063190951,,
5063190989,,
5063191024,,
5063191037,,
5063191091,,
5063191175,,
5063191184,,
5063191219,,
5063191243,,
5063191251,,
5063191376,,
5063191430,,
5063191466,,
5063191603,,
5063191610,,
5063191925,,
5063191933,,
5063191982,,
5063191992,,
5063192122,,
5063192205,,
5063282442,,2015-12-31T00:00:00Z
5063282442,252832.498056535,2016-12-31T00:00:00Z
5063282442,150473.518973166,2017-12-31T00:00:00Z
5063282442,122752.622144892,2018-12-31T00:00:00Z
5063282442,127159.762514725,2019-12-31T00:00:00Z
5063282442,145490.154933026,2020-12-31T00:00:00Z
5063297241,,
5063313957,,
5063353452,,2016-09-30T00:00:00Z
5063353452,1679859.27880387,2017-09-30T00:00:00Z
5063353452,4434976.91778804,2018-09-30T00:00:00Z
5063353452,3282124.59449057,2019-09-30T00:00:00Z
5063353452,2193676.31296892,2020-09-30T00:00:00Z
5063735128,,
5063737684,,
5063763695,,
5063763810,,2014-12-31T00:00:00Z
5063763810,421095.499898188,2015-12-31T00:00:00Z
5063763810,545181.98936034,2016-12-31T00:00:00Z
5063763810,599987.815279639,2017-12-31T00:00:00Z
5063763810,605137.347054534,2018-12-31T00:00:00Z
5063763847,,2014-12-31T00:00:00Z
5063763847,460457.582883829,2015-12-31T00:00:00Z
5063763847,699764.578750338,2016-12-31T00:00:00Z
5063763847,784619.836724747,2017-12-31T00:00:00Z
5063763847,626043.270399481,2018-12-31T00:00:00Z
5063763847,552813.517476782,2019-12-31T00:00:00Z
5063763847,551417.01348815,2020-12-31T00:00:00Z
5063764057,,2014-12-31T00:00:00Z
5063764057,,2015-12-31T00:00:00Z
5063764057,,2016-12-31T00:00:00Z
5063764057,,2017-12-31T00:00:00Z
5063764057,726115.307591687,2018-12-31T00:00:00Z
5063764057,336711.891308971,2019-12-31T00:00:00Z
5063764057,,2020-12-31T00:00:00Z
5063765506,,
5063770819,,
5064611730,,2018-12-31T00:00:00Z
5064611730,380552.683650884,2019-12-31T00:00:00Z
5064611730,453284.28551595,2020-12-31T00:00:00Z
5064705883,,
5065875254,,
5065875577,,
5066545550,,2015-12-31T00:00:00Z
5066545550,623501.426210701,2016-12-31T00:00:00Z
5066545550,399924.676274134,2017-12-31T00:00:00Z
5066545550,251385.377098737,2018-12-31T00:00:00Z
5066545550,265607.754387031,2019-12-31T00:00:00Z
5066545550,236369.689032929,2020-12-31T00:00:00Z
5066545600,,2016-12-31T00:00:00Z
5066545600,260254.79604132,2017-12-31T00:00:00Z
5066545600,230135.792894078,2018-12-31T00:00:00Z
5066545600,270019.550560639,2019-12-31T00:00:00Z
5066545600,316470.834634793,2020-12-31T00:00:00Z
5066545616,,
5066545625,,
5066545663,,
5066545664,,
5066555711,,2015-12-31T00:00:00Z
5066555711,341799.814750492,2016-12-31T00:00:00Z
5066555711,263338.884150386,2017-12-31T00:00:00Z
5066555711,246485.499637016,2018-12-31T00:00:00Z
5066555711,216718.814868819,2019-12-31T00:00:00Z
