Instrument,Sales per Employee,Date
5040933966,,2011-12-31T00:00:00Z
5040933966,4330654.06640816,2012-12-31T00:00:00Z
5040933966,2859133.84375379,2013-12-31T00:00:00Z
5040933966,1871635.05659222,2014-12-31T00:00:00Z
5040933966,1426593.36184077,2015-12-31T00:00:00Z
5040933966,1512044.62333735,2016-12-31T00:00:00Z
5040933966,1748155.36872318,2017-12-31T00:00:00Z
5040933966,1916029.03214604,2018-12-31T00:00:00Z
5040933966,2248302.65196391,2019-12-31T00:00:00Z
5040933966,3126006.5317352,2020-12-31T00:00:00Z
5040934228,,2011-12-31T00:00:00Z
5040934228,474564.08412727,2012-12-31T00:00:00Z
5040934228,392980.149987797,2013-12-31T00:00:00Z
5040934228,340729.835831548,2014-12-31T00:00:00Z
5040934228,304690.989321864,2015-12-31T00:00:00Z
5040934228,211035.577829604,2016-12-31T00:00:00Z
5040934228,104910.442305349,2017-12-31T00:00:00Z
5040934228,256826.010527378,2018-12-31T00:00:00Z
5040934228,302642.199684941,2019-12-31T00:00:00Z
5040934228,76708.7515592394,2020-12-31T00:00:00Z
5040934387,,2011-12-31T00:00:00Z
5040934387,218010.624384016,2012-12-31T00:00:00Z
5040934387,179211.630672984,2013-12-31T00:00:00Z
5040934387,260915.548127645,2014-12-31T00:00:00Z
5040934387,242349.863608263,2015-12-31T00:00:00Z
5040934387,184714.342685861,2016-12-31T00:00:00Z
5040934387,161287.882925845,2017-12-31T00:00:00Z
5040934387,145003.03068279,2018-12-31T00:00:00Z
5040934387,146878.702269206,2019-12-31T00:00:00Z
5040934387,159921.36463286,2020-12-31T00:00:00Z
5040934389,,2011-12-31T00:00:00Z
5040934389,440417.500124302,2012-12-31T00:00:00Z
5040934389,502027.595074428,2013-12-31T00:00:00Z
5040934389,506209.850107066,2014-12-31T00:00:00Z
5040934389,357260.470950826,2015-12-31T00:00:00Z
5040934389,380327.531421661,2016-12-31T00:00:00Z
5040934391,,
5040934394,,2010-12-31T00:00:00Z
5040934394,398977.581194109,2011-12-31T00:00:00Z
5040934394,401941.398525975,2012-12-31T00:00:00Z
5040934394,296340.02604553,2013-12-31T00:00:00Z
5040934440,,2011-12-31T00:00:00Z
5040934440,190014.853780146,2012-12-31T00:00:00Z
5040934440,245121.473081921,2013-12-31T00:00:00Z
