Instrument,Cost of Revenues - Total,Date
5081873806,,
5081873807,,
5081873816,,
5081873820,,
5081873831,,
5081873832,,
5081873842,,
5081873847,,
5081873849,,
5081873851,,
5081873853,24808274.1271504,2019-12-31T00:00:00Z
5081873853,31059849.5190088,2020-12-31T00:00:00Z
5081873854,43291553.258499,2019-12-31T00:00:00Z
5081873854,32117852.0529355,2020-12-31T00:00:00Z
5081873882,8128721.00223209,2018-12-31T00:00:00Z
5081873882,15324122.5265011,2019-12-31T00:00:00Z
5081873882,11774257.4946599,2020-12-31T00:00:00Z
5081873886,,
5081873887,,
5081873890,,
5081873897,,
5081873905,,
5081873911,,
5081873923,93587625.2826757,2017-12-31T00:00:00Z
5081873923,113944848.026558,2018-12-31T00:00:00Z
5081873923,113506197.413728,2019-12-31T00:00:00Z
5081873923,91308899.0533876,2020-12-31T00:00:00Z
5081873930,,
5081873937,,
5081873940,,
5081873947,,
5081873948,,
5081873949,5013491.38643217,2020-12-31T00:00:00Z
5081873957,,
5081873971,50935060.5084453,2019-12-31T00:00:00Z
5081873971,60289727.6402507,2020-12-31T00:00:00Z
5081873973,,
5081873999,8066489.42495736,2019-12-31T00:00:00Z
5081873999,1588256.77705902,2020-12-31T00:00:00Z
5081874011,,
5081874022,,
5081874032,,
5081874039,,
5081874045,,
5081874052,,
5081874054,,
5081874057,,
5081874068,,
5081874069,7992575.89663645,2020-12-31T00:00:00Z
5081874072,,
5081874082,,
5081874083,,
5081874084,,
5081874093,14582198.6682494,2020-12-31T00:00:00Z
5081874101,,
5081874104,,
5081874105,,
5081874108,,
5081874111,712059.58655308,2016-12-31T00:00:00Z
5081874111,2031107.75274398,2017-12-31T00:00:00Z
5081874111,7043078.74641711,2018-12-31T00:00:00Z
5081874111,7396745.04118815,2019-12-31T00:00:00Z
5081874116,,
5081874119,,
5081874123,,
5081874126,,
5081874129,,
5081874133,,
5081874142,,
5081874188,,
5081874197,,
5081874293,,
5081874300,,
5081874309,,
5081874310,,
5081874311,,
5081874313,,
5081874320,,
5081874406,,
5081874410,,
5081874416,,
5081874478,,
5081874746,,
5081874759,,
5081874792,,
5081874795,,
5081874796,,
5081874820,,
5081874837,,
5081874838,,
5081874865,,
5081874907,,
5081874909,,
5081874910,,
5081874930,10127575.7763228,2020-12-31T00:00:00Z
5081874937,8659843.27520712,2019-12-31T00:00:00Z
5081874937,9809716.24123998,2020-12-31T00:00:00Z
5081874940,,
5081874943,,
5081874966,,
5081874967,,
5081874975,3641827.37521622,2018-12-31T00:00:00Z
5081874975,7492937.0614521,2019-12-31T00:00:00Z
5081874975,9780662.21636031,2020-12-31T00:00:00Z
5081874980,1121804.96189961,2017-12-31T00:00:00Z
5081874980,4306790.45389647,2018-12-31T00:00:00Z
5081874980,5488384.34280579,2019-12-31T00:00:00Z
5081874980,4625625.59545182,2020-12-31T00:00:00Z
5081874985,,
5081874988,,
5081875018,,
5081875057,29809142.801859,2021-03-31T00:00:00Z
5081875058,,
5081875069,,
5081875111,,
5081875123,,
5081875125,,
5081875133,,
5081875134,,
5081875146,4927802.72754256,2017-12-31T00:00:00Z
5081875146,8207852.91919274,2018-12-31T00:00:00Z
5081875149,3284143.97767306,2018-12-31T00:00:00Z
5081875149,5182893.48099399,2019-12-31T00:00:00Z
5081875149,5741910.03853996,2020-12-31T00:00:00Z
5081875153,,
5081875166,,
5081875168,21040748.0900574,2018-12-31T00:00:00Z
5081875168,21236483.6864572,2019-12-31T00:00:00Z
5081875168,31922551.2942056,2020-12-31T00:00:00Z
5081875177,12992605.6997011,2019-12-31T00:00:00Z
5081875177,15431626.8865561,2020-12-31T00:00:00Z
5081875206,,
5081875207,,
5081875236,,
5081875243,,
5081875256,,
5081875257,,
5081875258,,
5081875265,12440300.2437745,2018-12-31T00:00:00Z
5081875265,15631612.598916,2019-12-31T00:00:00Z
5081875265,17318206.6602282,2020-12-31T00:00:00Z
5081875268,,
5081875269,,
5081875276,,
5081875277,,
5081875289,,
5081875303,,
5081875308,,
5081875309,,
5081875310,,
5081875311,,
5081875313,,
5081875314,,
5081875322,,
5081875329,,
5081875332,,
5081875338,,
5081875339,,
5081875342,,
5081875351,,
5081875362,,
5081875365,,
5081875378,,
5081875382,,
5081875396,,
5081875406,,
5081875411,,
5081875413,,
5081875419,,
5081875432,,
5081875434,,
5081875437,,
5081875438,,
5081875452,,
5081875455,,
5081875459,,
5081875468,,
5081875470,,
5081875486,,
5081875493,,
5081875494,,
5081875500,,
5081875504,,
5081875518,,
5081875519,,
5081875522,,
5081875524,,
5081875535,,
5081875537,,
5081875540,,
5081875544,,
5081875555,1513730.33890626,2020-12-31T00:00:00Z
5081875572,,
5081875584,,
5081875585,,
5081875587,,
5081875593,,
5081875598,,
