Instrument,Full-Time Employees (Pvt),Date
5060885439,1.0,2017
5060885458,1.0,2016
5060885458,1.0,2017
5060885462,4.0,2009
5060885462,4.0,2010
5060885462,4.0,2011
5060885488,3.0,2015
5060885488,3.0,2016
5060885488,3.0,2017
5060885509,4.0,2011
5060885509,4.0,2012
5060885517,1.0,2011
5060885517,1.0,2013
5060885517,1.0,2014
5060885517,1.0,2015
5060885517,1.0,2016
5060885517,1.0,2017
5060885540,6.0,2016
5060885540,6.0,2017
5060885550,1.0,2017
5060885564,1.0,2011
5060885564,1.0,2012
5060885564,1.0,2013
5060885577,1.0,2012
5060885577,2.0,2015
5060885577,2.0,2016
5060885577,2.0,2017
5060885581,1.0,2017
5060885583,7.0,2016
5060885583,6.0,2017
5060885591,1.0,2016
5060885591,1.0,2017
5060885598,1.0,2016
5060885598,1.0,2017
5060885608,1.0,2009
5060885608,1.0,2010
5060885608,1.0,2011
5060885609,1.0,2012
5060885609,1.0,2013
5060885609,2.0,2014
5060885609,2.0,2015
5060885609,2.0,2016
5060885609,2.0,2017
5060885623,1.0,2016
5060885623,1.0,2017
5060885624,1.0,2011
5060885624,1.0,2016
5060885624,1.0,2017
5060885630,1.0,2009
5060885630,1.0,2010
5060885630,1.0,2011
5060885630,1.0,2013
5060885631,4.0,2009
5060885631,4.0,2010
5060885631,4.0,2011
5060885631,4.0,2012
5060885631,3.0,2015
5060885631,3.0,2016
5060885631,3.0,2017
5060885631,3.0,2019
5060885631,3.0,2020
5060885655,1.0,2016
5060885655,1.0,2017
5060885658,1.0,2011
5060885658,1.0,2012
5060885658,1.0,2013
5060885658,1.0,2016
5060885658,1.0,2017
5060885675,1.0,2012
5060885675,1.0,2013
5060885675,1.0,2014
5060885675,1.0,2019
5060885675,1.0,2020
5060885677,7.0,2015
5060885677,6.0,2016
5060885677,6.0,2017
5060885679,1.0,2017
5060885685,7.0,2011
5060885685,1.0,2014
5060885685,1.0,2015
5060885685,1.0,2016
5060885685,1.0,2017
5060885716,1.0,2009
5060885716,1.0,2010
5060885716,1.0,2011
5060885716,1.0,2012
5060885716,1.0,2013
5060885716,1.0,2014
5060885728,4.0,2011
5060885729,1.0,2012
5060885729,1.0,2013
5060885729,1.0,2016
5060885729,1.0,2017
5060885740,1.0,2012
5060885740,1.0,2013
5060885740,1.0,2014
5060885740,1.0,2015
5060885740,1.0,2016
5060885740,1.0,2017
5060885761,1.0,2016
5060885761,1.0,2017
5060885772,75.0,2011
5060885772,75.0,2012
5060885772,75.0,2013
5060885772,75.0,2014
5060885772,75.0,2015
5060885773,1.0,2015
5060885773,1.0,2016
5060885773,1.0,2017
5060885788,7.0,2015
5060885788,6.0,2016
5060885788,6.0,2017
5060885794,1.0,2012
5060885794,1.0,2013
5060885794,1.0,2014
5060885794,1.0,2015
5060885794,1.0,2016
5060885794,1.0,2017
5060885794,1.0,2020
5060885798,1.0,2009
5060885798,1.0,2010
5060885798,1.0,2011
5060885798,1.0,2012
5060885798,1.0,2013
5060885798,2.0,2014
5060885798,2.0,2015
5060885798,2.0,2016
5060885798,2.0,2017
5060885808,4.0,2011
5060885808,4.0,2012
5060885816,4.0,2009
5060885816,4.0,2010
5060885816,4.0,2011
5060885816,4.0,2015
5060885816,4.0,2016
5060885839,1.0,2012
5060885839,1.0,2013
5060885839,1.0,2014
5060885861,1.0,2016
5060885865,1.0,2011
5060885865,1.0,2012
5060885865,1.0,2013
5060885865,1.0,2014
5060885865,1.0,2015
5060885865,1.0,2016
5060885865,1.0,2017
5060885867,1.0,2010
5060885867,1.0,2011
5060885867,1.0,2013
5060885867,1.0,2014
5060885870,4.0,2016
5060885890,1.0,2009
5060885890,1.0,2010
5060885890,1.0,2011
5060885890,1.0,2016
5060885890,1.0,2017
5060885894,6.0,2016
5060885894,6.0,2017
5060885906,1.0,2016
5060885906,1.0,2017
5060885939,1.0,2016
5060885939,1.0,2017
5060885939,1.0,2018
5060885939,1.0,2019
5060885958,2.0,2016
5060885958,2.0,2017
5060885959,4.0,2011
5060885959,4.0,2014
5060885959,4.0,2015
5060885959,4.0,2016
5060885959,4.0,2017
5060885978,6.0,2017
5060885991,4.0,2011
5060885991,4.0,2012
5060885991,5.0,2015
5060885991,5.0,2016
5060885991,5.0,2017
5060885995,1.0,2012
5060885995,1.0,2013
5060885995,1.0,2014
5060885995,1.0,2015
5060885995,1.0,2016
5060885995,1.0,2017
5060886009,2.0,2014
5060886009,2.0,2015
5060886009,2.0,2016
5060886009,2.0,2017
5060886016,1.0,2009
5060886016,1.0,2010
5060886016,1.0,2011
5060886021,1.0,2015
