Instrument,Full-Time Employees (Pvt),Date
5060878879,,2006-12-31T00:00:00Z
5060878879,,2007-12-31T00:00:00Z
5060878879,,2008-12-31T00:00:00Z
5060878879,1,2009-12-31T00:00:00Z
5060878879,1,2010-12-31T00:00:00Z
5060878879,1,2011-12-31T00:00:00Z
5060878879,,2012-12-31T00:00:00Z
5060878879,,2013-12-31T00:00:00Z
5060878879,1,2014-12-31T00:00:00Z
5060878879,1,2015-12-31T00:00:00Z
5060878879,1,2016-12-31T00:00:00Z
5060878879,1,2017-12-31T00:00:00Z
5060878879,,2018-12-31T00:00:00Z
5060878879,,2019-12-31T00:00:00Z
5060878880,,2011-12-31T00:00:00Z
5060878880,,2012-12-31T00:00:00Z
5060878880,5,2013-12-31T00:00:00Z
5060878880,5,2014-12-31T00:00:00Z
5060878880,5,2015-12-31T00:00:00Z
5060878880,,2016-12-31T00:00:00Z
5060878880,,2017-12-31T00:00:00Z
5060878880,5,2018-12-31T00:00:00Z
5060878880,5,2019-12-31T00:00:00Z
5060878900,,2006-12-31T00:00:00Z
5060878900,,2007-12-31T00:00:00Z
5060878900,,2008-12-31T00:00:00Z
5060878900,,2009-12-31T00:00:00Z
5060878900,,2010-12-31T00:00:00Z
5060878900,,2011-12-31T00:00:00Z
5060878900,1,2012-12-31T00:00:00Z
5060878915,,
5060878919,,2006-12-31T00:00:00Z
5060878919,,2007-12-31T00:00:00Z
5060878919,,2008-12-31T00:00:00Z
5060878919,,2009-12-31T00:00:00Z
5060878919,,2010-12-31T00:00:00Z
5060878919,4,2011-12-31T00:00:00Z
5060878919,4,2012-12-31T00:00:00Z
5060878919,4,2013-12-31T00:00:00Z
5060878919,,2014-12-31T00:00:00Z
5060878919,5,2015-12-31T00:00:00Z
5060878919,5,2016-12-31T00:00:00Z
5060878919,5,2017-12-31T00:00:00Z
5060878919,,2018-12-31T00:00:00Z
5060878919,,2019-12-31T00:00:00Z
5060878928,,2007-09-30T00:00:00Z
5060878928,,2008-09-30T00:00:00Z
5060878928,,2009-09-30T00:00:00Z
5060878928,,2010-09-30T00:00:00Z
5060878928,,2011-09-30T00:00:00Z
5060878928,,2012-09-30T00:00:00Z
5060878928,,2013-09-30T00:00:00Z
5060878928,,2014-09-30T00:00:00Z
5060878928,,2015-09-30T00:00:00Z
5060878928,,2016-09-30T00:00:00Z
5060878928,2,2017-09-30T00:00:00Z
5060878928,,2018-09-30T00:00:00Z
5060878928,,2019-09-30T00:00:00Z
5060878928,,2020-09-30T00:00:00Z
5060878938,,2006-12-31T00:00:00Z
5060878938,,2007-12-31T00:00:00Z
5060878938,,2008-12-31T00:00:00Z
5060878938,1,2009-12-31T00:00:00Z
5060878938,1,2010-12-31T00:00:00Z
5060878938,1,2011-12-31T00:00:00Z
5060878938,1,2012-12-31T00:00:00Z
5060878938,1,2013-12-31T00:00:00Z
5060878938,1,2014-12-31T00:00:00Z
5060878938,1,2015-12-31T00:00:00Z
5060878938,1,2016-12-31T00:00:00Z
5060878938,1,2017-12-31T00:00:00Z
5060878938,,2018-12-31T00:00:00Z
5060878938,,2019-12-31T00:00:00Z
5060878938,,2020-12-31T00:00:00Z
5060878939,,
5060878942,,
5060878943,,
5060878944,,2006-12-31T00:00:00Z
5060878944,,2007-12-31T00:00:00Z
5060878944,,2008-12-31T00:00:00Z
5060878944,,2009-12-31T00:00:00Z
5060878944,1,2010-12-31T00:00:00Z
5060878944,1,2011-12-31T00:00:00Z
5060878944,,2012-12-31T00:00:00Z
5060878944,,2013-12-31T00:00:00Z
5060878944,,2014-12-31T00:00:00Z
