Instrument,Revenue from Business Activities - Total,Date
5062141525,,
5062141531,,
5062141606,,
5062141620,,
5062141622,,
5062141682,,
5062141725,,
5062141750,,
5062141836,,
5062141849,,
5062141853,,
5062141890,,
5062141903,,
5062141930,,
5062141990,,
5062142061,,
5062142072,,
5062142091,,
5062142148,,
5062142181,,
5062142221,,
5062142291,,
5062142378,,
5062142380,,
5062142502,,
5062142532,,
5062142566,,
5062142571,,
5062142630,,
5062142636,,
5062142644,,
5062142688,,
5062142731,,
5062142734,,
5062142743,,
5062142760,,
5062142802,,
5062142830,,
5062142833,,
5062142911,,
5062142915,,
5062142930,,
5062142945,,
5062142948,,
5062142957,,
5062143076,,
5062143129,,
5062143137,,
5062165127,173148.88968928,2015-12-31T00:00:00Z
5062165127,339176.538316576,2016-12-31T00:00:00Z
5062165127,319349.853823964,2017-12-31T00:00:00Z
5062165127,263789.4403732,2018-12-31T00:00:00Z
5062165175,0.0,2016-12-31T00:00:00Z
5062165175,0.0,2017-12-31T00:00:00Z
5062165175,0.0,2018-12-31T00:00:00Z
5062348416,,
5062348482,,
5062348488,,
5062348740,,
5062348741,,
5062348831,,
5062348838,,
5062348839,,
5062348840,,
5062349165,,
5062351391,,
5062351433,,
5062351441,,
5062351467,,
5062351469,,
5062351486,,
5062351525,,
5062351534,,
5062351538,,
5062351689,,
5062351704,,
5062351706,,
5062351713,,
5062351724,,
5062351760,,
5062351824,,
5062351825,,
5062351829,,
5062388231,3860452.56853139,2014-12-31T00:00:00Z
5062388231,6562753.10683032,2015-12-31T00:00:00Z
5062388231,7308980.29459497,2016-12-31T00:00:00Z
5062388231,3822509.96818339,2017-12-31T00:00:00Z
5062388231,3172729.03132317,2018-12-31T00:00:00Z
5062388231,1759413.16814672,2019-12-31T00:00:00Z
5062388231,61115.0058606698,2020-12-31T00:00:00Z
5062388318,1531670.44887349,2014-12-31T00:00:00Z
5062388318,1164187.00705657,2015-12-31T00:00:00Z
5062388318,1114539.34867766,2016-12-31T00:00:00Z
5062388318,1137161.59552788,2017-12-31T00:00:00Z
5062388318,1144686.29883158,2018-12-31T00:00:00Z
5062388318,1144847.00914124,2019-12-31T00:00:00Z
5062388318,1073618.93367103,2020-12-31T00:00:00Z
5062388420,0.0,2014-12-31T00:00:00Z
5062388420,0.0,2015-12-31T00:00:00Z
5062388420,0.0,2016-12-31T00:00:00Z
5062388447,5149392.3269204,2014-12-31T00:00:00Z
5062388447,6286684.41767031,2015-12-31T00:00:00Z
5062388447,6168937.15842618,2016-12-31T00:00:00Z
5062388447,7441687.20805035,2017-12-31T00:00:00Z
5062388447,7905443.6342706,2018-12-31T00:00:00Z
5062388447,5069744.26670981,2019-12-31T00:00:00Z
5062388447,4038816.62639788,2020-12-31T00:00:00Z
5062388646,4841880.39641811,2014-12-31T00:00:00Z
5062388646,5485202.69425575,2015-12-31T00:00:00Z
5062388646,4722848.57236387,2016-12-31T00:00:00Z
5062388646,5351804.60378787,2017-12-31T00:00:00Z
5062388646,4865900.60011488,2018-12-31T00:00:00Z
5062388646,4989326.29994748,2019-12-31T00:00:00Z
5062388646,5137926.81033191,2020-12-31T00:00:00Z
5062388819,0.0,2014-12-31T00:00:00Z
5062388819,0.0,2015-12-31T00:00:00Z
5062388819,0.0,2016-12-31T00:00:00Z
5062389008,3320078.34282989,2014-12-31T00:00:00Z
5062389008,2713080.26938114,2015-12-31T00:00:00Z
5062389008,2807204.27267988,2016-12-31T00:00:00Z
5062389008,2936516.97213632,2017-12-31T00:00:00Z
5062389008,4243628.0741063,2018-12-31T00:00:00Z
5062389008,5919308.33141681,2019-12-31T00:00:00Z
5062389024,0.0,2014-12-31T00:00:00Z
5062389024,0.0,2015-12-31T00:00:00Z
5062389024,0.0,2016-12-31T00:00:00Z
5062389024,0.0,2017-12-31T00:00:00Z
5062389024,0.0,2018-12-31T00:00:00Z
5062389024,0.0,2019-12-31T00:00:00Z
5062389024,0.0,2020-12-31T00:00:00Z
5062389128,3577770.79390816,2014-12-31T00:00:00Z
5062389128,797006.949524527,2015-12-31T00:00:00Z
5062389128,1035167.74835481,2016-12-31T00:00:00Z
5062389128,626104.946632497,2017-12-31T00:00:00Z
5062389128,0.0,2018-12-31T00:00:00Z
5062389128,0.0,2019-12-31T00:00:00Z
5062389128,2453.13287049809,2020-12-31T00:00:00Z
5062455107,7012349.79428929,2016-12-31T00:00:00Z
5062455107,7788769.75680252,2017-12-31T00:00:00Z
5062455107,8467333.58907953,2018-12-31T00:00:00Z
5062455107,8506332.71054333,2019-12-31T00:00:00Z
5062455107,8849836.8172482,2020-12-31T00:00:00Z
5062459910,5665521.17629961,2011-12-31T00:00:00Z
5062459910,5072024.03815481,2012-12-31T00:00:00Z
5062459910,6329116.49647721,2013-12-31T00:00:00Z
5063190558,,
5063190685,,
5063190729,,
5063190802,,
5063190836,,
5063190852,,
5063190854,,
5063190866,,
5063190870,0.0,2014-12-31T00:00:00Z
5063190870,0.0,2015-12-31T00:00:00Z
5063190870,0.0,2016-12-31T00:00:00Z
5063190870,0.0,2017-12-31T00:00:00Z
5063190870,0.0,2018-12-31T00:00:00Z
5063190870,0.0,2019-12-31T00:00:00Z
5063190870,0.0,2020-12-31T00:00:00Z
5063190878,,
5063190914,,
5063190951,,
5063190989,,
5063191024,,
5063191037,,
5063191091,,
5063191175,,
5063191184,,
5063191219,0.0,2014-12-31T00:00:00Z
5063191219,0.0,2015-12-31T00:00:00Z
5063191219,5821179.90656119,2016-12-31T00:00:00Z
5063191219,2646716.3653101,2017-12-31T00:00:00Z
5063191219,411240.973710015,2018-12-31T00:00:00Z
5063191219,2143872.47176295,2019-12-31T00:00:00Z
5063191219,752045.211734001,2020-12-31T00:00:00Z
5063191243,,
5063191251,,
5063191376,,
5063191430,,
5063191466,,
5063191603,,
