Instrument,Revenue from Business Activities - Total,Date
5081872389,,
5081872391,,
5081872401,,
5081872409,7667490.85891493,2019-12-31T00:00:00Z
5081872413,,
5081872428,5918029.7269192,2017-12-31T00:00:00Z
5081872440,,
5081872447,6328897.26961641,2018-12-31T00:00:00Z
5081872453,6997315.727813,2019-12-31T00:00:00Z
5081872460,5593384.74804305,2019-12-31T00:00:00Z
5081872498,5682812.86107181,2018-12-31T00:00:00Z
5081872498,,2019-12-31T00:00:00Z
5081872498,,2020-12-31T00:00:00Z
5081872499,21185319.7112823,2020-12-31T00:00:00Z
5081872501,,
5081872512,5654060.95473273,2020-12-31T00:00:00Z
5081872514,10232199.5337089,2019-12-31T00:00:00Z
5081872525,,
5081872537,,
5081872544,,
5081872545,,
5081872548,7792379.59156316,2020-12-31T00:00:00Z
5081872549,,
5081872552,7565246.19147759,2019-12-31T00:00:00Z
5081872554,,
5081872598,,
5081872601,,
5081872605,,
5081872610,26875054.0029177,2019-12-31T00:00:00Z
5081872610,30884964.7752769,2020-12-31T00:00:00Z
5081872632,8500623.33386522,2020-12-31T00:00:00Z
5081872634,15633164.3309815,2020-12-31T00:00:00Z
5081872666,57623379.5706254,2019-12-31T00:00:00Z
5081872666,71524114.2232204,2020-12-31T00:00:00Z
5081872673,4831173.44119473,2020-12-31T00:00:00Z
5081872678,17180430.6361066,2020-12-31T00:00:00Z
5081872708,11395811.4170686,2016-12-31T00:00:00Z
5081872708,,2017-12-31T00:00:00Z
5081872708,,2018-12-31T00:00:00Z
5081872708,,2019-12-31T00:00:00Z
5081872708,,2020-12-31T00:00:00Z
5081872709,,
5081872711,6920237.71704972,2020-12-31T00:00:00Z
5081872712,12035048.3404134,2020-12-31T00:00:00Z
5081872717,5231662.01702522,2019-12-31T00:00:00Z
5081872717,4871935.67096751,2020-12-31T00:00:00Z
5081872724,8335088.39335878,2019-12-31T00:00:00Z
5081872727,,
5081872733,,
5081872737,,
5081872741,5952166.3609721,2018-12-31T00:00:00Z
5081872744,,
5081872763,,
5081872765,10547555.4640005,2018-12-31T00:00:00Z
5081872770,14399986.1154555,2020-12-31T00:00:00Z
5081872772,,
5081872781,8701037.63024805,2020-12-31T00:00:00Z
5081872782,,
5081872788,7229899.51071913,2017-12-31T00:00:00Z
5081872788,,2018-12-31T00:00:00Z
5081872788,,2019-12-31T00:00:00Z
5081872789,13923432.020485,2019-12-31T00:00:00Z
5081872789,14334827.7743866,2020-12-31T00:00:00Z
5081872794,,
5081872797,31840243.7215651,2017-12-31T00:00:00Z
5081872797,33030628.6174026,2018-12-31T00:00:00Z
5081872800,5084739.00751441,2019-12-31T00:00:00Z
