Instrument,Total Assets,Date
5040933966,2853294.51527624,2011-12-31T00:00:00Z
5040933966,3152435.73611361,2012-12-31T00:00:00Z
5040933966,2965563.85276033,2013-12-31T00:00:00Z
5040933966,2455165.95289079,2014-12-31T00:00:00Z
5040933966,1618814.9053146,2015-12-31T00:00:00Z
5040933966,2334722.70464282,2016-12-31T00:00:00Z
5040933966,2381990.98330693,2017-12-31T00:00:00Z
5040933966,2948707.5601653,2018-12-31T00:00:00Z
5040933966,3881914.69971749,2019-12-31T00:00:00Z
5040933966,4969398.10443116,2020-12-31T00:00:00Z
5040934228,2137837.56650939,2011-12-31T00:00:00Z
5040934228,3754628.79741147,2012-12-31T00:00:00Z
5040934228,2865502.86006297,2013-12-31T00:00:00Z
5040934228,2721225.91006424,2014-12-31T00:00:00Z
5040934228,2499717.18817168,2015-12-31T00:00:00Z
5040934228,2418663.88792405,2016-12-31T00:00:00Z
5040934228,2224077.00743268,2017-12-31T00:00:00Z
5040934228,2915137.69432901,2018-12-31T00:00:00Z
5040934228,2781942.03955163,2019-12-31T00:00:00Z
5040934228,,2020-12-31T00:00:00Z
5040934387,1777933.94237526,2011-12-31T00:00:00Z
5040934387,1603990.65252562,2012-12-31T00:00:00Z
5040934387,1807032.29316058,2013-12-31T00:00:00Z
5040934387,1782387.58029979,2014-12-31T00:00:00Z
5040934387,1370845.49424195,2015-12-31T00:00:00Z
5040934387,1464628.92207943,2016-12-31T00:00:00Z
5040934387,1821371.99951261,2017-12-31T00:00:00Z
5040934387,1919501.77688773,2018-12-31T00:00:00Z
5040934387,2044336.09769434,2019-12-31T00:00:00Z
5040934387,2631529.86162114,2020-12-31T00:00:00Z
5040934389,5535086.83867082,2011-12-31T00:00:00Z
5040934389,6313499.91012044,2012-12-31T00:00:00Z
5040934389,4257125.4306579,2013-12-31T00:00:00Z
5040934389,3880754.81798715,2014-12-31T00:00:00Z
5040934389,2738749.74546936,2015-12-31T00:00:00Z
5040934389,2773532.47655436,2016-12-31T00:00:00Z
5040934391,1451661.47977111,2011-12-31T00:00:00Z
5040934391,1539097.60920367,2012-12-31T00:00:00Z
5040934391,930550.747572656,2013-12-31T00:00:00Z
5040934391,,2014-12-31T00:00:00Z
5040934391,,2015-12-31T00:00:00Z
5040934391,,2016-12-31T00:00:00Z
5040934391,,2017-12-31T00:00:00Z
5040934391,,2018-12-31T00:00:00Z
5040934391,,2019-12-31T00:00:00Z
5040934394,1902160.84372531,2010-12-31T00:00:00Z
5040934394,2082622.22668407,2011-12-31T00:00:00Z
5040934394,2263526.87398886,2012-12-31T00:00:00Z
5040934394,1699223.57944711,2013-12-31T00:00:00Z
5040934440,1737442.69317003,2011-12-31T00:00:00Z
5040934440,2303792.91749056,2012-12-31T00:00:00Z
5040934440,2570430.08093896,2013-12-31T00:00:00Z
5040934440,1882093.14775161,2014-12-31T00:00:00Z
5040934440,1160094.11977647,2015-12-31T00:00:00Z
5040934440,1044112.53907607,2016-12-31T00:00:00Z
5040934440,1470817.5947362,2017-12-31T00:00:00Z
5040934440,1832451.64202947,2018-12-31T00:00:00Z
5040934440,2267383.57787296,2019-12-31T00:00:00Z
