Instrument,Total Fixed Assets - Net,Date
5040933966,127831.877656192,
5040933966,294984.720474564,
5040933966,155943.491090121,
5040933966,137981.798715203,
5040933966,166858.978709926,
5040933966,134537.455134885,
5040933966,103935.664676496,
5040933966,166691.747600912,
5040933966,229085.02688417,
5040933966,176266.91847655,
5040934228,64417.8964628719,
5040934228,165378.392953442,
5040934228,217925.259218964,
5040934228,371921.841541756,
5040934228,643114.097604018,
5040934228,1598008.56778974,
5040934228,1716827.09881808,
5040934228,1476032.27337447,
5040934228,1422354.87104712,
5040934228,,
5040934387,617240.571562427,
5040934387,466474.923602373,
5040934387,285017.226315876,
5040934387,255353.319057816,
5040934387,432702.097332519,
5040934387,381729.767280306,
5040934387,309613.744364567,
5040934387,571498.026323405,
5040934387,478902.761323248,
5040934387,590820.597115844,
5040934389,1496503.02847773,
5040934389,1502966.0255258,
5040934389,283368.775035854,
5040934389,531450.749464668,
5040934389,182470.191633295,
5040934389,193006.831075605,
5040934391,0.0,
5040934391,0.0,
5040934391,0.0,
5040934391,,
5040934391,,
5040934391,,
5040934391,,
5040934391,,
5040934391,,
5040934394,528530.694974063,
5040934394,179533.514038082,
5040934394,186050.692072623,
5040934394,104676.656281424,
5040934440,132684.134792357,
5040934440,203307.567859069,
5040934440,186769.53002654,
5040934440,140524.625267666,
5040934440,84051.675377271,
5040934440,85330.5545907144,
5040934440,68112.5868161326,
5040934440,53827.5434961279,
5040934440,306775.722227285,
5040934440,,
5040934642,123314.258943212,
5040934642,97788.9627898616,
5040934642,85224.9311771591,
5040934642,496118.843683084,
5040934642,370822.869295685,
5040934642,346532.360773417,
5040934642,311806.994029487,
5040934642,247490.941924132,
5040934642,,
5040934642,,
5040934798,1626008.09824984,
5040934798,1777997.48337228,
5040934798,1044623.57615021,
5040934798,706638.115631692,
5040934798,503857.553338311,
5040934798,435220.56269538,
5040934798,556354.331668088,
5040934798,499843.726486624,
5040934798,553289.893374647,
5040934798,580445.097284883,
5040934829,1570123.48157815,
5040934829,1586014.74024807,
5040934829,2188319.07422976,
5040934832,185389.686443797,
5040934832,295523.997842891,
5040934832,226662.051003083,
5040935378,29028.8227008829,
5040935378,20245.6246026169,
5040935378,47995.6857810534,
5040935378,38573.7599525246,
5040935378,27703.426124197,
5040935378,81902.3054820245,
5040935378,92277.4111381267,
5040935378,129645.424637505,
5040935378,154652.899163069,
5040935378,,
5040935378,,
5040935472,,
5040935473,0.0,
5040935473,0.0,
5040935473,0.0,
5040935509,1976374.52732323,
5040935509,2118641.02103182,
5040935509,2007648.8139393,
5040935509,977248.394004283,
5040935509,458833.910269463,
5040935509,447956.466365636,
5040935509,441086.877056172,
5040935509,621505.550603679,
5040935509,902670.190467511,
5040935509,921204.49060959,
5040935598,813171.368336512,
5040935598,703217.688297681,
5040935598,713120.023737698,
5040935598,550722.698072805,
5040935598,426140.862915451,
5040935598,400833.622785689,
5040935598,423540.87973681,
5040935598,253278.849826942,
5040935601,,
5040935707,1680721.48044038,
5040935707,1732698.18443286,
5040935707,1346290.16039431,
5040935707,1628747.32334047,
5040935707,1214393.99081427,
5040935707,1308324.64976265,
5040935707,1392347.9956135,
5040935707,2267818.0744788,
5040935707,3016039.36936116,
5040935707,2114270.39252031,
5040935710,96877.2544573843,
5040935710,70776.0265033631,
5040935710,103541.254718677,
5040935710,64289.5999208743,
5040935710,37339.4004282655,
5040935710,17647.458087287,
5040935710,25471.8073405118,
5040935710,40696.9660046302,
5040935710,94690.1732899626,
5040935710,,
5040935710,,
5040935733,191915.135695881,
5040935733,437353.945712745,
5040935733,505085.472198869,
5040935733,454764.453961456,
5040935733,403515.916649698,
5040935733,447493.342595809,
5040935733,575971.731448763,
5040935733,684709.504902358,
5040935733,543948.783377381,
5040935733,440550.717541589,
5040935778,1163705.11662149,
5040935778,1082509.43735395,
5040935778,936814.862436741,
5040935778,720289.079229122,
5040935778,847756.736577751,
5040935778,959708.232025009,
5040935778,1222249.29937858,
5040935778,1033488.83512566,
5040935778,841611.227558553,
5040935778,702036.629011763,
5040935786,381153.164006291,
5040935786,895380.19054467,
5040935786,925275.703476584,
5040935786,911001.070663812,
5040935786,926491.54958257,
5040935786,1062174.36609934,
5040935786,952235.896186183,
5040935786,706124.764142753,
5040935786,638043.3792035,
5040935786,827708.413481155,
5040935805,335635.026967605,
5040935805,305022.922731988,
5040935805,293546.64749236,
5040935805,426619.191269802,
5040935805,341943.254817987,
5040935805,289486.187470305,
5040935805,294430.936667825,
5040935805,350554.40477641,
