Instrument,Total Assets,Date
5060878879,81433.5651416582,2006-12-31T00:00:00Z
5060878879,122054.679407688,2007-12-31T00:00:00Z
5060878879,179044.422079647,2008-12-31T00:00:00Z
5060878879,147083.261753422,2009-12-31T00:00:00Z
5060878879,102349.033509464,2010-12-31T00:00:00Z
5060878879,154065.941747573,2011-12-31T00:00:00Z
5060878879,,2012-12-31T00:00:00Z
5060878879,,2013-12-31T00:00:00Z
5060878879,114061.670598198,2014-12-31T00:00:00Z
5060878879,109683.995612559,2015-12-31T00:00:00Z
5060878879,149896.499158957,2016-12-31T00:00:00Z
5060878879,232683.329134727,2017-12-31T00:00:00Z
5060878879,223632.936507937,2018-12-31T00:00:00Z
5060878879,250400.118826088,2019-12-31T00:00:00Z
5060878880,,2011-12-31T00:00:00Z
5060878880,303451.578002955,2012-12-31T00:00:00Z
5060878880,402641.572971933,2013-12-31T00:00:00Z
5060878880,418919.228210246,2014-12-31T00:00:00Z
5060878880,391680.368371325,2015-12-31T00:00:00Z
5060878880,443182.685029437,2016-12-31T00:00:00Z
5060878880,628823.17870467,2017-12-31T00:00:00Z
5060878880,734316.53133315,2018-12-31T00:00:00Z
5060878880,713816.066183889,2019-12-31T00:00:00Z
5060878900,42664.0054895026,2006-12-31T00:00:00Z
5060878900,50681.5230870231,2007-12-31T00:00:00Z
5060878900,50204.5959659496,2008-12-31T00:00:00Z
5060878900,54022.3472484682,2009-12-31T00:00:00Z
5060878900,37154.4779613404,2010-12-31T00:00:00Z
5060878900,37900.284789644,2011-12-31T00:00:00Z
5060878900,41135.8718598269,2012-12-31T00:00:00Z
5060878915,53280.3473166097,2006-12-31T00:00:00Z
5060878915,62850.5215551827,2007-12-31T00:00:00Z
5060878915,63879.5376078053,2008-12-31T00:00:00Z
5060878915,69154.3406058524,2009-12-31T00:00:00Z
5060878915,68327.9111765099,2010-12-31T00:00:00Z
5060878915,69980.6084142395,2011-12-31T00:00:00Z
5060878915,,2012-12-31T00:00:00Z
5060878915,82978.0080820299,2013-12-31T00:00:00Z
5060878915,76563.8178189077,2014-12-31T00:00:00Z
5060878915,72509.8880333619,2015-12-31T00:00:00Z
5060878915,73922.9394449117,2016-12-31T00:00:00Z
5060878915,88799.7144947878,2017-12-31T00:00:00Z
5060878915,92527.5025231673,2018-12-31T00:00:00Z
5060878915,,2019-12-31T00:00:00Z
5060878915,,2019-12-31T00:00:00Z
5060878919,72068.9618769876,2006-12-31T00:00:00Z
5060878919,170967.36450507,2007-12-31T00:00:00Z
5060878919,164507.401350275,2008-12-31T00:00:00Z
5060878919,138313.290958026,2009-12-31T00:00:00Z
5060878919,101897.960002675,2010-12-31T00:00:00Z
5060878919,93705.6051779935,2011-12-31T00:00:00Z
5060878919,133314.637428752,2012-12-31T00:00:00Z
5060878919,129800.093465651,2013-12-31T00:00:00Z
5060878919,,2014-12-31T00:00:00Z
5060878919,74557.020449387,2015-12-31T00:00:00Z
5060878919,81606.5811606392,2016-12-31T00:00:00Z
5060878919,105021.388898886,2017-12-31T00:00:00Z
5060878919,99496.7428204422,2018-12-31T00:00:00Z
5060878919,132056.868372083,2019-12-31T00:00:00Z
5060878928,62116.6086311223,2007-09-30T00:00:00Z
5060878928,65209.6965252708,2008-09-30T00:00:00Z
5060878928,71708.7473839804,2009-09-30T00:00:00Z
5060878928,71321.5843419475,2010-09-30T00:00:00Z
5060878928,74277.7985973553,2011-09-30T00:00:00Z
5060878928,44091.1370269888,2012-09-30T00:00:00Z
5060878928,,2013-09-30T00:00:00Z
5060878928,,2014-09-30T00:00:00Z
5060878928,46191.8370083932,2015-09-30T00:00:00Z
5060878928,48630.3829902005,2016-09-30T00:00:00Z
5060878928,54212.6269785023,2017-09-30T00:00:00Z
5060878928,55877.1750612325,2018-09-30T00:00:00Z
5060878928,54589.243679163,2019-09-30T00:00:00Z
5060878928,61269.7008401786,2020-09-30T00:00:00Z
5060878938,276041.910241353,2006-12-31T00:00:00Z
5060878938,193361.032898096,2007-12-31T00:00:00Z
5060878938,146124.837505766,2008-12-31T00:00:00Z
5060878938,74188.1263242284,2009-12-31T00:00:00Z
5060878938,62815.0491605913,2010-12-31T00:00:00Z
5060878938,37071.2233009709,2011-12-31T00:00:00Z
5060878938,51469.9836394342,2012-12-31T00:00:00Z
5060878938,50648.624130632,2013-12-31T00:00:00Z
5060878938,51274.7111836932,2014-12-31T00:00:00Z
5060878938,169923.556434009,2015-12-31T00:00:00Z
5060878938,297766.190075694,2016-12-31T00:00:00Z
5060878938,239216.144240112,2017-12-31T00:00:00Z
5060878938,95370.7450224791,2018-12-31T00:00:00Z
5060878938,494419.814810663,2019-12-31T00:00:00Z
5060878938,573164.960918417,2020-12-31T00:00:00Z
5060878939,254756.341980187,2009-12-31T00:00:00Z
5060878939,642663.500769179,2010-12-31T00:00:00Z
5060878942,26072.9140647908,2015-12-31T00:00:00Z
5060878942,20791.0113540791,2016-12-31T00:00:00Z
