Instrument,Cost of Revenues - Total,Date
5062141525,,
5062141531,,
5062141606,,
5062141620,,
5062141622,,
5062141682,,
5062141725,,
5062141750,,
5062141836,,
5062141849,,
5062141853,,
5062141890,,
5062141903,,
5062141930,,
5062141990,,
5062142061,,
5062142072,,
5062142091,,
5062142148,,
5062142181,,
5062142221,,
5062142291,,
5062142378,,
5062142380,,
5062142502,,
5062142532,,
5062142566,,
5062142571,,
5062142630,,
5062142636,,
5062142644,,
5062142688,,
5062142731,,
5062142734,,
5062142743,,
5062142760,,
5062142802,,
5062142830,,
5062142833,,
5062142911,,
5062142915,,
5062142930,,
5062142945,,
5062142948,,
5062142957,,
5062143076,,
5062143129,,
5062143137,,
5062165127,70104.7909438293,2015-12-31T00:00:00Z
5062165127,289837.435413181,2016-12-31T00:00:00Z
5062165127,331460.200954186,2017-12-31T00:00:00Z
5062165127,305971.155080896,2018-12-31T00:00:00Z
5062165175,0.0,2016-12-31T00:00:00Z
5062165175,0.0,2017-12-31T00:00:00Z
5062165175,0.0,2018-12-31T00:00:00Z
5062348416,,
5062348482,,
5062348488,,
5062348740,,
5062348741,,
5062348831,,
5062348838,,
5062348839,,
5062348840,,
5062349165,,
5062351391,,
5062351433,,
5062351441,,
5062351467,,
5062351469,,
5062351486,,
5062351525,,
5062351534,,
5062351538,,
5062351689,,
5062351704,,
5062351706,,
5062351713,,
5062351724,,
5062351760,,
5062351824,,
5062351825,,
5062351829,,
5062388231,3433724.05627639,2014-12-31T00:00:00Z
5062388231,5620316.00587976,2015-12-31T00:00:00Z
5062388231,6902468.99023873,2016-12-31T00:00:00Z
5062388231,3358199.25921067,2017-12-31T00:00:00Z
5062388231,2957024.28614154,2018-12-31T00:00:00Z
5062388231,1772038.90267376,2019-12-31T00:00:00Z
5062388231,37863.5725663836,2020-12-31T00:00:00Z
5062388318,491032.249275143,2014-12-31T00:00:00Z
5062388318,394028.700872232,2015-12-31T00:00:00Z
5062388318,389349.8772594,2016-12-31T00:00:00Z
5062388318,400610.283067756,2017-12-31T00:00:00Z
5062388318,427843.106320916,2018-12-31T00:00:00Z
5062388318,413236.878709402,2019-12-31T00:00:00Z
5062388318,335012.623749326,2020-12-31T00:00:00Z
5062388420,0.0,2014-12-31T00:00:00Z
5062388420,0.0,2015-12-31T00:00:00Z
5062388420,0.0,2016-12-31T00:00:00Z
5062388447,3316735.82184617,2014-12-31T00:00:00Z
5062388447,4556189.91497529,2015-12-31T00:00:00Z
5062388447,4378785.79438778,2016-12-31T00:00:00Z
5062388447,5974639.75669521,2017-12-31T00:00:00Z
5062388447,6219773.76984381,2018-12-31T00:00:00Z
5062388447,3824687.59884493,2019-12-31T00:00:00Z
5062388447,3008074.18898511,2020-12-31T00:00:00Z
5062388646,2877114.72865397,2014-12-31T00:00:00Z
5062388646,3481746.9842688,2015-12-31T00:00:00Z
5062388646,2920302.84431109,2016-12-31T00:00:00Z
5062388646,3278876.48550771,2017-12-31T00:00:00Z
5062388646,3086397.94174648,2018-12-31T00:00:00Z
5062388646,3150063.89181893,2019-12-31T00:00:00Z
5062388646,3251254.3170171,2020-12-31T00:00:00Z
5062388819,0.0,2014-12-31T00:00:00Z
5062388819,0.0,2015-12-31T00:00:00Z
5062388819,0.0,2016-12-31T00:00:00Z
5062389008,3043763.27484232,2014-12-31T00:00:00Z
5062389008,2500155.61178047,2015-12-31T00:00:00Z
5062389008,2577908.53841386,2016-12-31T00:00:00Z
5062389008,2619346.9807958,2017-12-31T00:00:00Z
5062389008,4045632.2703763,2018-12-31T00:00:00Z
5062389008,5687154.05961778,2019-12-31T00:00:00Z
5062389024,0.0,2014-12-31T00:00:00Z
5062389024,0.0,2015-12-31T00:00:00Z
5062389024,0.0,2016-12-31T00:00:00Z
5062389024,0.0,2017-12-31T00:00:00Z
5062389024,0.0,2018-12-31T00:00:00Z
5062389024,0.0,2019-12-31T00:00:00Z
5062389024,0.0,2020-12-31T00:00:00Z
5062389128,31196.8625147255,2014-12-31T00:00:00Z
5062389128,23989.7600215586,2015-12-31T00:00:00Z
5062389128,19783.3117921826,2016-12-31T00:00:00Z
5062389128,21072.0040065869,2017-12-31T00:00:00Z
5062389128,16110.2175705777,2018-12-31T00:00:00Z
5062389128,0.0,2019-12-31T00:00:00Z
5062389128,0.0,2020-12-31T00:00:00Z
5062455107,4161288.54125083,2016-12-31T00:00:00Z
5062455107,4706928.61910353,2017-12-31T00:00:00Z
5062455107,4894308.69369353,2018-12-31T00:00:00Z
5062455107,4953269.02206395,2019-12-31T00:00:00Z
5062455107,5464940.0877644,2020-12-31T00:00:00Z
5062459910,4659469.00085199,2011-12-31T00:00:00Z
5062459910,4080954.70569006,2012-12-31T00:00:00Z
5062459910,5137042.05194427,2013-12-31T00:00:00Z
5063190558,,
5063190685,,
5063190729,,
5063190802,,
5063190836,,
5063190852,,
5063190854,,
5063190866,,
5063190870,0.0,2014-12-31T00:00:00Z
5063190870,0.0,2015-12-31T00:00:00Z
5063190870,0.0,2016-12-31T00:00:00Z
5063190870,0.0,2017-12-31T00:00:00Z
5063190870,0.0,2018-12-31T00:00:00Z
5063190870,0.0,2019-12-31T00:00:00Z
5063190870,0.0,2020-12-31T00:00:00Z
5063190878,,
5063190914,,
5063190951,,
5063190989,,
5063191024,,
5063191037,,
5063191091,,
5063191175,,
5063191184,,
5063191219,0.0,2014-12-31T00:00:00Z
5063191219,0.0,2015-12-31T00:00:00Z
5063191219,5709034.74754647,2016-12-31T00:00:00Z
5063191219,2500786.68239092,2017-12-31T00:00:00Z
5063191219,370780.961643449,2018-12-31T00:00:00Z
5063191219,1963813.57305748,2019-12-31T00:00:00Z
5063191219,718661.273105049,2020-12-31T00:00:00Z
5063191243,,
5063191251,,
5063191376,,
5063191430,,
5063191466,,
5063191603,,
5063191610,,
