Instrument,Total Fixed Assets - Net,Date
5081872389,,
5081872391,,
5081872401,,
5081872409,,
5081872413,,
5081872428,,
5081872440,,
5081872447,,
5081872453,,
5081872460,,
5081872498,,
5081872499,,
5081872501,,
5081872512,,
5081872514,,
5081872525,,
5081872537,,
5081872544,,
5081872545,,
5081872548,,
5081872549,,
5081872552,,
5081872554,,
5081872598,,
5081872601,,
5081872605,,
5081872610,2778441.56680271,
5081872610,3130687.78481655,
5081872632,,
5081872634,,
5081872666,5588613.86137756,
5081872666,15277255.7037078,
5081872673,,
5081872678,,
5081872708,,
5081872709,,
5081872711,,
5081872712,,
5081872717,,
5081872724,,
5081872727,,
5081872733,,
5081872737,,
5081872741,,
5081872744,,
5081872763,,
5081872765,,
5081872770,6524960.44980497,
5081872772,,
5081872781,,
5081872782,,
5081872788,,
5081872789,6144543.58921036,
5081872789,6588810.80066761,
5081872794,,
5081872797,46186.6040867616,
5081872797,345235.279798796,
5081872800,,
5081872810,,
5081872816,1374586.49061349,
5081872816,2171500.0589219,
5081872816,1808032.50896751,
5081872817,,
5081872822,,
5081872837,,
5081872857,,
5081872864,,
5081872867,,
5081872875,,
5081872879,,
5081872883,,
5081872884,,
5081872903,,
5081872917,,
5081872919,,
5081872922,,
5081872930,8647240.77194774,
5081872930,8448585.86860104,
5081872930,21338914.2699063,
5081872930,27113365.5474715,
5081872930,12514538.3061686,
5081872930,23793854.9060832,
5081872951,,
5081872963,,
5081872965,,
5081872968,,
5081872982,,
5081872986,,
5081872992,,
5081873000,,
5081873003,,
5081873008,10443430.5778679,
5081873008,14841091.2122973,
5081873012,156608.488278092,
5081873012,329125.622362595,
5081873028,,
5081873055,,
5081873072,,
5081873074,,
5081873077,,
5081873087,,
5081873100,,
5081873102,,
5081873115,,
5081873127,,
5081873130,,
5081873147,,
5081873180,,
5081873183,,
5081873184,,
5081873200,,
5081873204,,
5081873253,,
5081873262,6548040.85730094,
5081873262,5574643.58663433,
5081873273,,
5081873282,,
5081873291,,
5081873295,,
5081873296,,
5081873304,,
5081873308,,
5081873317,,
5081873322,,
5081873380,4626408.05497067,
5081873380,4991169.64415798,
5081873383,,
5081873408,7177277.84455959,
5081873408,9921858.09897128,
5081873408,9541722.38390371,
5081873408,8407177.8878231,
5081873408,8665128.51992217,
5081873412,,
5081873416,,
5081873418,,
5081873420,,
5081873426,,
5081873430,,
5081873439,,
5081873447,,
5081873453,,
5081873456,,
5081873457,,
5081873458,,
5081873460,5386704.98215718,
5081873466,,
5081873467,,
5081873473,6829225.67589111,
5081873473,6477364.59444894,
5081873473,6153609.50808876,
5081873473,,
5081873481,,
5081873485,3408482.8450764,
