Instrument,Full-Time Employees (Pvt),Date
5082068583,,
5082069154,,
5082069286,,
5082071849,,
5082086422,,
5082088939,,
5082095955,,
5082096156,,
5082103432,,
5082105073,,
5082105785,,
5082107289,,
5082107776,,
5082108859,,
5082109319,,2019-12-31T00:00:00Z
5082109319,29,2020-12-31T00:00:00Z
5082110833,,
5082112022,,
5082112132,,
5082124664,,
5082137670,,
5082143202,,
5082145169,,
5082148758,,
5082149584,,
5082150360,,
5082151381,,2018-12-31T00:00:00Z
5082151381,19,2019-12-31T00:00:00Z
5082151381,,2020-12-31T00:00:00Z
5082152091,,
5082166813,,
5082178971,,
5082341875,,2019-12-31T00:00:00Z
5082341875,35,2020-12-31T00:00:00Z
5082341888,,
5082341891,,
5082355554,17,2009-04-30T00:00:00Z
5082355554,10,2010-04-30T00:00:00Z
5082355554,10,2011-04-30T00:00:00Z
5082355554,11,2012-04-30T00:00:00Z
5082355554,12,2013-04-30T00:00:00Z
5082355554,12,2014-12-31T00:00:00Z
5082355554,12,2015-12-31T00:00:00Z
5082355554,14,2016-12-31T00:00:00Z
5082355554,15,2017-12-31T00:00:00Z
5082355554,15,2018-12-31T00:00:00Z
5082355554,21,2019-12-31T00:00:00Z
5082355554,22,2020-12-31T00:00:00Z
5082355571,,
5082355683,,
5082355718,8,2018-12-31T00:00:00Z
5082355720,,
5082355735,,
5082355746,7,2019-12-31T00:00:00Z
5082355746,8,2020-12-31T00:00:00Z
5082355760,,
5082355836,,
5082355866,,
5082355883,,2020-05-31T00:00:00Z
5082355883,76,2021-05-31T00:00:00Z
5082355886,,
5082355952,,
5082358929,11,2019-12-31T00:00:00Z
5082358958,8,2020-12-31T00:00:00Z
5082359040,,
5082359758,,
5082359765,,
5082360107,,
5082360785,,
5082360801,,
5082360812,,2018-12-31T00:00:00Z
5082360812,124,2019-12-31T00:00:00Z
5082360812,150,2020-12-31T00:00:00Z
5082360814,,
5082360815,,2018-12-31T00:00:00Z
5082360815,1601,2019-12-31T00:00:00Z
5082360815,1580,2020-12-31T00:00:00Z
5082360826,,
5082360844,,
5082360845,,
5082360849,,2017-12-31T00:00:00Z
5082360849,18,2018-12-31T00:00:00Z
5082360849,15,2019-12-31T00:00:00Z
5082360849,16,2020-12-31T00:00:00Z
5082360857,,2019-12-31T00:00:00Z
5082360857,936,2020-12-31T00:00:00Z
5082360861,,
5082360865,,
5082360876,,
5082360954,2,2020-12-31T00:00:00Z
5082361109,50,2020-12-31T00:00:00Z
5082361147,,
5082361173,,
5082395773,,
5082419760,,
5082445343,,
5082446760,,
5082450392,,
5082451796,,
5082452288,,
5082467162,,
5082499805,,
5082503354,,
5082503651,,
5082525049,,
5082527864,,
5082531062,,
5082533788,,
5082535002,87,2020-12-31T00:00:00Z
5082535415,,2009-12-31T00:00:00Z
5082535415,146,2010-12-31T00:00:00Z
5082535415,126,2011-12-31T00:00:00Z
5082535415,,2012-12-31T00:00:00Z
5082535415,,2013-12-31T00:00:00Z
5082535415,,2014-12-31T00:00:00Z
5082535415,,2015-12-31T00:00:00Z
5082535415,,2016-12-31T00:00:00Z
5082535415,,2017-12-31T00:00:00Z
5082535415,,2018-12-31T00:00:00Z
5082535415,,2019-12-31T00:00:00Z
5082535415,84,2020-12-31T00:00:00Z
5082535505,,2013-12-31T00:00:00Z
5082535505,32,2014-12-31T00:00:00Z
5082535505,32,2015-12-31T00:00:00Z
5082535505,37,2016-12-31T00:00:00Z
5082535505,33,2017-12-31T00:00:00Z
5082535505,33,2018-12-31T00:00:00Z
5082535505,37,2019-12-31T00:00:00Z
5082535505,32,2020-12-31T00:00:00Z
5082535582,,
5082535612,,
5082535661,,2008-03-31T00:00:00Z
5082535661,11,2009-03-31T00:00:00Z
5082535661,,2010-03-31T00:00:00Z
5082535661,14,2011-03-31T00:00:00Z
5082535661,14,2012-03-31T00:00:00Z
5082535661,16,2013-03-31T00:00:00Z
5082535661,16,2014-03-31T00:00:00Z
5082535661,16,2015-03-31T00:00:00Z
5082535661,16,2016-03-31T00:00:00Z
5082535661,,2017-03-31T00:00:00Z
5082535661,18,2018-03-31T00:00:00Z
5082535661,18,2019-03-31T00:00:00Z
5082535661,19,2020-03-31T00:00:00Z
5082535661,21,2021-03-31T00:00:00Z
5082638546,,
5082703971,,
5082703972,,
5082749966,,
5083182266,,
5083184958,,
5083185217,,
5083185390,,
5083185908,,
5083186042,,
5083221833,24,2018-12-31T00:00:00Z
5083222324,13,2020-12-31T00:00:00Z
5083224798,7,2017-12-31T00:00:00Z
5083225568,65,2016-12-31T00:00:00Z
5083243489,,
5083253201,27,2019-12-31T00:00:00Z
5083253230,28,2020-12-31T00:00:00Z
5083253452,5,2016-12-31T00:00:00Z
5083253487,,
5083253506,,2014-12-31T00:00:00Z
5083253506,25,2015-12-31T00:00:00Z
5083253506,24,2016-12-31T00:00:00Z
5083253506,23,2017-12-31T00:00:00Z
5083253506,24,2018-12-31T00:00:00Z
5083253506,24,2019-12-31T00:00:00Z
5083253506,24,2020-12-31T00:00:00Z
5083253705,8,2018-12-31T00:00:00Z
5083253705,,2019-12-31T00:00:00Z
5083253705,,2020-12-31T00:00:00Z
5083253741,21,2014-12-31T00:00:00Z
5083253741,,2015-12-31T00:00:00Z
5083253741,,2016-12-31T00:00:00Z
5083253741,,2017-12-31T00:00:00Z
5083253741,,2018-12-31T00:00:00Z
5083253741,,2019-12-31T00:00:00Z
5083253776,,
5083253815,,
5083253862,8,2015-12-31T00:00:00Z
5083253909,,
5083254219,7,2014-12-31T00:00:00Z
5083254219,,2015-12-31T00:00:00Z
5083254219,,2016-12-31T00:00:00Z
5083254219,,2017-12-31T00:00:00Z
5083254219,,2018-12-31T00:00:00Z
5083254219,,2019-12-31T00:00:00Z
5083254245,17,2019-12-31T00:00:00Z
5083254246,,
5083254352,15,2020-12-31T00:00:00Z
5083254422,,
5083254423,,
5083254442,,
5083254498,,
5083254577,,
5083254688,,
5083254809,17,2015-12-31T00:00:00Z
5083254919,44,2017-12-31T00:00:00Z
5083254955,,
5083255064,,
5083255070,,
5083255085,,2009-12-31T00:00:00Z
5083255085,4,2010-12-31T00:00:00Z
5083255085,31,2011-12-31T00:00:00Z
5083255085,29,2012-12-31T00:00:00Z
5083255085,21,2013-12-31T00:00:00Z
5083255085,31,2014-12-31T00:00:00Z
5083255085,26,2015-12-31T00:00:00Z
5083255085,23,2016-12-31T00:00:00Z
5083255085,25,2017-12-31T00:00:00Z
5083255085,32,2018-12-31T00:00:00Z
5083255085,18,2019-12-31T00:00:00Z
5083255085,15,2020-12-31T00:00:00Z
5083255113,31,2019-12-31T00:00:00Z
5083255159,,
5083255168,18,2018-12-31T00:00:00Z
5083255296,12,2019-12-31T00:00:00Z
5083255371,7,2015-12-31T00:00:00Z
5083255375,27,2019-12-31T00:00:00Z
5083255579,29,2020-12-31T00:00:00Z
5083255618,,
5083255644,,
5083255656,,
5083255735,,
5083255818,3,2014-12-31T00:00:00Z
5083255926,,
5083255955,,
5083255973,16,2020-12-31T00:00:00Z
5083255975,,
5083256087,,
5083256099,,2008-12-31T00:00:00Z
5083256099,33,2009-12-31T00:00:00Z
5083256099,33,2010-12-31T00:00:00Z
5083256099,,2011-12-31T00:00:00Z
5083256099,33,2012-12-31T00:00:00Z
5083256099,26,2013-12-31T00:00:00Z
5083256099,32,2014-12-31T00:00:00Z
5083256099,7,2015-12-31T00:00:00Z
5083256099,19,2016-12-31T00:00:00Z
5083256099,22,2017-12-31T00:00:00Z
5083256099,24,2018-12-31T00:00:00Z
5083256099,20,2019-12-31T00:00:00Z
5083256099,15,2020-12-31T00:00:00Z
5083256304,8,2015-12-31T00:00:00Z
5083256430,,
5083256505,,
5083256506,23,2015-12-31T00:00:00Z
5083256571,6,2019-12-31T00:00:00Z
5083256599,9,2019-12-31T00:00:00Z
5083256726,20,2020-12-31T00:00:00Z
5083256840,,
5083256857,,
5083256907,,2014-12-31T00:00:00Z
5083256907,40,2015-12-31T00:00:00Z
5083256940,27,2020-12-31T00:00:00Z
5083256989,,
5083257009,,
5083257071,,2014-04-30T00:00:00Z
5083257071,28,2015-04-30T00:00:00Z
5083257071,28,2016-04-30T00:00:00Z
5083257071,28,2017-04-30T00:00:00Z
5083257071,28,2018-04-30T00:00:00Z
5083257071,28,2019-04-30T00:00:00Z
5083257071,28,2020-04-30T00:00:00Z
5083257071,28,2021-04-30T00:00:00Z
5083257074,7,2019-12-31T00:00:00Z
5083257122,12,2017-12-31T00:00:00Z
5083257200,,
5083257307,,
5083257419,12,2018-12-31T00:00:00Z
5083257435,50,2015-09-30T00:00:00Z
5083257493,,
5083257543,,
5083257582,,
5083257594,,
5083257676,,
5083257687,,2016-12-31T00:00:00Z
5083257687,3,2017-12-31T00:00:00Z
5083257687,3,2018-12-31T00:00:00Z
5083257687,3,2019-12-31T00:00:00Z
5083257687,,2020-12-31T00:00:00Z
5083257689,,
5083257705,6,2017-12-31T00:00:00Z
5083257705,,2018-12-31T00:00:00Z
5083257705,,2019-12-31T00:00:00Z
5083257705,,2020-12-31T00:00:00Z
5083257860,,
5083257911,,
5083257914,4,2018-12-31T00:00:00Z
5083258075,5,2019-12-31T00:00:00Z
5083258081,20,2020-12-31T00:00:00Z
5083258083,,
5083258351,,
5083258451,,
5083258573,25,2020-12-31T00:00:00Z
5083258616,,
5083258871,32,2019-12-31T00:00:00Z
5083258871,59,2020-12-31T00:00:00Z
5083258897,8,2019-12-31T00:00:00Z
5083258897,,2020-12-31T00:00:00Z
5083259063,,
5083259290,,
5083259292,12,2020-12-31T00:00:00Z
5083259424,11,2020-12-31T00:00:00Z
5083259487,,
5083259525,12,2018-12-31T00:00:00Z
5083259525,,2019-12-31T00:00:00Z
5083259550,,
5083259760,,
5083260211,,
5083260410,1,2020-12-31T00:00:00Z
5083260480,,
5083260512,7,2019-12-31T00:00:00Z
5083260767,6,2016-12-31T00:00:00Z
5083260810,,
5083260874,,2019-12-31T00:00:00Z
5083260874,28,2020-12-31T00:00:00Z
5083261244,7,2019-12-31T00:00:00Z
5083261263,15,2016-12-31T00:00:00Z
5083261901,78,2020-12-31T00:00:00Z
5083261927,20,2020-12-31T00:00:00Z
5083261984,,
5083262004,,
5083262096,6,2017-12-31T00:00:00Z
5083262311,7,2019-12-31T00:00:00Z
5083262501,,
5083262542,7,2017-12-31T00:00:00Z
5083262738,,
5083262742,,
5083262792,,2017-12-31T00:00:00Z
5083262792,4,2018-12-31T00:00:00Z
