Instrument,Company Common Name,Country ISO Code of Headquarters,Organization Status Code
5082939794,Land and Property Development Co Ltd,,Act
5082939797,I Klean Laundry Co Ltd,TH,Act
5082939809,Supakorn Visanusil Co Ltd,TH,Act
5082939813,Country Road Transport Co Ltd,TH,Act
5082939814,SK Human Resources Service Co Ltd,TH,Act
5082939816,F Transport Co Ltd,TH,Act
5082939827,Gateway Intertrade Co Ltd,TH,Act
5082939830,Nattawan Business Co Ltd,TH,Act
5082939836,T Seven Tour Co Ltd,TH,Act
5082939844,Wiphanai Engineering Co Ltd,TH,Act
5082939848,SP 49 Co Ltd,TH,Act
5082939854,Eurosia 2003(Thailand) Co Ltd,TH,Act
5082939856,Rianthong Part Center Co Ltd,TH,Act
5082939862,Toscana Valley Architects Co Ltd,TH,Act
5082939863,Eindhoven Electronics Ltd,TH,Act
5082939874,Oriental Trans & Car Service Co Ltd,TH,Act
5082939876,Sab Plastmach Co Ltd,TH,Act
5082939882,Puekthongbai Transport Partnership Ltd,TH,Act
5082939883,Top Five Crane Co Ltd,TH,Act
5082939885,Victor Bigger Co Ltd,TH,Act
5082939887,P & P Cholburi Co Ltd,TH,Act
5082939888,Pornwattana CL Co Ltd,TH,Act
5082939894,Ubon Arechiecture Co Ltd,TH,Act
5082939905,Singhasila Engineering Co Ltd,TH,Act
5082939921,Borneo Logistics Co Ltd,TH,Act
5082939926,Oni Intertrade Co Ltd,TH,Act
5082939927,Exin Decon Co Ltd,TH,Act
5082939930,Asian Nine Corp Co Ltd,TH,Act
5082939934,F D S Collection and Lawfirm Co Ltd,TH,Act
5082939936,Professional Service United Co Ltd,TH,Act
5082939945,Bangkok Office 3 Co Ltd,TH,Act
5082939946,CKP Activaco Co Ltd,TH,Act
5082939959,4 N Chokpattana Co Ltd,TH,Act
5082939964,SNSProservice Co Ltd,TH,Act
5082939967,Kantharalak Thai Yon Partnership Ltd,TH,Act
5082939986,Lokijkantang Partnership Ltd,TH,Act
5082939996,T K P Intelligent Partnership Ltd,TH,Act
5082939998,Union Solution Technology Tools & Die Co Ltd,TH,Act
5082940006,Seiwa Pioneer Logistics Co Ltd,TH,Act
5082940009,Sarakham Electric Partnership Ltd,TH,Act
5082940015,Thaireefer Co Ltd,TH,Act
5082940018,Surat Suksan Co Ltd,TH,Act
5082940019,Suwat Parawood Partnership Ltd,TH,Act
5082940032,ILSTransport Co Ltd,TH,Act
5082940033,3 N Transport Partnership Ltd,TH,Act
5082940034,Chonburi Triple Three Transport Co Ltd,TH,Act
5082940046,Ki-Ecotech Co Ltd,TH,Act
5082940070,PTChai Lighting and Industry Co Ltd,TH,Act
5082940073,TC Renewable Energy Co,TH,Act
5082940078,Sankyo Kasei SangyoThailand Co Ltd,TH,Act
5082940087,Pacific Prosperity Development Co Ltd,TH,Act
5082940092,Excella Furniture and Design Co Ltd,TH,Act
5082940097,Spon Tec Co Ltd,TH,Act
5082940098,Iwa Design Thailand Co Ltd,TH,Act
5082940099,Mitsubishi Electric Asia Thailand Co Ltd,TH,Act
5082940100,Optima Merchandising Service Co Ltd,TH,Act
5082940107,Aquatec Maxcon Asia Co Ltd,TH,Act
5082940108,Fict Associate Co Ltd,TH,Act
5082940110,L E D On Home Trading Co Ltd,TH,Act
5082940112,Engineering Reward Thailand Co Ltd,TH,Act
5082940117,Greentrans International Logistics Co Ltd,TH,Act
5082940120,Planet Inter Logistics Co Ltd,TH,Act
5082940121,Yang Design & Construction Co Ltd,TH,Act
5082940131,Meteekul Co Ltd,TH,Act
5082940132,Korea Power Products Thailand Co Ltd,TH,Act
5082940133,Miyago Industry Thailand Co Ltd,TH,Act
5082940136,ESD 222 Engineering Co Ltd,TH,Act
5082940137,Yaokun Machinery Co Ltd,TH,Act
5082940138,Thunder Cranes Thailand Co Ltd,TH,Act
5082940152,Mep Enviro Technology Thailand Co Ltd,TH,Act
5082940163,Castool 180 Co Ltd,TH,Act
5082940164,YN 2-Tech Thailand Co Ltd,TH,Act
5082940168,Otax Electronics Thailand Co Ltd,TH,Act
5082940171,Singtothong Logistics Co Ltd,TH,Act
5082940172,Disk Precision Industries Thailand Co Ltd,TH,Act
5082940173,Siam NTC Co Ltd,TH,Act
5082940174,Eusu Logistics Thailand Co Ltd,TH,Act
5082940184,A and C Industrial Supply Co Ltd,TH,Act
5082940190,Nissei Logistics Co Ltd,TH,Act
5082940193,Kuyonghuad Udonthani Co Ltd,TH,Act
5082940195,Nonanong Co Ltd,TH,Act
5082940204,Security Duangporndee Co Ltd,TH,Act
5082940209,Maclean Dulhunty Power Thailand Ltd,TH,Act
5082940211,Ditsaya Supply and Part Partnership Ltd,TH,Act
5082940214,Elephant Nature Park Partnership Ltd,TH,Act
5082940225,Apt Showfreight Thailand Ltd,TH,Act
5082940235,Patkol Public Kingkaew Branch Co Ltd,TH,Act
5082940236,Interline Technology Co Ltd,TH,Act
5082940250,Adecco Bangna Co Ltd,TH,Act
5082940286,Air Thai United Co Ltd,TH,Act
5082940289,Diakrit Thailand Co Ltd,TH,Act
5082940293,Fiscal Policy Research Institute Foundation,TH,Act
5082940294,Digithais Interactive Co Ltd,TH,Act
5082940296,Thada Logistics Co Ltd,TH,Act
5082940306,Thanatwit Travel Group Co Ltd,TH,Act
5082940310,Schenker Thai Laem Chabang Branch Ltd,TH,Act
5082940327,KTX Precision Thailand Co Ltd,TH,Act
5082940351,Eaimimjit Fishery Co Ltd,TH,Act
5082940354,Sanruamphon 999 Logistics Co Ltd,TH,Act
5082940355,Mjets Maintenance Ltd,TH,Act
5082940398,Dynamic Recycle Co Ltd,TH,Act
5083151031,Smart Bus Co Ltd,TH,Act
5083151145,Mp Synergy Co Ltd,TH,Act
5083151236,E Transport Holding,TH,Act
5083151242,Gekko Holding Co Ltd,TH,Act
5083161933,Asia Era One Co Ltd,TH,Act
5083162018,Workport Asia Co Ltd,TH,Act
5083201623,S S T Company Limited,TH,Act
5083225724,Savino Del Bene Thailand Limited,TH,Act
5083236382,SSahatara Thailand Co Ltd,TH,Act
5083236405,Airserve Company Limited,TH,Act
5083236569,Lehigh Engineering Company Limited,TH,Act
5083236938,Kentop Thailand Limited,TH,Act
5083237167,Trident Steel Company Limited,TH,Act
5083237439,August International Company Limited,TH,Act
5083237484,Yuasa Trading Thailand Co Ltd,,Act
5083237764,KEC 1993 Limited Partnership,TH,Act
5083237937,Schenker Logistics Thai Limited,TH,Act
5083238380,Tsna Company Limited,TH,Act
5083238413,Bugen Company Limited,TH,Act
5083238736,FOREFRONT (THAILAND) COMPANY LIMITED,TH,Act
5083239021,WMW Engineering Company Limited,TH,Act
5083239379,OTJ Company Limited,TH,Act
5083239519,Pearl Printing Co Ltd,TH,Act
5083239646,Bangkokgen Company Limited,TH,Act
5083239677,THAI OIL TOOL MACHINERY SERVICES COMPANY LIMITED,TH,Act
5083240045,Lucky Star International Thailand Company Limited,TH,Act
5083240138,PTTLimited Partnership,TH,Act
5083240392,CMYK Limited,TH,Act
5083240472,Future Telecom Company Limited,TH,Act
5083240565,Lantro Thailand Co Ltd,TH,Act
5083240603,Thai Power Co Ltd,TH,Act
5083240618,Fimer Thailand Co Ltd,TH,Act
5083240635,Mva Engineering Partnership Ltd,TH,Act
5083240671,Sanko Shoji Thailand Company Limited,TH,Act
5083240865,PRECISION TOOLS SERVICE (THAILAND) COMPANY LIMITED,TH,Act
5083240891,Gold Buyers Thailand Company Limited,TH,Act
5083240894,Toll Global Forwarding Thailand Limited,TH,Act
5083240919,Emec Company Limited,TH,Act
5083240925,Super Supply Company Limited,TH,Act
5083240960,GC Holding Thailand Company Limited,TH,Act
5083240962,KCS Trading Co Ltd,TH,Act
5083240968,Bluestone Co Ltd,TH,Act
5083240973,Wattana Partnership Ltd,TH,Act
5083240982,Watkford Control Thailand Co Ltd,TH,Act
5083240989,Ipb Company Limited,TH,Act
5083241058,Bison Construction Company Limited,TH,Act
5083241065,BT Service Company Limited,TH,Act
5083241068,3Ac Thailand Co Ltd,TH,Act
5083241071,Auriga Company Limited,TH,Act
5083241077,Con Equip Company Limited,TH,Act
5083241092,TYK Thailand Company Limited,TH,Act
5083241104,Allport Cargo Services Thailand Co Ltd,TH,Act
5083241112,V-Serve Ltd,TH,Act
5083241114,Sierra Asia Pacific Inc,TH,Act
5083241119,VATANA PHAISAL ENGINEERING COMPANY LIMITED,TH,Act
5083241125,STM Engineering Limited Partnership,TH,Act
5083241129,Globaltronic Intertrade Company Limited,TH,Act
5083241144,Ram Joint Venture,TH,Act
5083241160,PCS Machine Thailand Company Limited,TH,Act
5083241230,TO Thai Co Ltd,TH,Act
5083241239,Global Seal Company Limited,TH,Act
5083241257,Efco Thailand Company Limited,TH,Act
5083241274,Hach Thailand Ltd,TH,Act
5083241281,Food Machinery Co Ltd,TH,Act
5083241306,Melco Mobility Solutions Thailand Co Ltd,TH,Act
5083241328,Seamless Company Limited,TH,Act
5083241338,Aot Ground Aviation Services Co Ltd,TH,Act
5083241349,Tata Projects Limited,TH,Act
5083241357,Mira Electric Ltd,TH,Act
5083241381,Sino Enterprise Co Ltd,TH,Act
5083241408,Netdesign Company Limited,TH,Act
5083241424,Prayoch Civil Limited Partnership,TH,Act
5083241426,Well Grow Industries Company Limited,TH,Act
5083241446,Atlas Transport Company Limited,TH,Act
5083241458,Inter-Transport Company Limited,TH,Act
5083241464,FL Smidth Thailand Co Ltd,TH,Act
5083241468,IMT Logistics Company Limited,TH,Act
5083241473,Mee Company Limited,TH,Act
5083241490,Koshin Trading Thailand Co Ltd,TH,Act
5083241496,Kubota Corporation,TH,Act
5083241507,Techni Waterjet Ltd,TH,Act
5083241512,Smart Logistics Services Company Limited,TH,Act
5083241514,TOP EXPERT COMPANY LIMITED,TH,Act
5083241520,Precision Print Co Ltd,TH,Act
5083241522,Ziehl-Abegg Thailand Ltd,TH,Act
5083241529,Obayashi Corp,TH,Act
5083241534,Organic Co Ltd,TH,Act
5083241555,Bluepay Co Ltd,TH,Act
