Instrument,TRBC Industry Group Name,SIC Industry Code,GICS Sub-Industry Code
5073666805,Metals & Mining,,
5073666812,Construction Materials,,
5073666943,Construction Materials,,
5073667000,Chemicals,,
5073671945,Paper & Forest Products,,
5073674941,Construction Materials,,
5074624637,Metals & Mining,,
5074753805,Construction Materials,,
5074857483,Paper & Forest Products,,
5076086441,Paper & Forest Products,,
5076370506,Investment Holding Companies,,
5076942523,Metals & Mining,,
5076950843,"Machinery, Tools, Heavy Vehicles, Trains & Ships",,
5078355367,Metals & Mining,,
5078521479,Chemicals,,
5078521557,Metals & Mining,,
5078521579,,,
5078521726,,,
5079143312,Chemicals,,
5079219899,Paper & Forest Products,,
5079219912,Paper & Forest Products,,
5079219917,Paper & Forest Products,,
5079242370,Metals & Mining,,
5079684218,Chemicals,,
5079897001,,,
5079901788,Chemicals,,
5079905935,Metals & Mining,,
5079906356,Renewable Energy,,
5079907959,Metals & Mining,,
5079909479,Chemicals,,
5080039973,Chemicals,,
5080201049,Construction Materials,,
5081122035,Metals & Mining,,
5081155179,Construction Materials,,
5081169593,,,
5081394732,Construction Materials,,
5081406812,Construction Materials,,
5081414354,Construction Materials,,
5081414396,Construction Materials,,
5081414745,Chemicals,,
5081414822,Metals & Mining,,
5081414847,Paper & Forest Products,,
5081414874,Metals & Mining,,
5081414901,Paper & Forest Products,,
5081414907,Construction Materials,,
5081415014,Metals & Mining,,
5081415017,Construction Materials,,
5081415042,Metals & Mining,,
5081415081,Metals & Mining,,
5081415151,Paper & Forest Products,,
5081415194,Construction Materials,,
5081415196,Construction Materials,,
5081415218,Construction Materials,,
5081415290,Paper & Forest Products,,
5081415371,Construction Materials,,
5081415458,Metals & Mining,,
5081415484,Metals & Mining,,
5081415544,Paper & Forest Products,,
5081415556,Paper & Forest Products,,
5081415654,Paper & Forest Products,,
5081415748,Construction Materials,,
5081415750,Construction Materials,,
5081415781,Construction Materials,,
5081415828,Metals & Mining,,
5081415875,Construction Materials,,
5081437355,,,
5081437391,Construction Materials,,
5081437472,Chemicals,,
5081437502,Construction Materials,,
5081437538,Construction Materials,,
5081437542,Construction Materials,,
5081437555,Chemicals,,
5081437602,Metals & Mining,,
5081437606,Construction Materials,,
5081437619,Chemicals,,
5081445971,Metals & Mining,,
5081445974,Construction Materials,,
5081445979,Paper & Forest Products,,
5081446438,Chemicals,,
5081450267,Metals & Mining,,
5081450292,Metals & Mining,,
5081450322,Paper & Forest Products,,
5081450342,Paper & Forest Products,,
5081450420,Construction Materials,,
5081459882,Metals & Mining,,
5081459891,Construction Materials,,
5081459908,Chemicals,,
5081460099,Chemicals,,
5081460115,Construction Materials,,
5081460130,Construction Materials,,
5081460588,Metals & Mining,,
5081462416,Chemicals,,
5082041311,Paper & Forest Products,,
5082055118,Chemicals,,
5082063997,Chemicals,,
5082097051,Metals & Mining,,
5082106298,Construction Materials,,
5082148377,Chemicals,,
5082246360,Chemicals,,
5082344941,Construction Materials,,
5082490428,Chemicals,,
5082511805,Metals & Mining,,
5082518597,Chemicals,,
5082553962,Paper & Forest Products,,
5082554091,Paper & Forest Products,,
5082554201,Construction Materials,,
5082554203,Construction Materials,,
5082554211,Construction Materials,,
5082554240,Metals & Mining,,
5082554268,,,
5082554269,Construction Materials,,
5082554338,Containers & Packaging,,
5082554349,Construction Materials,,
5082554393,Construction Materials,,
5082554397,Construction Materials,,
5082554437,Paper & Forest Products,,
5082554466,Construction Materials,,
5082554476,Renewable Energy,,
5082554501,Construction Materials,,
5082554502,Metals & Mining,,
5082554507,Metals & Mining,,
5082554523,Metals & Mining,,
5082554533,Chemicals,,
5082554548,Metals & Mining,,
5082554553,Chemicals,,
5082554581,Construction Materials,,
5082554583,Chemicals,,
5082554587,Metals & Mining,,
5082554597,Real Estate Operations,,
5082554607,Construction Materials,,
5082554625,Chemicals,,
5082554631,Construction Materials,,
5082554654,Construction Materials,,
5082554656,Construction Materials,,
5082554670,Construction Materials,,
5082554689,Paper & Forest Products,,
5082554691,Chemicals,,
5082554710,Metals & Mining,,
5082554716,Construction Materials,,
5082554730,Construction Materials,,
5082554734,Construction Materials,,
5082554742,Chemicals,,
5082554757,Chemicals,,
5082554773,Construction Materials,,
5082554849,Paper & Forest Products,,
5082554864,Metals & Mining,,
5082554870,Chemicals,,
5082554890,Metals & Mining,,
5082554894,Paper & Forest Products,,
5082554905,Construction Materials,,
5082554907,Construction Materials,,
5082554922,Paper & Forest Products,,
5082554933,Construction Materials,,
5082664507,Metals & Mining,,
5082664602,Chemicals,,
5082762739,Paper & Forest Products,,
5082853887,Paper & Forest Products,,
5082937306,Paper & Forest Products,,
5083111808,,,
5083157968,Containers & Packaging,,
5083169296,Metals & Mining,,
5083170627,Metals & Mining,,
5083200047,Metals & Mining,,
5083200498,Construction Materials,,
5083200716,Construction Materials,,
5083201279,Metals & Mining,,
5083202007,Construction Materials,,
5083202355,Paper & Forest Products,,
5083203516,Chemicals,,
5083227367,Metals & Mining,,
5083228252,Metals & Mining,,
5083228652,Construction Materials,,
5083229655,Chemicals,,
5083230000,Chemicals,,
5083243523,Construction Materials,,
5083255179,Chemicals,,
5083256854,Paper & Forest Products,,
5083256960,Paper & Forest Products,,
5083278136,Metals & Mining,,
5083281084,,,
5083283330,Metals & Mining,,
5083284026,Metals & Mining,,
5083284176,Metals & Mining,,
5083286284,Metals & Mining,,
5083289226,Investment Banking & Investment Services,,
5083291375,Paper & Forest Products,,
5083318319,,,
5083319234,Paper & Forest Products,,
5083320636,,,
5083321740,Construction Materials,,
5083322060,,,
5083322414,Construction Materials,,
5083322544,Paper & Forest Products,,
5083322966,,,
5083340588,,,
5083340769,,,
5083341376,Paper & Forest Products,,
5083478620,Chemicals,,
5083506758,Construction Materials,,
5083508176,Passenger Transportation Services,,
5083512958,Metals & Mining,,
5083524172,Construction Materials,,
5083528752,Construction Materials,,
5083528798,Professional & Commercial Services,,
5083528888,Paper & Forest Products,,
5083528904,Construction Materials,,
5083529049,Paper & Forest Products,,
5083529053,Construction Materials,,
5083529105,Metals & Mining,,
5083529204,Media & Publishing,,
5083529230,Chemicals,,
5083529280,Construction Materials,,
5083529321,Paper & Forest Products,,
5083529434,Paper & Forest Products,,
5083529523,Metals & Mining,,
5083529657,Metals & Mining,,
5083529847,Containers & Packaging,,
5083529969,Construction Materials,,
5083532714,Metals & Mining,,
5083538368,,,
5083559128,Metals & Mining,,
5083560565,Paper & Forest Products,,
5083560702,Metals & Mining,,
5083561312,Chemicals,,
5083561417,Metals & Mining,,
