Instrument,TRBC Business Sector Name,NAICS Subsector Name
5062141525,Chemicals,Chemical Manufacturing
5062141531,Applied Resources,Wood Product Manufacturing
5062141606,Mineral Resources,Nonmetallic Mineral Product Manufacturing
5062141620,Applied Resources,Forestry and Logging
5062141622,Mineral Resources,"Merchant Wholesalers, Durable Goods"
5062141682,Applied Resources,Forestry and Logging
5062141725,Applied Resources,Wood Product Manufacturing
5062141750,Mineral Resources,Mining (except Oil and Gas)
5062141836,Mineral Resources,Fabricated Metal Product Manufacturing
5062141849,Applied Resources,"Merchant Wholesalers, Durable Goods"
5062141853,Applied Resources,Forestry and Logging
5062141890,Mineral Resources,Nonmetallic Mineral Product Manufacturing
5062141903,Mineral Resources,Printing and Related Support Activities
5062141930,Chemicals,"Merchant Wholesalers, Nondurable Goods"
5062141990,Mineral Resources,Nonmetallic Mineral Product Manufacturing
5062142061,Chemicals,"Merchant Wholesalers, Nondurable Goods"
5062142072,Mineral Resources,Fabricated Metal Product Manufacturing
5062142091,Applied Resources,Forestry and Logging
5062142148,Applied Resources,Wood Product Manufacturing
5062142181,Applied Resources,"Merchant Wholesalers, Durable Goods"
5062142221,Chemicals,"Merchant Wholesalers, Nondurable Goods"
5062142291,Mineral Resources,Fabricated Metal Product Manufacturing
5062142378,Applied Resources,Forestry and Logging
5062142380,Applied Resources,Wood Product Manufacturing
5062142502,Mineral Resources,Fabricated Metal Product Manufacturing
5062142532,Applied Resources,Wood Product Manufacturing
5062142566,Mineral Resources,Printing and Related Support Activities
5062142571,Applied Resources,Wood Product Manufacturing
5062142630,Mineral Resources,Printing and Related Support Activities
5062142636,Applied Resources,Furniture and Related Product Manufacturing
5062142644,Applied Resources,Wood Product Manufacturing
5062142688,Mineral Resources,Mining (except Oil and Gas)
5062142731,Mineral Resources,Fabricated Metal Product Manufacturing
5062142734,Mineral Resources,Fabricated Metal Product Manufacturing
5062142743,Mineral Resources,Support Activities for Transportation
5062142760,Applied Resources,Forestry and Logging
5062142802,Applied Resources,Support Activities for Agriculture and Forestry
5062142830,Applied Resources,"Merchant Wholesalers, Durable Goods"
5062142833,Applied Resources,Wood Product Manufacturing
5062142911,Mineral Resources,Printing and Related Support Activities
5062142915,Mineral Resources,Fabricated Metal Product Manufacturing
5062142930,Mineral Resources,Fabricated Metal Product Manufacturing
5062142945,Mineral Resources,Fabricated Metal Product Manufacturing
5062142948,Mineral Resources,Machinery Manufacturing
5062142957,Applied Resources,Wood Product Manufacturing
5062143076,Applied Resources,"Merchant Wholesalers, Durable Goods"
5062143129,Applied Resources,"Merchant Wholesalers, Durable Goods"
5062143137,Applied Resources,Wood Product Manufacturing
5062165127,,
5062165175,Mineral Resources,Nonmetallic Mineral Product Manufacturing
5062348416,Mineral Resources,Fabricated Metal Product Manufacturing
5062348482,Applied Resources,Forestry and Logging
5062348488,Applied Resources,Forestry and Logging
5062348740,Applied Resources,Forestry and Logging
5062348741,Applied Resources,Forestry and Logging
5062348831,Applied Resources,Wood Product Manufacturing
5062348838,Applied Resources,Forestry and Logging
5062348839,Applied Resources,Forestry and Logging
5062348840,Applied Resources,Forestry and Logging
5062349165,Mineral Resources,Support Activities for Transportation
5062351391,Applied Resources,Wood Product Manufacturing
5062351433,Mineral Resources,Printing and Related Support Activities
5062351441,Mineral Resources,Fabricated Metal Product Manufacturing
5062351467,Applied Resources,Wood Product Manufacturing
5062351469,Mineral Resources,Fabricated Metal Product Manufacturing
5062351486,Mineral Resources,Nonmetallic Mineral Product Manufacturing
5062351525,Mineral Resources,Fabricated Metal Product Manufacturing
5062351534,Applied Resources,Wood Product Manufacturing
5062351538,Mineral Resources,Nonmetallic Mineral Product Manufacturing
5062351689,Mineral Resources,Nonmetallic Mineral Product Manufacturing
5062351704,Applied Resources,Forestry and Logging
5062351706,Applied Resources,Wood Product Manufacturing
5062351713,Applied Resources,Wood Product Manufacturing
5062351724,Applied Resources,Wood Product Manufacturing
5062351760,Applied Resources,Furniture and Related Product Manufacturing
5062351824,Applied Resources,Wood Product Manufacturing
5062351825,Applied Resources,Forestry and Logging
5062351829,Applied Resources,Forestry and Logging
5062388231,Mineral Resources,"Merchant Wholesalers, Durable Goods"
5062388318,Real Estate,Real Estate
5062388420,Applied Resources,"Merchant Wholesalers, Durable Goods"
5062388447,Applied Resources,"Merchant Wholesalers, Durable Goods"
5062388646,Applied Resources,Wood Product Manufacturing
5062388819,Chemicals,Plastics and Rubber Products Manufacturing
5062389008,Mineral Resources,"Merchant Wholesalers, Durable Goods"
5062389024,Real Estate,Heavy and Civil Engineering Construction
5062389128,Industrial & Commercial Services,Construction of Buildings
5062455107,Mineral Resources,"Merchant Wholesalers, Durable Goods"
5062459910,Mineral Resources,"Merchant Wholesalers, Durable Goods"
5063190558,Applied Resources,Wood Product Manufacturing
5063190685,Applied Resources,Forestry and Logging
5063190729,Applied Resources,Wood Product Manufacturing
5063190802,Mineral Resources,Fabricated Metal Product Manufacturing
5063190836,Applied Resources,Wood Product Manufacturing
5063190852,Applied Resources,Wood Product Manufacturing
5063190854,Mineral Resources,Nonmetallic Mineral Product Manufacturing
5063190866,Mineral Resources,Support Activities for Transportation
5063190870,Chemicals,Plastics and Rubber Products Manufacturing
5063190878,Applied Resources,Wood Product Manufacturing
5063190914,Applied Resources,Furniture and Related Product Manufacturing
5063190951,Mineral Resources,Primary Metal Manufacturing
5063190989,Mineral Resources,Fabricated Metal Product Manufacturing
5063191024,Applied Resources,Wood Product Manufacturing
5063191037,Applied Resources,Forestry and Logging
5063191091,Mineral Resources,Fabricated Metal Product Manufacturing
5063191175,Applied Resources,Support Activities for Agriculture and Forestry
5063191184,Mineral Resources,Fabricated Metal Product Manufacturing
5063191219,Applied Resources,Wood Product Manufacturing
5063191243,Applied Resources,Building Material and Garden Equipment and Supplies Dealers
5063191251,Mineral Resources,Fabricated Metal Product Manufacturing
5063191376,Applied Resources,Wood Product Manufacturing
5063191430,Applied Resources,Wood Product Manufacturing
5063191466,Mineral Resources,Fabricated Metal Product Manufacturing
5063191603,Applied Resources,"Merchant Wholesalers, Durable Goods"
5063191610,Applied Resources,Forestry and Logging
5063191925,Applied Resources,Wood Product Manufacturing
5063191933,Applied Resources,Wood Product Manufacturing
5063191982,Applied Resources,Wood Product Manufacturing
5063191992,Mineral Resources,Fabricated Metal Product Manufacturing
5063192122,Applied Resources,Wood Product Manufacturing
5063192205,Applied Resources,Forestry and Logging
5063282442,Mineral Resources,Fabricated Metal Product Manufacturing
5063297241,Mineral Resources,Fabricated Metal Product Manufacturing
5063313957,Mineral Resources,Mining (except Oil and Gas)
5063353452,Chemicals,Chemical Manufacturing
5063735128,Chemicals,Chemical Manufacturing
5063737684,Chemicals,Building Material and Garden Equipment and Supplies Dealers
5063763695,Applied Resources,Wood Product Manufacturing
5063763810,Mineral Resources,"Merchant Wholesalers, Durable Goods"
5063763847,Chemicals,"Merchant Wholesalers, Nondurable Goods"
5063764057,Mineral Resources,Fabricated Metal Product Manufacturing
5063765506,Chemicals,Mining (except Oil and Gas)
5063770819,Mineral Resources,"Merchant Wholesalers, Durable Goods"
5064611730,Applied Resources,Wood Product Manufacturing
5064705883,Chemicals,Chemical Manufacturing
5065875254,Chemicals,Chemical Manufacturing
5065875577,Mineral Resources,Nonmetallic Mineral Product Manufacturing
5066545550,Mineral Resources,Fabricated Metal Product Manufacturing
5066545600,Mineral Resources,"Merchant Wholesalers, Durable Goods"
5066545616,Applied Resources,"Merchant Wholesalers, Durable Goods"
