Instrument,TRBC Industry Group Name,SIC Industry Code,GICS Sub-Industry Code
5081872389,Food & Tobacco,,
5081872391,Food & Tobacco,,
5081872401,Food & Tobacco,,
5081872409,Food & Tobacco,,
5081872413,Food & Tobacco,,
5081872428,Food & Drug Retailing,,
5081872440,Food & Drug Retailing,,
5081872447,Personal & Household Products & Services,,
5081872453,Food & Drug Retailing,,
5081872460,Food & Drug Retailing,,
5081872498,,,
5081872499,Pharmaceuticals,,
5081872501,Food & Tobacco,,
5081872512,Food & Tobacco,,
5081872514,Food & Tobacco,,
5081872525,Food & Tobacco,,
5081872537,Food & Drug Retailing,,
5081872544,Food & Tobacco,,
5081872545,Personal & Household Products & Services,,
5081872548,Food & Drug Retailing,,
5081872549,Food & Drug Retailing,,
5081872552,Media & Publishing,,
5081872554,Food & Drug Retailing,,
5081872598,Food & Drug Retailing,,
5081872601,Personal & Household Products & Services,,
5081872605,Beverages,,
5081872610,Food & Tobacco,,
5081872632,Food & Tobacco,,
5081872634,Food & Tobacco,,
5081872666,Food & Tobacco,,
5081872673,Food & Tobacco,,
5081872678,Food & Drug Retailing,,
5081872708,Food & Drug Retailing,,
5081872709,Professional & Commercial Services,,
5081872711,Food & Tobacco,,
5081872712,Food & Tobacco,,
5081872717,Food & Tobacco,,
5081872724,Food & Tobacco,,
5081872727,Food & Tobacco,,
5081872733,Homebuilding & Construction Supplies,,
5081872737,Food & Tobacco,,
5081872741,Food & Drug Retailing,,
5081872744,Personal & Household Products & Services,,
5081872763,Food & Tobacco,,
5081872765,Food & Tobacco,,
5081872770,Food & Tobacco,,
5081872772,Personal & Household Products & Services,,
5081872781,Food & Tobacco,,
5081872782,Personal & Household Products & Services,,
5081872788,Food & Tobacco,,
5081872789,Food & Tobacco,,
5081872794,Food & Drug Retailing,,
5081872797,Food & Drug Retailing,,
5081872800,Food & Tobacco,,
5081872810,Food & Tobacco,,
5081872816,Diversified Retail,,
5081872817,Personal & Household Products & Services,,
5081872822,Food & Tobacco,,
5081872837,Personal & Household Products & Services,,
5081872857,Food & Drug Retailing,,
5081872864,Food & Tobacco,,
5081872867,Food & Tobacco,,
5081872875,,,
5081872879,Food & Tobacco,,
5081872883,Food & Drug Retailing,,
5081872884,Personal & Household Products & Services,,
5081872903,Food & Drug Retailing,,
5081872917,Food & Tobacco,,
5081872919,Personal & Household Products & Services,,
5081872922,Beverages,,
5081872930,Food & Tobacco,,
5081872951,Food & Tobacco,,
5081872963,Food & Drug Retailing,,
5081872965,Food & Tobacco,,
5081872968,Food & Tobacco,,
5081872982,Food & Tobacco,,
5081872986,Food & Drug Retailing,,
5081872992,Food & Drug Retailing,,
5081873000,Personal & Household Products & Services,,
5081873003,Food & Tobacco,,
5081873008,Freight & Logistics Services,,
5081873012,Food & Drug Retailing,,
5081873028,Food & Drug Retailing,,
5081873055,Food & Tobacco,,
5081873072,Food & Tobacco,,
5081873074,Food & Drug Retailing,,
5081873077,Food & Tobacco,,
5081873087,Food & Tobacco,,
5081873100,Food & Drug Retailing,,
5081873102,Food & Drug Retailing,,
5081873115,Food & Tobacco,,
5081873127,Food & Tobacco,,
5081873130,Food & Tobacco,,
5081873147,Food & Tobacco,,
5081873180,Food & Tobacco,,
5081873183,Food & Drug Retailing,,
5081873184,Food & Tobacco,,
5081873200,Food & Tobacco,,
5081873204,Food & Drug Retailing,,
5081873253,Personal & Household Products & Services,,
5081873262,Food & Tobacco,,
5081873273,Food & Drug Retailing,,
5081873282,Food & Tobacco,,
5081873291,Food & Tobacco,,
5081873295,Food & Drug Retailing,,
5081873296,Food & Tobacco,,
5081873304,Food & Drug Retailing,,
5081873308,Chemicals,,
5081873317,Food & Tobacco,,
5081873322,,,
5081873380,Food & Drug Retailing,,
5081873383,Food & Tobacco,,
5081873408,Food & Tobacco,,
5081873412,Food & Drug Retailing,,
5081873416,Food & Drug Retailing,,
5081873418,Professional & Commercial Services,,
5081873420,Personal & Household Products & Services,,
5081873426,Food & Tobacco,,
5081873430,Food & Tobacco,,
5081873439,Food & Tobacco,,
5081873447,Food & Tobacco,,
5081873453,Food & Tobacco,,
5081873456,Food & Drug Retailing,,
5081873457,Food & Tobacco,,
5081873458,Food & Tobacco,,
5081873460,Diversified Retail,,
5081873466,Food & Drug Retailing,,
5081873467,Food & Tobacco,,
5081873473,Personal & Household Products & Services,,
5081873481,Food & Tobacco,,
5081873485,Food & Tobacco,,
5081873487,Food & Drug Retailing,,
5081873491,Food & Tobacco,,
5081873493,Food & Drug Retailing,,
5081873504,Food & Tobacco,,
5081873512,Food & Drug Retailing,,
5081873518,Food & Tobacco,,
5081873519,Food & Tobacco,,
5081873520,Food & Tobacco,,
5081873522,Food & Tobacco,,
5081873527,Food & Tobacco,,
5081873529,Food & Drug Retailing,,
5081873537,Personal & Household Products & Services,,
5081873540,Personal & Household Products & Services,,
5081873547,Food & Tobacco,,
5081873548,Food & Tobacco,,
5081873550,Food & Tobacco,,
5081873554,Food & Tobacco,,
5081873555,Food & Drug Retailing,,
5081873560,Food & Tobacco,,
5081873570,Food & Tobacco,,
5081873571,Paper & Forest Products,,
5081873575,Food & Tobacco,,
5081873584,Food & Tobacco,,
5081873586,Food & Tobacco,,
5081873591,Food & Tobacco,,
5081873609,Food & Drug Retailing,,
5081873610,Personal & Household Products & Services,,
5081873623,Paper & Forest Products,,
5081873624,Personal & Household Products & Services,,
5081873625,Food & Tobacco,,
5081873627,Food & Tobacco,,
5081873628,Food & Drug Retailing,,
5081873640,Food & Drug Retailing,,
5081873642,Professional & Commercial Services,,
5081873646,Food & Tobacco,,
5081873650,Food & Drug Retailing,,
5081873653,Food & Drug Retailing,,
5081873667,Food & Tobacco,,
5081873668,Food & Drug Retailing,,
5081873678,Food & Tobacco,,
5081873679,Food & Tobacco,,
5081873685,Food & Drug Retailing,,
5081873697,Food & Tobacco,,
5081873701,Food & Tobacco,,
5081873703,Food & Tobacco,,
5081873706,Personal & Household Products & Services,,
5081873710,Food & Drug Retailing,,
5081873714,Personal & Household Products & Services,,
5081873717,Food & Drug Retailing,,
5081873720,Food & Drug Retailing,,
5081873731,Food & Tobacco,,
5081873737,Food & Tobacco,,
5081873741,Food & Tobacco,,
5081873752,Consumer Goods Conglomerates,,
5081873765,Food & Tobacco,,
5081873769,Food & Tobacco,,
5081873770,Food & Tobacco,,
5081873776,Food & Tobacco,,
5081873784,Personal & Household Products & Services,,
5081873787,Personal & Household Products & Services,,
5081873788,Food & Drug Retailing,,
5081873791,Food & Tobacco,,
5081873794,Food & Drug Retailing,,
5081873800,Food & Tobacco,,
5081873802,Food & Tobacco,,
5081873806,Food & Drug Retailing,,
5081873807,Food & Drug Retailing,,
5081873816,Food & Drug Retailing,,
5081873820,Food & Drug Retailing,,
5081873831,Food & Tobacco,,
5081873832,Food & Drug Retailing,,
5081873842,Food & Tobacco,,
5081873847,Professional & Commercial Services,,
5081873849,Food & Tobacco,,
5081873851,Food & Tobacco,,
5081873853,,,
5081873854,Personal & Household Products & Services,,
5081873882,Food & Drug Retailing,,
5081873886,Food & Drug Retailing,,
5081873887,Food & Drug Retailing,,
5081873890,Food & Tobacco,,
5081873897,Food & Tobacco,,
5081873905,Food & Drug Retailing,,
5081873911,Food & Tobacco,,
5081873923,Food & Drug Retailing,,
5081873930,Food & Tobacco,,
5081873937,Personal & Household Products & Services,,
5081873940,Food & Drug Retailing,,
5081873947,Food & Drug Retailing,,
5081873948,Food & Tobacco,,
5081873949,Food & Tobacco,,
5081873957,Food & Tobacco,,
5081873971,Food & Tobacco,,
5081873973,Food & Tobacco,,
5081873999,Personal & Household Products & Services,,
5081874011,Professional & Commercial Services,,
5081874022,Food & Tobacco,,
5081874032,Food & Tobacco,,
5081874039,Food & Tobacco,,
5081874045,Food & Tobacco,,
5081874052,Food & Drug Retailing,,
5081874054,Food & Drug Retailing,,
5081874057,Food & Drug Retailing,,
5081874068,Food & Tobacco,,
5081874069,Personal & Household Products & Services,,
5081874072,Food & Tobacco,,
5081874082,Food & Drug Retailing,,
5081874083,Food & Tobacco,,
5081874084,Food & Drug Retailing,,
5081874093,Food & Tobacco,,
5081874101,Food & Tobacco,,
5081874104,Containers & Packaging,,
5081874105,Food & Drug Retailing,,
5081874108,Food & Tobacco,,
5081874111,Food & Tobacco,,
5081874116,Beverages,,
5081874119,Food & Tobacco,,
5081874123,Diversified Retail,,
5081874126,Beverages,,
5081874129,Beverages,,
5081874133,Food & Tobacco,,
5081874142,Food & Drug Retailing,,
5081874188,Food & Drug Retailing,,
5081874197,Professional & Commercial Services,,
5081874293,Food & Drug Retailing,,
5081874300,Food & Drug Retailing,,
5081874309,Beverages,,
5081874310,Food & Drug Retailing,,
5081874311,Food & Drug Retailing,,
5081874313,Food & Tobacco,,
5081874320,Food & Tobacco,,
5081874406,Food & Drug Retailing,,
5081874410,Food & Drug Retailing,,
5081874416,Consumer Goods Conglomerates,,
5081874478,Food & Drug Retailing,,
5081874746,Food & Tobacco,,
5081874759,Food & Tobacco,,
5081874792,Food & Tobacco,,
5081874795,Food & Drug Retailing,,
5081874796,Food & Tobacco,,
5081874820,Food & Tobacco,,
5081874837,Food & Tobacco,,
5081874838,Food & Drug Retailing,,
5081874865,Food & Drug Retailing,,
5081874907,Food & Tobacco,,
5081874909,Food & Drug Retailing,,
5081874910,Food & Drug Retailing,,
5081874930,Personal & Household Products & Services,,
5081874937,Real Estate Operations,,
5081874940,Food & Tobacco,,
5081874943,Food & Tobacco,,
5081874966,Personal & Household Products & Services,,
5081874967,Food & Drug Retailing,,
5081874975,Food & Tobacco,,
5081874980,Food & Tobacco,,
5081874985,Food & Tobacco,,
5081874988,Food & Drug Retailing,,
5081875018,Food & Drug Retailing,,
5081875057,Food & Drug Retailing,,
5081875058,Food & Drug Retailing,,
5081875069,,,
5081875111,Food & Drug Retailing,,
5081875123,"Machinery, Tools, Heavy Vehicles, Trains & Ships",,
5081875125,Healthcare Providers & Services,,
5081875133,Food & Drug Retailing,,
5081875134,Food & Tobacco,,
5081875146,Food & Tobacco,,
5081875149,Personal & Household Products & Services,,
5081875153,Food & Tobacco,,
5081875166,Food & Tobacco,,
5081875168,Food & Drug Retailing,,
5081875177,Personal & Household Products & Services,,
5081875206,Food & Tobacco,,
5081875207,Beverages,,
5081875236,Food & Drug Retailing,,
5081875243,Food & Tobacco,,
5081875256,Personal & Household Products & Services,,
5081875257,Pharmaceuticals,,
5081875258,,,
5081875265,Food & Drug Retailing,,
5081875268,Food & Drug Retailing,,
5081875269,Food & Tobacco,,
5081875276,Food & Tobacco,,
5081875277,Food & Tobacco,,
5081875289,Food & Tobacco,,
5081875303,Food & Tobacco,,
5081875308,Food & Drug Retailing,,
5081875309,Food & Tobacco,,
5081875310,Food & Tobacco,,
5081875311,Food & Tobacco,,
5081875313,Food & Tobacco,,
5081875314,Food & Tobacco,,
5081875322,Food & Drug Retailing,,
5081875329,Food & Drug Retailing,,
5081875332,Food & Tobacco,,
5081875338,Food & Tobacco,,
5081875339,Food & Drug Retailing,,
5081875342,Food & Drug Retailing,,
5081875351,,,
5081875362,Food & Drug Retailing,,
5081875365,Food & Tobacco,,
5081875378,Food & Tobacco,,
5081875382,Food & Tobacco,,
5081875396,Beverages,,
5081875406,,,
5081875411,Food & Tobacco,,
5081875413,Food & Tobacco,,
5081875419,Food & Drug Retailing,,
5081875432,Food & Drug Retailing,,
5081875434,Food & Drug Retailing,,
5081875437,Food & Tobacco,,
5081875438,Food & Drug Retailing,,
5081875452,Food & Drug Retailing,,
5081875455,Food & Drug Retailing,,
5081875459,Food & Tobacco,,
5081875468,Food & Tobacco,,
5081875470,Food & Drug Retailing,,
5081875486,Personal & Household Products & Services,,
5081875493,Food & Tobacco,,
5081875494,Food & Tobacco,,
5081875500,Food & Drug Retailing,,
5081875504,Beverages,,
5081875518,Food & Drug Retailing,,
5081875519,Food & Tobacco,,
5081875522,Food & Tobacco,,
5081875524,Food & Drug Retailing,,
5081875535,Food & Tobacco,,
5081875537,Food & Drug Retailing,,
5081875540,Food & Tobacco,,
5081875544,Food & Tobacco,,
5081875555,Food & Tobacco,,
5081875572,Chemicals,,
5081875584,Food & Tobacco,,
5081875585,Food & Tobacco,,
5081875587,Food & Drug Retailing,,
5081875593,Food & Drug Retailing,,
5081875598,Food & Tobacco,,
5081875614,Personal & Household Products & Services,,
5081875619,Food & Tobacco,,
5081875639,Water & Related Utilities,,
5081875646,Food & Drug Retailing,,
5081875647,Food & Drug Retailing,,
5081875659,Food & Tobacco,,
5081875669,Food & Drug Retailing,,
5081875679,Food & Drug Retailing,,
5081875687,Professional & Commercial Services,,
5081875690,Beverages,,
5081875695,Food & Tobacco,,
5081875701,Food & Drug Retailing,,
5081875706,Diversified Retail,,
5081875736,Beverages,,
5081875741,Food & Drug Retailing,,
5081875746,Beverages,,
5081875750,Personal & Household Products & Services,,
5081875762,Food & Tobacco,,
5081875764,Food & Drug Retailing,,
5081875766,Food & Tobacco,,
5081875770,Food & Tobacco,,
5081875777,Food & Tobacco,,
5081875780,Personal & Household Products & Services,,
5081875792,Food & Tobacco,,
5081875796,Food & Tobacco,,
5081875805,Healthcare Providers & Services,,
5081875810,Food & Drug Retailing,,
5081875813,Food & Drug Retailing,,
5081875818,Beverages,,
5081875827,Food & Tobacco,,
5081875831,Personal & Household Products & Services,,
5081875832,Food & Tobacco,,
5081875835,Food & Tobacco,,
5081875841,Food & Drug Retailing,,
5081875847,Food & Tobacco,,
5081875850,Food & Tobacco,,
5081875865,Food & Drug Retailing,,
5081875873,Food & Tobacco,,
5081875878,Food & Tobacco,,
5081875886,Food & Drug Retailing,,
5081875888,Food & Drug Retailing,,
5081875890,Food & Tobacco,,
5081875894,Food & Tobacco,,
5081875903,Food & Tobacco,,
5081875906,Food & Drug Retailing,,
5081875907,Food & Tobacco,,
5081875916,Food & Tobacco,,
5081875918,Food & Tobacco,,
5081875926,Food & Drug Retailing,,
5081875938,Food & Drug Retailing,,
5081875939,Food & Drug Retailing,,
5081875940,Food & Tobacco,,
5081875945,Personal & Household Products & Services,,
5081875954,Food & Drug Retailing,,
5081875964,Food & Drug Retailing,,
5081875968,Food & Tobacco,,
5081875977,Food & Tobacco,,
5081875994,Food & Drug Retailing,,
5081875996,Food & Tobacco,,
5081876001,Food & Tobacco,,
5081876005,,,
5081876007,Food & Tobacco,,
5081876020,Food & Drug Retailing,,
5081876026,Food & Tobacco,,
5081876030,Food & Drug Retailing,,
5081876053,Food & Tobacco,,
5081876057,Food & Drug Retailing,,
5081876058,Food & Drug Retailing,,
5081876061,Food & Tobacco,,
5081876066,Food & Drug Retailing,,
5081876079,Personal & Household Products & Services,,
5081876080,Food & Tobacco,,
5081876081,Personal & Household Products & Services,,
5081876083,Food & Tobacco,,
5081876085,Food & Tobacco,,
5081876093,Beverages,,
5081876102,Food & Tobacco,,
5081876107,Food & Drug Retailing,,
5081876109,Food & Drug Retailing,,
5081876117,Personal & Household Products & Services,,
5081876118,Food & Tobacco,,
5081876123,,,
5081876128,Food & Drug Retailing,,
5081876134,Beverages,,
5081876138,Food & Drug Retailing,,
5081876139,Food & Tobacco,,
