Instrument,TRBC Business Sector Name,NAICS Subsector Name
5062235114,Food & Beverages,"Merchant Wholesalers, Nondurable Goods"
5062235121,Food & Beverages,"Merchant Wholesalers, Nondurable Goods"
5062235126,Food & Beverages,Beverage and Tobacco Product Manufacturing
5062235130,Industrial & Commercial Services,Fabricated Metal Product Manufacturing
5062235153,Personal & Household Products & Services,Miscellaneous Manufacturing
5062235219,Food & Beverages,"Merchant Wholesalers, Nondurable Goods"
5062235250,Food & Drug Retailing,"Merchant Wholesalers, Nondurable Goods"
5062235254,Food & Beverages,"Merchant Wholesalers, Nondurable Goods"
5062235283,Food & Beverages,Paper Manufacturing
5062235290,,
5062235291,Personal & Household Products & Services,Chemical Manufacturing
5062235292,Food & Beverages,"Merchant Wholesalers, Nondurable Goods"
5062235316,Food & Beverages,"Merchant Wholesalers, Nondurable Goods"
5062235318,Food & Drug Retailing,Food and Beverage Retailers
5062235323,Food & Beverages,"Merchant Wholesalers, Nondurable Goods"
5062235324,Personal & Household Products & Services,"Merchant Wholesalers, Nondurable Goods"
5062235327,Food & Drug Retailing,"Merchant Wholesalers, Nondurable Goods"
5062235338,Food & Beverages,Beverage and Tobacco Product Manufacturing
5062235351,Food & Beverages,Food Manufacturing
5062235360,Food & Drug Retailing,"Merchant Wholesalers, Nondurable Goods"
5062235367,Personal & Household Products & Services,"Professional, Scientific, and Technical Services"
5062235372,Food & Drug Retailing,Food and Beverage Retailers
5062235374,Food & Drug Retailing,"Merchant Wholesalers, Nondurable Goods"
5062235375,Food & Beverages,Food Manufacturing
5062235382,Personal & Household Products & Services,Health and Personal Care Retailers
5062235387,Food & Beverages,"Merchant Wholesalers, Nondurable Goods"
5062235403,Food & Beverages,Beverage and Tobacco Product Manufacturing
5062235404,Food & Beverages,Beverage and Tobacco Product Manufacturing
5062235411,Food & Drug Retailing,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers"
5062235413,Food & Drug Retailing,"Merchant Wholesalers, Nondurable Goods"
5062235431,Food & Beverages,Food Manufacturing
5062235457,Food & Beverages,Food Manufacturing
5062235465,Food & Beverages,Food Manufacturing
5062235468,Food & Beverages,"Merchant Wholesalers, Nondurable Goods"
5062235494,Food & Beverages,Food Manufacturing
5062235498,Personal & Household Products & Services,Miscellaneous Manufacturing
5062235535,Food & Beverages,Beverage and Tobacco Product Manufacturing
5062235540,Personal & Household Products & Services,Chemical Manufacturing
5062235580,Food & Beverages,Food Manufacturing
5062235581,Food & Beverages,Food Manufacturing
5062235582,Food & Beverages,Food Manufacturing
5062235605,Food & Beverages,"Merchant Wholesalers, Nondurable Goods"
5062235613,Food & Beverages,Food Manufacturing
5062235614,Food & Beverages,Food Manufacturing
5062235615,Food & Beverages,Food Manufacturing
5062235627,Personal & Household Products & Services,Miscellaneous Manufacturing
5062235628,Food & Beverages,Food Manufacturing
5062235632,Food & Beverages,Food Manufacturing
5062235637,Personal & Household Products & Services,Repair and Maintenance
5062235639,,
5062235640,Food & Beverages,Food Manufacturing
5062235641,Food & Beverages,Food Manufacturing
5062235642,Food & Drug Retailing,Health and Personal Care Retailers
5062235644,Personal & Household Products & Services,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers"
5062235664,Food & Beverages,Food Manufacturing
5062235665,Food & Beverages,Food Manufacturing
5062235666,Food & Beverages,Food Manufacturing
5062235667,Food & Beverages,"Merchant Wholesalers, Nondurable Goods"
5062235682,Food & Beverages,"Merchant Wholesalers, Nondurable Goods"
5062235683,Food & Beverages,Food Manufacturing
5062235689,Food & Beverages,"Merchant Wholesalers, Nondurable Goods"
5062235731,Food & Beverages,Food Manufacturing
5062235743,Consumer Goods Conglomerates,Miscellaneous Manufacturing
5062235771,Food & Beverages,Food Manufacturing
5062235772,Food & Beverages,Food Manufacturing
5062235776,Food & Beverages,Personal and Laundry Services
5062235787,Food & Beverages,Beverage and Tobacco Product Manufacturing
5062235827,Food & Beverages,Food Manufacturing
5062235829,Food & Beverages,Machinery Manufacturing
5062235836,Food & Beverages,Food Manufacturing
5062235860,Food & Beverages,Food Manufacturing
5062235870,Food & Beverages,Beverage and Tobacco Product Manufacturing
5062235874,Food & Drug Retailing,"Merchant Wholesalers, Nondurable Goods"
5062235877,Food & Beverages,Food Manufacturing
