Instrument,Organization Ultimate Parent,Ultimate Parent Id,Country ISO2 Code of Ultimate Parent Headquarters
5082359040,Tikg Singapore Pte Ltd,5082215098.0,SG
5082359758,Pum Tech Korea Co Ltd,5001150328.0,KR
5082360107,MFG Korea Co Ltd,5043951595.0,KR
5082360785,Chunhoncare CoLTD,5068322233.0,KR
5082360801,HJ Magnolia Group Co Ltd,5082219123.0,KR
5082360812,Daesang Holdings Co Ltd,4295881298.0,KR
5082360814,TP Inc,4295881866.0,KR
5082360815,Pulmuone Co Ltd,4295881654.0,KR
5082360826,B&CF &B Co Ltd,5081878688.0,KR
5082360845,Fresheasy,5083522040.0,KR
5082360857,Seungin Co Ltd,5062432298.0,KR
5082360861,Hanil Feed Co Ltd,4295881916.0,KR
5082360865,SK Holdings Co Ltd (Pre-Merger),4295881615.0,KR
5082361109,Amorepacific Group,4295881551.0,KR
5082361173,"Korea, Republic of (Government)",4296926109.0,KR
5082395773,FoodNamoo Inc,5062428938.0,KR
5082451796,JeongYookGak Inc,5082451796.0,KR
5082467162,Moon One Co Ltd,5082467162.0,KR
5082533788,Life & Bio Inc,5082533788.0,KR
5082535002,Mong-Go Foods CoLTD,5082535002.0,KR
5082535661,Terumo Corp,4295878607.0,JP
5082638546,VenturesLab Corp,5082638546.0,KR
5082703971,Vita Chemical Co Ltd,5082703971.0,KR
5082703972,Andong Goeul Takchonjang Agricultural Co Ltd,5086708181.0,KR
5082749966,DaekyeongFoodVille Co Ltd,5082749966.0,KR
5083185217,World Food Co Ltd,5000739587.0,KR
5083185908,DNCompany Co Ltd,5001191536.0,KR
5083186042,Charles River Laboratories International Inc,4295900986.0,US
5083257860,Todam Co Ltd,5083257860.0,KR
5083259525,7Harvest Co Ltd,5083259525.0,KR
5083260810,Popaco Co Ltd,5083260810.0,KR
5083285702,Dong A Otsuka Co Ltd,4296609615.0,KR
5083293432,Heecheon CoLTD,5083293432.0,KR
5083297040,Hurum Co Ltd,5073962007.0,KR
5083300215,Jooan Co Ltd,5083300215.0,KR
5083300865,Echo Marketing Co Ltd,5047642992.0,KR
5083303326,Ernst & Young LLP,5000762018.0,US
5083311570,SB Food Co Ltd,5083311570.0,KR
5083313224,H Pio Co Ltd,5062422775.0,KR
5083313283,BeautySkin Co Ltd,5083313283.0,KR
5083323751,InterTrade Co Ltd,5083323751.0,KR
5083325171,Pulmuone Co Ltd,4295881654.0,KR
5083337040,Taekwangfoods Corp,5042271304.0,KR
5083338108,Noble Food,5083338108.0,KR
5083338241,Hansung Enterprise Co Ltd,4295881012.0,KR
5083338909,Lotte Chilsung Beverage Co Ltd,4295881144.0,KR
5083340413,Harim Holdings Co Ltd,5037850198.0,KR
5083341407,"WOOSUNG FEED CO., LTD Dup",5083341407.0,KR
5083343609,HLB BioStep Co Ltd,5052537879.0,KR
5083376440,Koreafood Inc,5083376440.0,KR
5083376774,Ato Trading Co Ltd,5083376774.0,KR
5083376929,Cheon Kwang Adcom Co Ltd,5081856142.0,KR
5083426792,Korea Food System CoLTD,5083426792.0,KR
5083427074,Tae Bong Co Ltd,5083427074.0,KR
5083427460,EN Food Contents Inc,5083427460.0,KR
5083445634,Signet Energy Inc,5083445634.0,KR
5083466956,Cosniz Co Ltd,5083466956.0,KR
5083466959,Chang Shin TRD Co Ltd,5083466959.0,KR
5083468185,DaehanFood Co Ltd,5083468185.0,KR
5083474810,SK Company Co Ltd,5083474810.0,KR
5083478463,KitchenX,5083478463.0,KR
5083505245,GoPizza India Private Ltd,5083505245.0,KR
5083522040,Fresheasy,5083522040.0,KR
5083565139,Atomy Corp,5083565139.0,KR
5083652072,Himnanda Corp,5083652072.0,KR
5083663591,TI Corporation Co Ltd,5083663591.0,KR
5083668960,Shinsegi Town CoLTD,5083668960.0,KR
5083671293,HanaroFoodVille Co Ltd,5083671293.0,KR
5083697563,PocheonSammul,5083697563.0,KR
5083698775,SK Inc,5000049504.0,KR
5062225124,Sichuan Yuanhongxiao Jiaolou Winery CoLTD,5062225124.0,CN
5062225128,Guizhou Baiqiang Group Investment Holding Co Ltd,5082205841.0,CN
5062225177,Shandong Longda Meishi Co Ltd,5000695326.0,CN
5062225269,Xuanhan County Jinxiang Foodstuff Co Ltd,5062225269.0,CN
5062225338,Henan Sunshine Oils and Fats Group Co Ltd,5071152759.0,CN
5062225417,Fuzhou Xiaoheizi Food Co Ltd,5062181219.0,CN
5062225436,Jiangxi Leishi Education Development Co Ltd,5083550519.0,CN
5062225506,Guangzhou Zhujiang Yunfeng Investment Holding Co Ltd,5083550168.0,CN
5062225519,"China, People's Republic of (Government)",5000036491.0,CN
5062225557,Jilin Xuelanshan Grape Wine Supply Co Ltd,5062225557.0,CN
5062225623,Shandong Hongda Group Co Ltd,5062225623.0,CN
5062225644,State-owned Assets Supervision and Administration Commission of Hunan People's Government,5000045256.0,CN
5062225674,Suining Minwang Feedstuffs Co Ltd,5062225674.0,CN
5062225730,"HEBEI WANSUIYIYAO STOCK CO.,LTD",5062225730.0,CN
5062225764,Ningxia Junxingfang Food Technology Co Ltd,5062225764.0,CN
5062225797,Zhangzhou Longwen District Xinfa Cans Foodstuff Co Ltd,5062225797.0,CN
5062225834,Yunnan Lancangjiang Winery Group CoLTD,5058644833.0,CN
5062225843,Henan Jinxing Holding Co Ltd,5064616476.0,CN
5062225893,Linying County Qiaolinglong Trading Co Ltd,5071489769.0,CN
5062225903,Xingyi Zhongtian Starch Processing Plant GP,5062225903.0,CN
5062225906,Xinjiang Taikun Group Co Ltd,5071563096.0,CN
5062225951,Shandong Dezheng Milks CoLTD,5062225951.0,CN
5062225966,Kaifeng Daqu Sanyuan Wine Factory,5062225966.0,CN
5062226035,Yuyao City Mazi Vegetable Industry CoLTD,5062226035.0,CN
5062226057,Yancheng Yuda Feedstuff Co Ltd,5062226057.0,CN
5062226064,Sichuan Deyang Shengye Trading Co Ltd,5081170730.0,CN
5062226086,Fujian Jinlei Foodstuff Co Ltd,5062226086.0,CN
5062226113,Zhongxin Dongtai Laiyang Nanometer Gene Biotechnology Co Ltd,5074547212.0,CN
5062226127,Xinhe County Yonghong Co Ltd,5062226127.0,CN
5062226141,Tonghua Yufeng Brewing Co Ltd,5062226141.0,CN
5062226223,Zhaosu County Grassland Cereal & Oil Industry Co Ltd,5062226223.0,CN
5062226244,Hengan International Group Company Ltd,4295871680.0,CN
5062226283,Guangdong Yuequn BIotechnology Co Ltd,5062226283.0,CN
5062226306,Yanggu Jianfa Foodstuff Co Ltd,5062226306.0,CN
5062226338,Shandong GuAjing Wine Supply Co Ltd,5062226338.0,CN
5062226350,Sichuan Nanchong Lvbao Fungus Industry Technology Co Ltd,5062226350.0,CN
5062226352,Shenzhen Taihong Industry Co Ltd,5081171080.0,CN
5062226512,Zhejiang Fengyu Ocean Biological Products CoLTD,5062226512.0,CN
5062226677,Fuqing Jianing Cosmetics Co Ltd,5062226677.0,CN
5062226687,Jiangsu Kangli Feedstuff Co Ltd,5073149206.0,CN
5062226696,Fugou County Changcheng Foodgrain & Cooking Oil Trade Co Ltd,5076392069.0,CN
5062226730,Hubei Lvsheng Livestock Technology Development Co Ltd,5062226730.0,CN
5062226732,Sichuan Panxing Green Food Group Co Ltd,5076391348.0,CN
5062226745,Shaanxi Qinyang Changsheng Wine Industry Co Ltd,5062226745.0,CN
