Instrument,Company Common Name,Country ISO Code of Headquarters,Organization Status Code
5062235114,Guangdong Zhongmu Agriculture Development CoLTD,CN,Act
5062235121,Guangzhou Nongrun Feed Co Ltd,CN,Act
5062235126,JDB China Drinks Co Ltd,CN,Act
5062235130,Sea-God Art Hui Zhou Ltd,CN,Act
5062235153,Zhongshan New Hua Mei Industry Co Ltd,CN,Act
5062235219,Shanghai Moushi Trading Co Ltd,CN,Act
5062235250,Shandong Bincheng State Foodstuff Hive Warehouse,CN,Act
5062235254,Jiangsu Wisun Food Co Ltd,CN,Act
5062235283,Hubei Tonghuan Trading Co Ltd,CN,Act
5062235290,"QINGDAO SEAFOREST GROUP CO., LTD.",CN,Act
5062235291,Ningbo Unichem Household Products Co Ltd,CN,Act
5062235292,Tianjin Wahaha Hongzhen Food Drink Trade Co Ltd,CN,Act
5062235316,Ningbo Yinzhou Xiangyang Logistic Co Ltd,CN,Act
5062235318,Jiangsu CP Lotus Supermarket Chain Store CoLTD,CN,Act
5062235323,Jining Shengtai Fruits and Vegetables Co Ltd,CN,Act
5062235324,Nantong Chengwang Trading Co Ltd,CN,Act
5062235327,Tailing Beijing Medicine Technology Development Co Ltd,CN,Act
5062235338,Kunming Wahaha Qili Beverage Co Ltd,CN,Act
5062235351,Feihe Gannan Dairy Co Ltd,CN,Act
5062235360,Fujian Zhongtang Sugar Industry Development Co Ltd,CN,Act
5062235367,Shenzhen Yiselle Garment Co Ltd,CN,Act
5062235372,Guangzhou Bloom Spring Trading Co Ltd,CN,Act
5062235374,Beijing Century Mission Technology Development Co Ltd,CN,Act
5062235375,Heilongjiang Tengfei Food CoLTD,CN,Act
5062235382,Ningbo Rejoice I/E Co Ltd,CN,Act
5062235387,Penglai Gaoqiangshi Fruit Marketing Co Ltd,CN,Act
5062235403,Harbin Shuangcheng Wahaha Food Beverage Co Ltd,CN,Act
5062235404,Chengdu Wahaha Changsheng Beverage,CN,Act
5062235411,Shaanxi Xitie Tobacco Operation Co Ltd,CN,Act
5062235413,Huludao Yuanze Commerce and Trade Co Ltd,CN,Act
5062235431,Pingyang County Zhenyang Stall Food Co Ltd,CN,Act
5062235457,Tongxiang Tongcheng Vegetable Industry Co Ltd,CN,Act
5062235465,XiAn Honghua Sausage Casing Food Co Ltd,CN,Act
5062235468,Ningbo Fuyihua Import & Export Co Ltd,CN,Act
5062235494,Gansu Hongtaiyang Flour Business Group Co Ltd,CN,Act
5062235498,Taizhou Jianghai Bristles Products Co Ltd,CN,Act
5062235535,Shenzhen Jinglai Tianxiang Environmental Technology Co Ltd,CN,Act
5062235540,Shantou Tainande Industry Co Ltd,CN,Act
5062235580,Heze Huarui Oil and Fat Co Ltd,CN,Act
5062235581,Huantai Xinsheng Foodstuff Co Ltd,CN,Act
5062235582,Rongcheng Marine Product Comprehensive Processing Factory,CN,Act
5062235605,Gansu Reclamation Zhangye Jinlong Industry CoLTD,CN,Act
5062235613,Heilongjiang Farms and Land Reclamation Puyang Cereal & Oil Processing Co Ltd,CN,Act
5062235614,Qiqi HaEr Daming Oil Manufacturing Co Ltd,CN,Act
5062235615,Baoqing County Luomai Biological Engineering Co Ltd,CN,Act
5062235627,Fushun Yachen Handicraft Article Factory,CN,Act
5062235628,Beijing Wangwang Foodstuff Co Ltd,CN,Act
5062235632,Beijing Gengxiang Tea CoLTD,CN,Act
5062235637,Zhong Yu Hua Hui Building and Decoration Engineering Co Ltd,CN,Act
5062235639,Beijing Huadu Yukou Poultry Co Ltd,CN,Act
5062235640,Beijing Fangshan Hope Feedstuff Co Ltd,CN,Act
5062235641,Beijing Meihao Xiwang Co Ltd,CN,Act
5062235642,Jiamusi Jintian Caring Pharmacy Franchises CoLTD,CN,Act
5062235644,Beijing Kaiyuan China Yellow Boy Sales Centre Co Ltd,CN,Act
5062235664,Zhucheng Taolin Food Co Ltd,CN,Act
5062235665,Gaomi Fuwang Refrigeration Foodstuff CoLTD,CN,Act
5062235666,Laoling Liuhe Lexin Feed CoLtd,CN,Act
5062235667,Changyi Shunda Rencheng Foodstuff Co Ltd,CN,Act
5062235682,Rushan Minghai Aquatic Products CoLTD,CN,Act
5062235683,Shandong Huifeng Peanut Food Co Ltd,CN,Act
5062235689,Shandong Zhenjia Foodstuff I&E Co Ltd,CN,Act
5062235731,Linyi County Dehe Flour Factory,CN,Act
5062235743,Beijing Bolite Electronic Technology CoLTD,CN,Act
5062235771,Jilin Fuyuanguan Foodstuff Group Co Ltd,CN,Act
5062235772,Liaoyuan Damuzhi Food CoLTD,CN,Act
5062235776,Ningxia Xiahua Meat Food Co Ltd,CN,Act
5062235787,Jilin Yonglongquan Alcoholic Beverage Co Ltd,CN,Act
5062235827,Zhanjiang Fuchang Aquatic Products Freezing Plant General Parternship,CN,Act
5062235829,Cixi Gaolida Electric Appliance Co Ltd,CN,Act
5062235836,Hangzhou Jmart Foods Co Ltd,CN,Act
5062235860,Kunming Jiahua Foodstuffs Factory,CN,Act
5062235870,Liaoyuan Quanlongyuan Wine Industry Co Ltd,CN,Act
5062235874,Songyuan Juda Oil and Foodstuffs CoLTD,CN,Act
5062235877,Jilin Hongliang Rice Industry Co Ltd,CN,Act
5062235879,Yanbian Kaicheng Medicine Co Ltd,CN,Act
5062235880,Jilin Jinya Nutlet Processing Co Ltd,CN,Act
5062235882,Yunnan Changle Pharmaceutical CoLtd,CN,Act
5062235883,Siping Wanhai Livestock Co Ltd,CN,Act
5062235893,"DALIAN JINSHI OIL AND FOODSTUFFS CO., LTD.",CN,Act
5062235894,Siping Jiufeng Wine Industry Co Ltd,CN,Act
5062235900,Jinmailang Flour Products Harbin CoLTD,CN,Act
5062235901,Baoqing County Huatong Sugar Manufacturing CoLTD,CN,Act
5062235906,Yuanyang Central Kindergarten,CN,Act
5062235917,Songyuan Feiyu Shiji Commercial City Co Ltd,CN,Act
5062235943,Shanxi Taizihu Food CoLTD,CN,Act
5062235974,Yunnan Jiangchuan Cuifeng Paper Industry Co Ltd,CN,Act
5062235977,Yunnan Aromatic Tobacco Co Ltd,CN,Act
5062235978,Yunnan Tengyao Pharmaceutical Co Ltd,CN,Act
5062235981,Chongqing Lanju Industrial Co Ltd,CN,Act
5062235982,Guangxi Luwu Ouya Sugar Industry Co Ltd,CN,Act
5062235985,Guangxi Fengtang Rongshui Hemu Sugar Making Co Ltd,CN,Act
5062235988,Guangxi Fengtang Luorong Sugar Manufacturing Co Ltd,CN,Act
5062235991,Guangxi Guigang Meat United Processing Factory,CN,Act
5062236001,Tsingtao Brewery Gansu Farms and Land Reclamation Co Ltd,CN,Act
5062236002,Miqi Food Co Ltd,CN,Act
5062236003,Guizhou Renhuai Maotai Town Dongfang Wine Industry Co Ltd,CN,Act
5062236012,Sinkiang Corps NongEr Division No33 Linyuan No1 Co,CN,Act
5062236032,Hunan Yangtianhe Pharmacy Enterprise Group Co Ltd,CN,Act
5062236043,Zhongyang Grain Reserves Hengyang Depot Co Ltd,CN,Act
5062236060,Fujian Longyan Jinye Baking Co Ltd,CN,Act
5062236068,Fujian Shuangheng Health Care Co Ltd,CN,Act
5062236080,Lvxian Foodstuff Zhangzhou Co Ltd,CN,Act
5062236081,Fujian Mantangxiang Tea Industry Co Ltd,CN,Act
5062236092,Guangxi Bidehan Premix Feedstuff CoLTD,CN,Act
5062236093,Chizhou Urban and Rural Construction & Installation Engineering Co Ltd,CN,Act
5062236096,Guangxi Nanning Junwei Feedstuff Co Ltd,CN,Act
5062236099,Anhui Xiangya Rice Industry Co Ltd,CN,Act
5062236104,Weihui Longsheng Flour Industry Co Ltd,CN,Act
5062236106,Henan Ruimai Foodstuff Co Ltd,CN,Act
5062236112,Jiaozuo Huilijia Commerce and Trade CoLTD,CN,Act
