Instrument,NAICS Sector Name,Legal Entity ID (LEI),NAICS Sector Code
5082931561,Construction,,23
5082931562,"Professional, Scientific, and Technical Services",,54
5082931564,Construction,,23
5082931566,Construction,,23
5082931568,Construction,,23
5082931572,"Professional, Scientific, and Technical Services",,54
5082931586,Transportation and Warehousing,,48-49
5082931587,Construction,,23
5082931601,Transportation and Warehousing,,48-49
5082931608,Administrative and Support and Waste Management and Remediation Services,,56
5082931617,"Professional, Scientific, and Technical Services",,54
5082931625,Construction,,23
5082931631,Wholesale Trade,,42
5082931636,Administrative and Support and Waste Management and Remediation Services,,56
5082931638,Wholesale Trade,,42
5082931648,Transportation and Warehousing,,48-49
5082931664,Construction,,23
5082931697,Transportation and Warehousing,,48-49
5082931715,Transportation and Warehousing,,48-49
5082931722,"Professional, Scientific, and Technical Services",,54
5082931723,Construction,,23
5082931724,Other Services (except Public Administration),,81
5082931725,Construction,,23
5082931733,Transportation and Warehousing,,48-49
5082931770,"Professional, Scientific, and Technical Services",,54
5082931799,Wholesale Trade,,42
5082931800,,,
5082931802,Administrative and Support and Waste Management and Remediation Services,,56
5082931809,Real Estate and Rental and Leasing,,53
5082931830,Transportation and Warehousing,,48-49
5082931837,Transportation and Warehousing,,48-49
5082931846,Construction,,23
5082931856,"Professional, Scientific, and Technical Services",,54
5082931861,"Professional, Scientific, and Technical Services",,54
5082931900,Manufacturing,,31-33
5082931909,Administrative and Support and Waste Management and Remediation Services,,56
5082931926,Administrative and Support and Waste Management and Remediation Services,,56
5082931935,Transportation and Warehousing,,48-49
5082931939,Transportation and Warehousing,,48-49
5082931943,Transportation and Warehousing,,48-49
5082931951,Transportation and Warehousing,,48-49
5082931957,Real Estate and Rental and Leasing,,53
5082931985,Manufacturing,,31-33
5082931993,Transportation and Warehousing,,48-49
5082931996,Transportation and Warehousing,,48-49
5082932000,Manufacturing,,31-33
5082932002,Administrative and Support and Waste Management and Remediation Services,,56
5082932012,Manufacturing,,31-33
5082932023,Educational Services,,61
5082932028,Finance and Insurance,,52
5082932029,Transportation and Warehousing,,48-49
