Instrument,TRBC Business Sector Name,NAICS Subsector Name
5040933966,Mineral Resources,"Merchant Wholesalers, Durable Goods"
5040934228,Mineral Resources,Fabricated Metal Product Manufacturing
5040934387,Chemicals,Plastics and Rubber Products Manufacturing
5040934389,Mineral Resources,"Merchant Wholesalers, Durable Goods"
5040934391,Chemicals,"Merchant Wholesalers, Nondurable Goods"
5040934394,Mineral Resources,"Merchant Wholesalers, Durable Goods"
5040934440,Mineral Resources,Fabricated Metal Product Manufacturing
5040934642,Applied Resources,Wood Product Manufacturing
5040934798,Retailers,Building Material and Garden Equipment and Supplies Dealers
5040934829,Chemicals,Plastics and Rubber Products Manufacturing
5040934832,Mineral Resources,"Merchant Wholesalers, Durable Goods"
5040935378,Mineral Resources,"Merchant Wholesalers, Durable Goods"
5040935472,Mineral Resources,"Merchant Wholesalers, Durable Goods"
5040935473,Mineral Resources,"Merchant Wholesalers, Durable Goods"
5040935509,Mineral Resources,Fabricated Metal Product Manufacturing
5040935598,Mineral Resources,Fabricated Metal Product Manufacturing
5040935601,Mineral Resources,"Merchant Wholesalers, Durable Goods"
5040935707,Mineral Resources,Nonmetallic Mineral Product Manufacturing
5040935710,Chemicals,"Merchant Wholesalers, Nondurable Goods"
5040935733,Applied Resources,Building Material and Garden Equipment and Supplies Dealers
5040935778,Mineral Resources,Fabricated Metal Product Manufacturing
5040935786,Mineral Resources,Primary Metal Manufacturing
5040935805,Chemicals,"Merchant Wholesalers, Nondurable Goods"
5040935981,Mineral Resources,Fabricated Metal Product Manufacturing
5040936224,Mineral Resources,Mining (except Oil and Gas)
5040936236,Mineral Resources,Nonmetallic Mineral Product Manufacturing
5040936237,Applied Resources,Wood Product Manufacturing
5040936268,Mineral Resources,Fabricated Metal Product Manufacturing
5040936277,Mineral Resources,Mining (except Oil and Gas)
5040936425,Applied Resources,"Merchant Wholesalers, Durable Goods"
5040936593,Chemicals,Chemical Manufacturing
5040936670,Applied Resources,Paper Manufacturing
5040936695,Mineral Resources,"Merchant Wholesalers, Durable Goods"
5040936962,Mineral Resources,Fabricated Metal Product Manufacturing
5040936963,Mineral Resources,"Merchant Wholesalers, Durable Goods"
5040937024,Mineral Resources,"Merchant Wholesalers, Durable Goods"
5040937027,Mineral Resources,Fabricated Metal Product Manufacturing
5040937038,Applied Resources,"Merchant Wholesalers, Durable Goods"
5040937050,Mineral Resources,Fabricated Metal Product Manufacturing
5040937078,Mineral Resources,"Merchant Wholesalers, Durable Goods"
5040937092,Mineral Resources,"Merchant Wholesalers, Durable Goods"
5040937101,Mineral Resources,Fabricated Metal Product Manufacturing
5040937137,Applied Resources,Wood Product Manufacturing
5040937241,Mineral Resources,Fabricated Metal Product Manufacturing
5040937274,Chemicals,Plastics and Rubber Products Manufacturing
5040937450,Mineral Resources,Fabricated Metal Product Manufacturing
5040937492,Mineral Resources,Fabricated Metal Product Manufacturing
5040937497,Applied Resources,Wood Product Manufacturing
5040937520,Mineral Resources,Fabricated Metal Product Manufacturing
5040937524,Applied Resources,Wood Product Manufacturing
5040937536,Mineral Resources,"Merchant Wholesalers, Durable Goods"
5040937540,Applied Resources,"Merchant Wholesalers, Durable Goods"
5040937553,Mineral Resources,Fabricated Metal Product Manufacturing
5040937555,Mineral Resources,Nonmetallic Mineral Product Manufacturing
5040937614,Chemicals,Plastics and Rubber Products Manufacturing
5040937649,Mineral Resources,Nonmetallic Mineral Product Manufacturing
5040937677,Applied Resources,"Merchant Wholesalers, Nondurable Goods"
